role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,rec_weak,boxing,0,10000,1.4,10
ablation,rec_weak,boxing,0,20000,-2.5,10
ablation,rec_weak,boxing,0,30000,8.5,10
ablation,rec_weak,boxing,0,40000,42.7,10
ablation,rec_weak,boxing,0,50000,41.8,10
ablation,rec_weak,boxing,0,60000,61.6,10
ablation,rec_weak,boxing,0,70000,55.8,10
ablation,rec_weak,boxing,0,80000,59.1,10
ablation,rec_weak,boxing,0,90000,65.0,10
ablation,rec_weak,boxing,0,100000,69.62,100
ablation,rec_weak,up_n_down,0,10000,55.0,10
ablation,rec_weak,up_n_down,0,20000,19376.0,10
ablation,rec_weak,up_n_down,0,30000,56876.0,10
ablation,rec_weak,up_n_down,0,40000,5165.0,10
ablation,rec_weak,up_n_down,0,50000,124562.0,10
ablation,rec_weak,up_n_down,0,60000,121918.0,10
ablation,rec_weak,up_n_down,0,70000,7975.0,10
ablation,rec_weak,up_n_down,0,80000,17799.0,10
ablation,rec_weak,up_n_down,0,90000,121223.0,10
ablation,rec_weak,up_n_down,0,100000,74954.0,100
ablation,rec_weak,frostbite,0,10000,63.0,10
ablation,rec_weak,frostbite,0,20000,176.0,10
ablation,rec_weak,frostbite,0,30000,312.0,10
ablation,rec_weak,frostbite,0,40000,618.0,10
ablation,rec_weak,frostbite,0,50000,1147.0,10
ablation,rec_weak,frostbite,0,60000,1817.0,10
ablation,rec_weak,frostbite,0,70000,1767.0,10
ablation,rec_weak,frostbite,0,80000,2860.0,10
ablation,rec_weak,frostbite,0,90000,2873.0,10
ablation,rec_weak,frostbite,0,100000,2739.8,100
ablation,rec_weak,road_runner,0,10000,520.0,10
ablation,rec_weak,road_runner,0,20000,10250.0,10
ablation,rec_weak,road_runner,0,30000,11400.0,10
ablation,rec_weak,road_runner,0,40000,12200.0,10
ablation,rec_weak,road_runner,0,50000,14850.0,10
ablation,rec_weak,road_runner,0,60000,14960.0,10
ablation,rec_weak,road_runner,0,70000,13900.0,10
ablation,rec_weak,road_runner,0,80000,15360.0,10
ablation,rec_weak,road_runner,0,90000,15660.0,10
ablation,rec_weak,road_runner,0,100000,15096.0,100
