role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,recon_final_only,boxing,0,10000,0,0.0,1780.0
ablation,recon_final_only,boxing,0,10000,1,-10.0,1781.0
ablation,recon_final_only,boxing,0,10000,2,3.0,1786.0
ablation,recon_final_only,boxing,0,10000,3,1.0,1784.0
ablation,recon_final_only,boxing,0,10000,4,-4.0,1784.0
ablation,recon_final_only,boxing,0,10000,5,-22.0,1785.0
ablation,recon_final_only,boxing,0,10000,6,0.0,1785.0
ablation,recon_final_only,boxing,0,10000,7,-6.0,1779.0
ablation,recon_final_only,boxing,0,10000,8,-7.0,1786.0
ablation,recon_final_only,boxing,0,10000,9,-3.0,1780.0
ablation,recon_final_only,boxing,0,20000,0,1.0,1780.0
ablation,recon_final_only,boxing,0,20000,1,12.0,1781.0
ablation,recon_final_only,boxing,0,20000,2,5.0,1786.0
ablation,recon_final_only,boxing,0,20000,3,0.0,1784.0
ablation,recon_final_only,boxing,0,20000,4,19.0,1784.0
ablation,recon_final_only,boxing,0,20000,5,12.0,1785.0
ablation,recon_final_only,boxing,0,20000,6,27.0,1785.0
ablation,recon_final_only,boxing,0,20000,7,14.0,1779.0
ablation,recon_final_only,boxing,0,20000,8,-13.0,1786.0
ablation,recon_final_only,boxing,0,20000,9,6.0,1780.0
ablation,recon_final_only,boxing,0,30000,0,55.0,1780.0
ablation,recon_final_only,boxing,0,30000,1,39.0,1781.0
ablation,recon_final_only,boxing,0,30000,2,41.0,1786.0
ablation,recon_final_only,boxing,0,30000,3,66.0,1784.0
ablation,recon_final_only,boxing,0,30000,4,20.0,1784.0
ablation,recon_final_only,boxing,0,30000,5,68.0,1785.0
ablation,recon_final_only,boxing,0,30000,6,39.0,1785.0
ablation,recon_final_only,boxing,0,30000,7,23.0,1779.0
ablation,recon_final_only,boxing,0,30000,8,65.0,1786.0
ablation,recon_final_only,boxing,0,30000,9,39.0,1780.0
ablation,recon_final_only,boxing,0,40000,0,68.0,1208.0
ablation,recon_final_only,boxing,0,40000,1,68.0,1063.0
ablation,recon_final_only,boxing,0,40000,2,59.0,1361.0
ablation,recon_final_only,boxing,0,40000,3,59.0,1359.0
ablation,recon_final_only,boxing,0,40000,4,60.0,1255.0
ablation,recon_final_only,boxing,0,40000,5,61.0,1408.0
ablation,recon_final_only,boxing,0,40000,6,14.0,1785.0
ablation,recon_final_only,boxing,0,40000,7,43.0,1413.0
ablation,recon_final_only,boxing,0,40000,8,57.0,1241.0
ablation,recon_final_only,boxing,0,40000,9,47.0,1649.0
ablation,recon_final_only,boxing,0,50000,0,58.0,977.0
ablation,recon_final_only,boxing,0,50000,1,63.0,982.0
ablation,recon_final_only,boxing,0,50000,2,80.0,704.0
ablation,recon_final_only,boxing,0,50000,3,84.0,520.0
ablation,recon_final_only,boxing,0,50000,4,78.0,514.0
ablation,recon_final_only,boxing,0,50000,5,63.0,1164.0
ablation,recon_final_only,boxing,0,50000,6,59.0,1046.0
ablation,recon_final_only,boxing,0,50000,7,67.0,1158.0
ablation,recon_final_only,boxing,0,50000,8,65.0,988.0
ablation,recon_final_only,boxing,0,50000,9,61.0,929.0
ablation,recon_final_only,boxing,0,60000,0,91.0,502.0
ablation,recon_final_only,boxing,0,60000,1,80.0,604.0
ablation,recon_final_only,boxing,0,60000,2,59.0,881.0
ablation,recon_final_only,boxing,0,60000,3,89.0,553.0
ablation,recon_final_only,boxing,0,60000,4,85.0,523.0
ablation,recon_final_only,boxing,0,60000,5,66.0,952.0
ablation,recon_final_only,boxing,0,60000,6,77.0,625.0
ablation,recon_final_only,boxing,0,60000,7,84.0,619.0
ablation,recon_final_only,boxing,0,60000,8,72.0,803.0
ablation,recon_final_only,boxing,0,60000,9,99.0,270.0
ablation,recon_final_only,boxing,0,70000,0,82.0,432.0
ablation,recon_final_only,boxing,0,70000,1,78.0,556.0
ablation,recon_final_only,boxing,0,70000,2,69.0,744.0
ablation,recon_final_only,boxing,0,70000,3,88.0,447.0
ablation,recon_final_only,boxing,0,70000,4,85.0,506.0
ablation,recon_final_only,boxing,0,70000,5,69.0,728.0
ablation,recon_final_only,boxing,0,70000,6,65.0,841.0
ablation,recon_final_only,boxing,0,70000,7,55.0,840.0
ablation,recon_final_only,boxing,0,70000,8,76.0,517.0
ablation,recon_final_only,boxing,0,70000,9,51.0,861.0
ablation,recon_final_only,boxing,0,80000,0,78.0,529.0
ablation,recon_final_only,boxing,0,80000,1,78.0,674.0
ablation,recon_final_only,boxing,0,80000,2,87.0,511.0
ablation,recon_final_only,boxing,0,80000,3,66.0,861.0
ablation,recon_final_only,boxing,0,80000,4,89.0,441.0
ablation,recon_final_only,boxing,0,80000,5,77.0,614.0
ablation,recon_final_only,boxing,0,80000,6,92.0,443.0
ablation,recon_final_only,boxing,0,80000,7,83.0,627.0
ablation,recon_final_only,boxing,0,80000,8,88.0,488.0
ablation,recon_final_only,boxing,0,80000,9,92.0,504.0
ablation,recon_final_only,boxing,0,90000,0,78.0,665.0
ablation,recon_final_only,boxing,0,90000,1,74.0,730.0
ablation,recon_final_only,boxing,0,90000,2,96.0,298.0
ablation,recon_final_only,boxing,0,90000,3,59.0,957.0
ablation,recon_final_only,boxing,0,90000,4,81.0,596.0
ablation,recon_final_only,boxing,0,90000,5,86.0,413.0
ablation,recon_final_only,boxing,0,90000,6,89.0,411.0
ablation,recon_final_only,boxing,0,90000,7,81.0,562.0
ablation,recon_final_only,boxing,0,90000,8,79.0,652.0
ablation,recon_final_only,boxing,0,90000,9,71.0,692.0
ablation,recon_final_only,boxing,0,100000,0,63.0,749.0
ablation,recon_final_only,boxing,0,100000,1,95.0,300.0
ablation,recon_final_only,boxing,0,100000,2,87.0,473.0
