role,arm,game,seed,agent_steps,mean_return,episodes
comparator,recon_no_sg,boxing,0,10000,-2.9,10
comparator,recon_no_sg,boxing,0,20000,18.0,10
comparator,recon_no_sg,boxing,0,30000,62.1,10
comparator,recon_no_sg,boxing,0,40000,60.0,10
comparator,recon_no_sg,boxing,0,50000,75.1,10
comparator,recon_no_sg,boxing,0,60000,66.2,10
comparator,recon_no_sg,boxing,0,70000,68.5,10
comparator,recon_no_sg,boxing,0,80000,73.5,10
comparator,recon_no_sg,boxing,0,90000,71.4,10
comparator,recon_no_sg,boxing,0,100000,75.11,100
comparator,recon_no_sg,up_n_down,0,10000,1061.0,10
comparator,recon_no_sg,up_n_down,0,20000,1980.0,10
comparator,recon_no_sg,up_n_down,0,30000,2991.0,10
comparator,recon_no_sg,up_n_down,0,40000,5967.0,10
comparator,recon_no_sg,up_n_down,0,50000,34270.0,10
comparator,recon_no_sg,up_n_down,0,60000,74999.0,10
comparator,recon_no_sg,up_n_down,0,70000,228092.0,10
comparator,recon_no_sg,up_n_down,0,80000,202437.0,10
comparator,recon_no_sg,up_n_down,0,90000,74622.0,10
comparator,recon_no_sg,up_n_down,0,100000,217520.3,100
comparator,recon_no_sg,frostbite,0,10000,62.0,10
comparator,recon_no_sg,frostbite,0,20000,151.0,10
comparator,recon_no_sg,frostbite,0,30000,197.0,10
comparator,recon_no_sg,frostbite,0,40000,199.0,10
comparator,recon_no_sg,frostbite,0,50000,211.0,10
comparator,recon_no_sg,frostbite,0,60000,982.0,10
comparator,recon_no_sg,frostbite,0,70000,510.0,10
comparator,recon_no_sg,frostbite,0,80000,1080.0,10
comparator,recon_no_sg,frostbite,0,90000,1301.0,10
comparator,recon_no_sg,frostbite,0,100000,2429.3,100
comparator,recon_no_sg,road_runner,0,10000,1390.0,10
comparator,recon_no_sg,road_runner,0,20000,2250.0,10
comparator,recon_no_sg,road_runner,0,30000,5830.0,10
comparator,recon_no_sg,road_runner,0,40000,9410.0,10
comparator,recon_no_sg,road_runner,0,50000,10730.0,10
comparator,recon_no_sg,road_runner,0,60000,8450.0,10
comparator,recon_no_sg,road_runner,0,70000,10430.0,10
comparator,recon_no_sg,road_runner,0,80000,5490.0,10
comparator,recon_no_sg,road_runner,0,90000,6660.0,10
comparator,recon_no_sg,road_runner,0,100000,8695.0,100
ablation,recon_final_only,boxing,0,10000,-4.8,10
ablation,recon_final_only,boxing,0,20000,8.3,10
ablation,recon_final_only,boxing,0,30000,45.5,10
ablation,recon_final_only,boxing,0,40000,53.6,10
ablation,recon_final_only,boxing,0,50000,67.8,10
ablation,recon_final_only,boxing,0,60000,80.2,10
ablation,recon_final_only,boxing,0,70000,71.8,10
ablation,recon_final_only,boxing,0,80000,83.0,10
ablation,recon_final_only,boxing,0,90000,79.4,10
ablation,recon_final_only,boxing,0,100000,84.06,100
ablation,recon_final_only,up_n_down,0,10000,1345.0,10
ablation,recon_final_only,up_n_down,0,20000,4007.0,10
ablation,recon_final_only,up_n_down,0,30000,8862.0,10
ablation,recon_final_only,up_n_down,0,40000,89504.0,10
ablation,recon_final_only,up_n_down,0,50000,104172.0,10
ablation,recon_final_only,up_n_down,0,60000,17711.0,10
ablation,recon_final_only,up_n_down,0,70000,41731.0,10
ablation,recon_final_only,up_n_down,0,80000,7687.0,10
ablation,recon_final_only,up_n_down,0,90000,4043.0,10
ablation,recon_final_only,up_n_down,0,100000,16214.4,100
ablation,recon_final_only,frostbite,0,10000,149.0,10
ablation,recon_final_only,frostbite,0,20000,79.0,10
ablation,recon_final_only,frostbite,0,30000,206.0,10
ablation,recon_final_only,frostbite,0,40000,218.0,10
ablation,recon_final_only,frostbite,0,50000,254.0,10
ablation,recon_final_only,frostbite,0,60000,240.0,10
ablation,recon_final_only,frostbite,0,70000,257.0,10
ablation,recon_final_only,frostbite,0,80000,239.0,10
ablation,recon_final_only,frostbite,0,90000,305.0,10
ablation,recon_final_only,frostbite,0,100000,338.6,100
ablation,recon_final_only,road_runner,0,10000,1180.0,10
ablation,recon_final_only,road_runner,0,20000,4590.0,10
ablation,recon_final_only,road_runner,0,30000,9530.0,10
ablation,recon_final_only,road_runner,0,40000,9780.0,10
ablation,recon_final_only,road_runner,0,50000,15470.0,10
ablation,recon_final_only,road_runner,0,60000,15480.0,10
ablation,recon_final_only,road_runner,0,70000,13250.0,10
ablation,recon_final_only,road_runner,0,80000,15360.0,10
ablation,recon_final_only,road_runner,0,90000,13940.0,10
ablation,recon_final_only,road_runner,0,100000,15931.0,100
