role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,recon_no_sg,boxing,0,10000,0,2.0,1780.0
ablation,recon_no_sg,boxing,0,10000,1,-4.0,1781.0
ablation,recon_no_sg,boxing,0,10000,2,-6.0,1786.0
ablation,recon_no_sg,boxing,0,10000,3,0.0,1784.0
ablation,recon_no_sg,boxing,0,10000,4,0.0,1784.0
ablation,recon_no_sg,boxing,0,10000,5,-5.0,1785.0
ablation,recon_no_sg,boxing,0,10000,6,-2.0,1785.0
ablation,recon_no_sg,boxing,0,10000,7,1.0,1779.0
ablation,recon_no_sg,boxing,0,10000,8,-3.0,1786.0
ablation,recon_no_sg,boxing,0,10000,9,-12.0,1780.0
ablation,recon_no_sg,boxing,0,20000,0,30.0,1780.0
ablation,recon_no_sg,boxing,0,20000,1,5.0,1781.0
ablation,recon_no_sg,boxing,0,20000,2,14.0,1786.0
ablation,recon_no_sg,boxing,0,20000,3,24.0,1784.0
ablation,recon_no_sg,boxing,0,20000,4,10.0,1784.0
ablation,recon_no_sg,boxing,0,20000,5,8.0,1785.0
ablation,recon_no_sg,boxing,0,20000,6,25.0,1785.0
ablation,recon_no_sg,boxing,0,20000,7,24.0,1779.0
ablation,recon_no_sg,boxing,0,20000,8,21.0,1786.0
ablation,recon_no_sg,boxing,0,20000,9,19.0,1780.0
ablation,recon_no_sg,boxing,0,30000,0,59.0,1609.0
ablation,recon_no_sg,boxing,0,30000,1,63.0,1781.0
ablation,recon_no_sg,boxing,0,30000,2,83.0,1489.0
ablation,recon_no_sg,boxing,0,30000,3,53.0,1784.0
ablation,recon_no_sg,boxing,0,30000,4,44.0,1784.0
ablation,recon_no_sg,boxing,0,30000,5,57.0,1785.0
ablation,recon_no_sg,boxing,0,30000,6,71.0,1785.0
ablation,recon_no_sg,boxing,0,30000,7,72.0,1741.0
ablation,recon_no_sg,boxing,0,30000,8,65.0,1786.0
ablation,recon_no_sg,boxing,0,30000,9,54.0,1780.0
ablation,recon_no_sg,boxing,0,40000,0,67.0,1671.0
ablation,recon_no_sg,boxing,0,40000,1,74.0,1452.0
ablation,recon_no_sg,boxing,0,40000,2,45.0,1786.0
ablation,recon_no_sg,boxing,0,40000,3,62.0,1554.0
ablation,recon_no_sg,boxing,0,40000,4,69.0,1741.0
ablation,recon_no_sg,boxing,0,40000,5,66.0,1357.0
ablation,recon_no_sg,boxing,0,40000,6,69.0,1603.0
ablation,recon_no_sg,boxing,0,40000,7,39.0,1779.0
ablation,recon_no_sg,boxing,0,40000,8,64.0,1542.0
ablation,recon_no_sg,boxing,0,40000,9,45.0,1780.0
ablation,recon_no_sg,boxing,0,50000,0,79.0,1122.0
ablation,recon_no_sg,boxing,0,50000,1,76.0,995.0
ablation,recon_no_sg,boxing,0,50000,2,73.0,1154.0
ablation,recon_no_sg,boxing,0,50000,3,74.0,1251.0
ablation,recon_no_sg,boxing,0,50000,4,68.0,1231.0
ablation,recon_no_sg,boxing,0,50000,5,71.0,1555.0
ablation,recon_no_sg,boxing,0,50000,6,83.0,906.0
ablation,recon_no_sg,boxing,0,50000,7,79.0,1207.0
ablation,recon_no_sg,boxing,0,50000,8,74.0,1143.0
ablation,recon_no_sg,boxing,0,50000,9,74.0,1247.0
ablation,recon_no_sg,boxing,0,60000,0,56.0,1318.0
ablation,recon_no_sg,boxing,0,60000,1,74.0,924.0
ablation,recon_no_sg,boxing,0,60000,2,65.0,1219.0
ablation,recon_no_sg,boxing,0,60000,3,67.0,1279.0
ablation,recon_no_sg,boxing,0,60000,4,71.0,943.0
ablation,recon_no_sg,boxing,0,60000,5,66.0,1124.0
ablation,recon_no_sg,boxing,0,60000,6,67.0,1103.0
ablation,recon_no_sg,boxing,0,60000,7,68.0,835.0
ablation,recon_no_sg,boxing,0,60000,8,66.0,971.0
ablation,recon_no_sg,boxing,0,60000,9,62.0,1089.0
ablation,recon_no_sg,boxing,0,70000,0,89.0,705.0
ablation,recon_no_sg,boxing,0,70000,1,67.0,976.0
ablation,recon_no_sg,boxing,0,70000,2,59.0,1139.0
ablation,recon_no_sg,boxing,0,70000,3,63.0,1222.0
ablation,recon_no_sg,boxing,0,70000,4,47.0,1261.0
ablation,recon_no_sg,boxing,0,70000,5,68.0,897.0
ablation,recon_no_sg,boxing,0,70000,6,68.0,1015.0
ablation,recon_no_sg,boxing,0,70000,7,93.0,516.0
ablation,recon_no_sg,boxing,0,70000,8,59.0,960.0
ablation,recon_no_sg,boxing,0,70000,9,72.0,969.0
ablation,recon_no_sg,boxing,0,80000,0,70.0,1050.0
ablation,recon_no_sg,boxing,0,80000,1,72.0,980.0
ablation,recon_no_sg,boxing,0,80000,2,83.0,590.0
ablation,recon_no_sg,boxing,0,80000,3,69.0,986.0
ablation,recon_no_sg,boxing,0,80000,4,80.0,1045.0
ablation,recon_no_sg,boxing,0,80000,5,73.0,1001.0
ablation,recon_no_sg,boxing,0,80000,6,58.0,1436.0
ablation,recon_no_sg,boxing,0,80000,7,77.0,833.0
ablation,recon_no_sg,boxing,0,80000,8,74.0,1191.0
ablation,recon_no_sg,boxing,0,80000,9,79.0,881.0
ablation,recon_no_sg,boxing,0,90000,0,76.0,938.0
ablation,recon_no_sg,boxing,0,90000,1,66.0,1045.0
ablation,recon_no_sg,boxing,0,90000,2,62.0,1224.0
ablation,recon_no_sg,boxing,0,90000,3,70.0,907.0
ablation,recon_no_sg,boxing,0,90000,4,86.0,781.0
ablation,recon_no_sg,boxing,0,90000,5,62.0,1096.0
ablation,recon_no_sg,boxing,0,90000,6,78.0,943.0
ablation,recon_no_sg,boxing,0,90000,7,58.0,1286.0
ablation,recon_no_sg,boxing,0,90000,8,67.0,948.0
ablation,recon_no_sg,boxing,0,90000,9,89.0,762.0
ablation,recon_no_sg,boxing,0,100000,0,82.0,633.0
ablation,recon_no_sg,boxing,0,100000,1,83.0,691.0
ablation,recon_no_sg,boxing,0,100000,2,69.0,903.0
ablation,recon_no_sg,boxing,0,100000,3,77.0,853.0
ablation,recon_no_sg,boxing,0,100000,4,81.0,676.0
ablation,recon_no_sg,boxing,0,100000,5,76.0,848.0
ablation,recon_no_sg,boxing,0,100000,6,90.0,652.0
ablation,recon_no_sg,boxing,0,100000,7,80.0,922.0
ablation,recon_no_sg,boxing,0,100000,8,64.0,1020.0
ablation,recon_no_sg,boxing,0,100000,9,83.0,637.0
ablation,recon_no_sg,boxing,0,100000,10,74.0,753.0
ablation,recon_no_sg,boxing,0,100000,11,71.0,809.0
ablation,recon_no_sg,boxing,0,100000,12,78.0,836.0
ablation,recon_no_sg,boxing,0,100000,13,68.0,993.0
ablation,recon_no_sg,boxing,0,100000,14,79.0,719.0
ablation,recon_no_sg,boxing,0,100000,15,74.0,964.0
ablation,recon_no_sg,boxing,0,100000,16,74.0,1163.0
ablation,recon_no_sg,boxing,0,100000,17,78.0,720.0
ablation,recon_no_sg,boxing,0,100000,18,89.0,518.0
ablation,recon_no_sg,boxing,0,100000,19,75.0,911.0
ablation,recon_no_sg,boxing,0,100000,20,78.0,1027.0
ablation,recon_no_sg,boxing,0,100000,21,60.0,1160.0
ablation,recon_no_sg,boxing,0,100000,22,90.0,506.0
ablation,recon_no_sg,boxing,0,100000,23,87.0,577.0
ablation,recon_no_sg,boxing,0,100000,24,79.0,813.0
ablation,recon_no_sg,boxing,0,100000,25,89.0,437.0
ablation,recon_no_sg,boxing,0,100000,26,87.0,457.0
ablation,recon_no_sg,boxing,0,100000,27,56.0,1306.0
ablation,recon_no_sg,boxing,0,100000,28,81.0,654.0
ablation,recon_no_sg,boxing,0,100000,29,82.0,773.0
ablation,recon_no_sg,boxing,0,100000,30,70.0,906.0
ablation,recon_no_sg,boxing,0,100000,31,70.0,1143.0
ablation,recon_no_sg,boxing,0,100000,32,75.0,869.0
ablation,recon_no_sg,boxing,0,100000,33,71.0,922.0
ablation,recon_no_sg,boxing,0,100000,34,73.0,879.0
ablation,recon_no_sg,boxing,0,100000,35,73.0,909.0
ablation,recon_no_sg,boxing,0,100000,36,79.0,837.0
ablation,recon_no_sg,boxing,0,100000,37,51.0,1021.0
ablation,recon_no_sg,boxing,0,100000,38,78.0,624.0
ablation,recon_no_sg,boxing,0,100000,39,84.0,781.0
ablation,recon_no_sg,boxing,0,100000,40,67.0,1067.0
ablation,recon_no_sg,boxing,0,100000,41,88.0,665.0
ablation,recon_no_sg,boxing,0,100000,42,79.0,744.0
ablation,recon_no_sg,boxing,0,100000,43,77.0,790.0
ablation,recon_no_sg,boxing,0,100000,44,71.0,1018.0
ablation,recon_no_sg,boxing,0,100000,45,85.0,607.0
ablation,recon_no_sg,boxing,0,100000,46,69.0,936.0
ablation,recon_no_sg,boxing,0,100000,47,71.0,730.0
ablation,recon_no_sg,boxing,0,100000,48,61.0,1047.0
ablation,recon_no_sg,boxing,0,100000,49,63.0,1108.0
ablation,recon_no_sg,boxing,0,100000,50,76.0,786.0
ablation,recon_no_sg,boxing,0,100000,51,73.0,892.0
ablation,recon_no_sg,boxing,0,100000,52,79.0,630.0
ablation,recon_no_sg,boxing,0,100000,53,91.0,552.0
ablation,recon_no_sg,boxing,0,100000,54,65.0,1018.0
ablation,recon_no_sg,boxing,0,100000,55,69.0,1030.0
ablation,recon_no_sg,boxing,0,100000,56,90.0,491.0
ablation,recon_no_sg,boxing,0,100000,57,80.0,859.0
ablation,recon_no_sg,boxing,0,100000,58,74.0,675.0
ablation,recon_no_sg,boxing,0,100000,59,64.0,832.0
ablation,recon_no_sg,boxing,0,100000,60,76.0,716.0
ablation,recon_no_sg,boxing,0,100000,61,82.0,693.0
ablation,recon_no_sg,boxing,0,100000,62,82.0,673.0
ablation,recon_no_sg,boxing,0,100000,63,75.0,987.0
ablation,recon_no_sg,boxing,0,100000,64,83.0,626.0
ablation,recon_no_sg,boxing,0,100000,65,83.0,689.0
ablation,recon_no_sg,boxing,0,100000,66,65.0,937.0
ablation,recon_no_sg,boxing,0,100000,67,48.0,1334.0
ablation,recon_no_sg,boxing,0,100000,68,64.0,1057.0
ablation,recon_no_sg,boxing,0,100000,69,72.0,1010.0
ablation,recon_no_sg,boxing,0,100000,70,68.0,927.0
ablation,recon_no_sg,boxing,0,100000,71,62.0,989.0
ablation,recon_no_sg,boxing,0,100000,72,73.0,932.0
ablation,recon_no_sg,boxing,0,100000,73,68.0,879.0
ablation,recon_no_sg,boxing,0,100000,74,74.0,891.0
ablation,recon_no_sg,boxing,0,100000,75,62.0,1179.0
ablation,recon_no_sg,boxing,0,100000,76,80.0,821.0
ablation,recon_no_sg,boxing,0,100000,77,78.0,973.0
ablation,recon_no_sg,boxing,0,100000,78,85.0,677.0
ablation,recon_no_sg,boxing,0,100000,79,79.0,923.0
ablation,recon_no_sg,boxing,0,100000,80,68.0,904.0
ablation,recon_no_sg,boxing,0,100000,81,87.0,596.0
ablation,recon_no_sg,boxing,0,100000,82,77.0,784.0
ablation,recon_no_sg,boxing,0,100000,83,77.0,673.0
ablation,recon_no_sg,boxing,0,100000,84,78.0,938.0
ablation,recon_no_sg,boxing,0,100000,85,67.0,1016.0
ablation,recon_no_sg,boxing,0,100000,86,63.0,1128.0
ablation,recon_no_sg,boxing,0,100000,87,78.0,873.0
ablation,recon_no_sg,boxing,0,100000,88,65.0,1103.0
ablation,recon_no_sg,boxing,0,100000,89,69.0,1137.0
ablation,recon_no_sg,boxing,0,100000,90,79.0,872.0
ablation,recon_no_sg,boxing,0,100000,91,74.0,940.0
ablation,recon_no_sg,boxing,0,100000,92,87.0,676.0
ablation,recon_no_sg,boxing,0,100000,93,68.0,861.0
ablation,recon_no_sg,boxing,0,100000,94,84.0,679.0
ablation,recon_no_sg,boxing,0,100000,95,75.0,813.0
ablation,recon_no_sg,boxing,0,100000,96,76.0,806.0
ablation,recon_no_sg,boxing,0,100000,97,76.0,934.0
ablation,recon_no_sg,boxing,0,100000,98,88.0,608.0
ablation,recon_no_sg,boxing,0,100000,99,66.0,760.0
ablation,recon_no_sg,up_n_down,0,10000,0,480.0,406.0
ablation,recon_no_sg,up_n_down,0,10000,1,1450.0,520.0
ablation,recon_no_sg,up_n_down,0,10000,2,870.0,391.0
ablation,recon_no_sg,up_n_down,0,10000,3,1350.0,516.0
ablation,recon_no_sg,up_n_down,0,10000,4,1740.0,498.0
ablation,recon_no_sg,up_n_down,0,10000,5,460.0,368.0
ablation,recon_no_sg,up_n_down,0,10000,6,1030.0,482.0
ablation,recon_no_sg,up_n_down,0,10000,7,1450.0,517.0
ablation,recon_no_sg,up_n_down,0,10000,8,900.0,443.0
ablation,recon_no_sg,up_n_down,0,10000,9,880.0,385.0
ablation,recon_no_sg,up_n_down,0,20000,0,2030.0,966.0
ablation,recon_no_sg,up_n_down,0,20000,1,910.0,445.0
ablation,recon_no_sg,up_n_down,0,20000,2,1880.0,727.0
ablation,recon_no_sg,up_n_down,0,20000,3,2950.0,1158.0
ablation,recon_no_sg,up_n_down,0,20000,4,1550.0,841.0
ablation,recon_no_sg,up_n_down,0,20000,5,2830.0,953.0
ablation,recon_no_sg,up_n_down,0,20000,6,1550.0,838.0
ablation,recon_no_sg,up_n_down,0,20000,7,1580.0,873.0
ablation,recon_no_sg,up_n_down,0,20000,8,1670.0,1039.0
ablation,recon_no_sg,up_n_down,0,20000,9,2850.0,838.0
ablation,recon_no_sg,up_n_down,0,30000,0,5170.0,871.0
ablation,recon_no_sg,up_n_down,0,30000,1,2650.0,676.0
ablation,recon_no_sg,up_n_down,0,30000,2,4470.0,1025.0
ablation,recon_no_sg,up_n_down,0,30000,3,4400.0,916.0
ablation,recon_no_sg,up_n_down,0,30000,4,2210.0,600.0
ablation,recon_no_sg,up_n_down,0,30000,5,2710.0,776.0
ablation,recon_no_sg,up_n_down,0,30000,6,2640.0,671.0
ablation,recon_no_sg,up_n_down,0,30000,7,900.0,426.0
ablation,recon_no_sg,up_n_down,0,30000,8,2590.0,582.0
ablation,recon_no_sg,up_n_down,0,30000,9,2170.0,547.0
ablation,recon_no_sg,up_n_down,0,40000,0,15260.0,2359.0
ablation,recon_no_sg,up_n_down,0,40000,1,5620.0,941.0
ablation,recon_no_sg,up_n_down,0,40000,2,8790.0,1525.0
ablation,recon_no_sg,up_n_down,0,40000,3,4900.0,1081.0
ablation,recon_no_sg,up_n_down,0,40000,4,1790.0,583.0
ablation,recon_no_sg,up_n_down,0,40000,5,5240.0,963.0
ablation,recon_no_sg,up_n_down,0,40000,6,10550.0,1869.0
ablation,recon_no_sg,up_n_down,0,40000,7,4340.0,794.0
ablation,recon_no_sg,up_n_down,0,40000,8,930.0,486.0
ablation,recon_no_sg,up_n_down,0,40000,9,2250.0,677.0
ablation,recon_no_sg,up_n_down,0,50000,0,19990.0,2884.0
ablation,recon_no_sg,up_n_down,0,50000,1,67690.0,8292.0
ablation,recon_no_sg,up_n_down,0,50000,2,23360.0,3155.0
ablation,recon_no_sg,up_n_down,0,50000,3,11750.0,1859.0
ablation,recon_no_sg,up_n_down,0,50000,4,13800.0,1946.0
ablation,recon_no_sg,up_n_down,0,50000,5,43810.0,5218.0
ablation,recon_no_sg,up_n_down,0,50000,6,59730.0,7087.0
ablation,recon_no_sg,up_n_down,0,50000,7,22350.0,2819.0
ablation,recon_no_sg,up_n_down,0,50000,8,24020.0,2933.0
ablation,recon_no_sg,up_n_down,0,50000,9,56200.0,7188.0
ablation,recon_no_sg,up_n_down,0,60000,0,23000.0,3215.0
ablation,recon_no_sg,up_n_down,0,60000,1,127200.0,14609.0
ablation,recon_no_sg,up_n_down,0,60000,2,38790.0,4874.0
ablation,recon_no_sg,up_n_down,0,60000,3,67840.0,9169.0
ablation,recon_no_sg,up_n_down,0,60000,4,75130.0,8672.0
ablation,recon_no_sg,up_n_down,0,60000,5,142810.0,15913.0
ablation,recon_no_sg,up_n_down,0,60000,6,76570.0,9059.0
ablation,recon_no_sg,up_n_down,0,60000,7,82570.0,9685.0
ablation,recon_no_sg,up_n_down,0,60000,8,29900.0,3376.0
ablation,recon_no_sg,up_n_down,0,60000,9,86180.0,9708.0
ablation,recon_no_sg,up_n_down,0,70000,0,243430.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,1,79110.0,8643.0
ablation,recon_no_sg,up_n_down,0,70000,2,249060.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,3,232360.0,25430.0
ablation,recon_no_sg,up_n_down,0,70000,4,238630.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,5,241380.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,6,238260.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,7,253040.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,8,258220.0,27001.0
ablation,recon_no_sg,up_n_down,0,70000,9,247430.0,27001.0
ablation,recon_no_sg,up_n_down,0,80000,0,248150.0,27001.0
ablation,recon_no_sg,up_n_down,0,80000,1,240480.0,26886.0
ablation,recon_no_sg,up_n_down,0,80000,2,213180.0,22903.0
ablation,recon_no_sg,up_n_down,0,80000,3,156620.0,17526.0
ablation,recon_no_sg,up_n_down,0,80000,4,204160.0,22543.0
ablation,recon_no_sg,up_n_down,0,80000,5,248540.0,27001.0
ablation,recon_no_sg,up_n_down,0,80000,6,151300.0,16694.0
ablation,recon_no_sg,up_n_down,0,80000,7,253350.0,27001.0
ablation,recon_no_sg,up_n_down,0,80000,8,132250.0,15015.0
ablation,recon_no_sg,up_n_down,0,80000,9,176340.0,18339.0
ablation,recon_no_sg,up_n_down,0,90000,0,11220.0,1645.0
ablation,recon_no_sg,up_n_down,0,90000,1,109150.0,11968.0
ablation,recon_no_sg,up_n_down,0,90000,2,101500.0,11249.0
ablation,recon_no_sg,up_n_down,0,90000,3,9910.0,1416.0
ablation,recon_no_sg,up_n_down,0,90000,4,48340.0,5433.0
ablation,recon_no_sg,up_n_down,0,90000,5,23140.0,2801.0
ablation,recon_no_sg,up_n_down,0,90000,6,12240.0,2008.0
ablation,recon_no_sg,up_n_down,0,90000,7,230470.0,25608.0
ablation,recon_no_sg,up_n_down,0,90000,8,142800.0,16536.0
ablation,recon_no_sg,up_n_down,0,90000,9,57450.0,6620.0
ablation,recon_no_sg,up_n_down,0,100000,0,261150.0,27001.0
ablation,recon_no_sg,up_n_down,0,100000,1,158310.0,18943.0
ablation,recon_no_sg,up_n_down,0,100000,2,208300.0,27001.0
ablation,recon_no_sg,up_n_down,0,100000,3,256280.0,27001.0
ablation,recon_no_sg,up_n_down,0,100000,4,243860.0,27001.0
ablation,recon_no_sg,up_n_down,0,100000,5,254580.0,27001.0
ablation,recon_no_sg,up_n_down,0,100000,6,251020.0,27001.0
ablation,recon_no_sg,up_n_down,0,100000,7,239930.0,26015.0
ablation,recon_no_sg,up_n_down,0,100000,8,173580.0,19061.0
ablation,recon_no_sg,up_n_down,0,100000,9,256980.0,27001.0
