role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,recon_no_sg,boxing,0,10000,-2.9,10
ablation,recon_no_sg,boxing,0,20000,18.0,10
ablation,recon_no_sg,boxing,0,30000,62.1,10
ablation,recon_no_sg,boxing,0,40000,60.0,10
ablation,recon_no_sg,boxing,0,50000,75.1,10
ablation,recon_no_sg,boxing,0,60000,66.2,10
ablation,recon_no_sg,boxing,0,70000,68.5,10
ablation,recon_no_sg,boxing,0,80000,73.5,10
ablation,recon_no_sg,boxing,0,90000,71.4,10
ablation,recon_no_sg,boxing,0,100000,75.11,100
ablation,recon_no_sg,up_n_down,0,10000,1061.0,10
ablation,recon_no_sg,up_n_down,0,20000,1980.0,10
ablation,recon_no_sg,up_n_down,0,30000,2991.0,10
ablation,recon_no_sg,up_n_down,0,40000,5967.0,10
ablation,recon_no_sg,up_n_down,0,50000,34270.0,10
ablation,recon_no_sg,up_n_down,0,60000,74999.0,10
ablation,recon_no_sg,up_n_down,0,70000,228092.0,10
ablation,recon_no_sg,up_n_down,0,80000,202437.0,10
ablation,recon_no_sg,up_n_down,0,90000,74622.0,10
ablation,recon_no_sg,up_n_down,0,100000,217520.3,100
ablation,recon_no_sg,frostbite,0,10000,62.0,10
ablation,recon_no_sg,frostbite,0,20000,151.0,10
ablation,recon_no_sg,frostbite,0,30000,197.0,10
ablation,recon_no_sg,frostbite,0,40000,199.0,10
ablation,recon_no_sg,frostbite,0,50000,211.0,10
ablation,recon_no_sg,frostbite,0,60000,982.0,10
ablation,recon_no_sg,frostbite,0,70000,510.0,10
ablation,recon_no_sg,frostbite,0,80000,1080.0,10
ablation,recon_no_sg,frostbite,0,90000,1301.0,10
ablation,recon_no_sg,frostbite,0,100000,2429.3,100
ablation,recon_no_sg,road_runner,0,10000,1390.0,10
ablation,recon_no_sg,road_runner,0,20000,2250.0,10
ablation,recon_no_sg,road_runner,0,30000,5830.0,10
ablation,recon_no_sg,road_runner,0,40000,9410.0,10
ablation,recon_no_sg,road_runner,0,50000,10730.0,10
ablation,recon_no_sg,road_runner,0,60000,8450.0,10
ablation,recon_no_sg,road_runner,0,70000,10430.0,10
ablation,recon_no_sg,road_runner,0,80000,5490.0,10
ablation,recon_no_sg,road_runner,0,90000,6660.0,10
ablation,recon_no_sg,road_runner,0,100000,8695.0,100
