role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,reset_mask,boxing,0,10000,0,-13.0,1780.0
ablation,reset_mask,boxing,0,10000,1,-13.0,1781.0
ablation,reset_mask,boxing,0,10000,2,-22.0,1786.0
ablation,reset_mask,boxing,0,10000,3,-13.0,1784.0
ablation,reset_mask,boxing,0,10000,4,-19.0,1784.0
ablation,reset_mask,boxing,0,10000,5,-14.0,1785.0
ablation,reset_mask,boxing,0,10000,6,-30.0,1785.0
ablation,reset_mask,boxing,0,10000,7,-14.0,1779.0
ablation,reset_mask,boxing,0,10000,8,-6.0,1786.0
ablation,reset_mask,boxing,0,10000,9,-13.0,1780.0
ablation,reset_mask,boxing,0,20000,0,-3.0,1780.0
ablation,reset_mask,boxing,0,20000,1,-3.0,1781.0
ablation,reset_mask,boxing,0,20000,2,6.0,1786.0
ablation,reset_mask,boxing,0,20000,3,2.0,1784.0
ablation,reset_mask,boxing,0,20000,4,1.0,1784.0
ablation,reset_mask,boxing,0,20000,5,0.0,1785.0
ablation,reset_mask,boxing,0,20000,6,2.0,1785.0
ablation,reset_mask,boxing,0,20000,7,-2.0,1779.0
ablation,reset_mask,boxing,0,20000,8,-2.0,1786.0
ablation,reset_mask,boxing,0,20000,9,-7.0,1780.0
ablation,reset_mask,boxing,0,30000,0,0.0,1780.0
ablation,reset_mask,boxing,0,30000,1,19.0,1781.0
ablation,reset_mask,boxing,0,30000,2,26.0,1786.0
ablation,reset_mask,boxing,0,30000,3,46.0,1784.0
ablation,reset_mask,boxing,0,30000,4,26.0,1784.0
ablation,reset_mask,boxing,0,30000,5,48.0,1785.0
ablation,reset_mask,boxing,0,30000,6,20.0,1785.0
ablation,reset_mask,boxing,0,30000,7,17.0,1779.0
ablation,reset_mask,boxing,0,30000,8,50.0,1786.0
ablation,reset_mask,boxing,0,30000,9,26.0,1780.0
ablation,reset_mask,boxing,0,40000,0,28.0,1780.0
ablation,reset_mask,boxing,0,40000,1,41.0,1781.0
ablation,reset_mask,boxing,0,40000,2,63.0,1786.0
ablation,reset_mask,boxing,0,40000,3,27.0,1784.0
ablation,reset_mask,boxing,0,40000,4,70.0,1784.0
ablation,reset_mask,boxing,0,40000,5,56.0,1785.0
ablation,reset_mask,boxing,0,40000,6,78.0,1767.0
ablation,reset_mask,boxing,0,40000,7,74.0,1779.0
ablation,reset_mask,boxing,0,40000,8,72.0,1782.0
ablation,reset_mask,boxing,0,40000,9,78.0,1774.0
ablation,reset_mask,boxing,0,50000,0,38.0,1780.0
ablation,reset_mask,boxing,0,50000,1,46.0,1781.0
ablation,reset_mask,boxing,0,50000,2,59.0,1786.0
ablation,reset_mask,boxing,0,50000,3,65.0,1784.0
ablation,reset_mask,boxing,0,50000,4,78.0,1784.0
ablation,reset_mask,boxing,0,50000,5,78.0,1785.0
ablation,reset_mask,boxing,0,50000,6,72.0,1785.0
ablation,reset_mask,boxing,0,50000,7,62.0,1779.0
ablation,reset_mask,boxing,0,50000,8,66.0,1786.0
ablation,reset_mask,boxing,0,50000,9,69.0,1780.0
ablation,reset_mask,boxing,0,60000,0,80.0,1609.0
ablation,reset_mask,boxing,0,60000,1,67.0,1616.0
ablation,reset_mask,boxing,0,60000,2,49.0,1786.0
ablation,reset_mask,boxing,0,60000,3,43.0,1784.0
ablation,reset_mask,boxing,0,60000,4,67.0,1668.0
ablation,reset_mask,boxing,0,60000,5,63.0,1785.0
ablation,reset_mask,boxing,0,60000,6,78.0,1645.0
ablation,reset_mask,boxing,0,60000,7,85.0,1490.0
ablation,reset_mask,boxing,0,60000,8,68.0,1786.0
ablation,reset_mask,boxing,0,60000,9,51.0,1780.0
ablation,reset_mask,boxing,0,70000,0,65.0,1780.0
