role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,reset_mask,boxing,0,10000,-15.7,10
ablation,reset_mask,boxing,0,20000,-0.6,10
ablation,reset_mask,boxing,0,30000,27.8,10
ablation,reset_mask,boxing,0,40000,58.7,10
ablation,reset_mask,boxing,0,50000,63.3,10
ablation,reset_mask,boxing,0,60000,65.1,10
ablation,reset_mask,boxing,0,70000,70.3,10
ablation,reset_mask,boxing,0,80000,65.6,10
ablation,reset_mask,boxing,0,90000,79.6,10
ablation,reset_mask,boxing,0,100000,72.62,100
ablation,reset_mask,up_n_down,0,10000,443.0,10
ablation,reset_mask,up_n_down,0,20000,14072.0,10
ablation,reset_mask,up_n_down,0,30000,2073.0,10
ablation,reset_mask,up_n_down,0,40000,2233.0,10
ablation,reset_mask,up_n_down,0,50000,86321.0,10
ablation,reset_mask,up_n_down,0,60000,4257.0,10
ablation,reset_mask,up_n_down,0,70000,2922.0,10
ablation,reset_mask,up_n_down,0,80000,6134.0,10
ablation,reset_mask,up_n_down,0,90000,7306.0,10
ablation,reset_mask,up_n_down,0,100000,7575.3,100
ablation,reset_mask,frostbite,0,10000,112.0,10
ablation,reset_mask,frostbite,0,20000,167.0,10
ablation,reset_mask,frostbite,0,30000,196.0,10
ablation,reset_mask,frostbite,0,40000,199.0,10
ablation,reset_mask,frostbite,0,50000,235.0,10
ablation,reset_mask,frostbite,0,60000,246.0,10
ablation,reset_mask,frostbite,0,70000,240.0,10
ablation,reset_mask,frostbite,0,80000,244.0,10
ablation,reset_mask,frostbite,0,90000,378.0,10
ablation,reset_mask,frostbite,0,100000,382.7,100
ablation,reset_mask,road_runner,0,10000,670.0,10
ablation,reset_mask,road_runner,0,20000,4050.0,10
ablation,reset_mask,road_runner,0,30000,12940.0,10
ablation,reset_mask,road_runner,0,40000,16070.0,10
ablation,reset_mask,road_runner,0,50000,15270.0,10
ablation,reset_mask,road_runner,0,60000,14880.0,10
ablation,reset_mask,road_runner,0,70000,14380.0,10
ablation,reset_mask,road_runner,0,80000,16630.0,10
ablation,reset_mask,road_runner,0,90000,17060.0,10
ablation,reset_mask,road_runner,0,100000,16006.0,100
