role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,reset_mask_validnorm,boxing,0,10000,0,-16.0,1780.0
ablation,reset_mask_validnorm,boxing,0,10000,1,-22.0,1781.0
ablation,reset_mask_validnorm,boxing,0,10000,2,-42.0,1786.0
ablation,reset_mask_validnorm,boxing,0,10000,3,-22.0,1784.0
ablation,reset_mask_validnorm,boxing,0,10000,4,-16.0,1784.0
ablation,reset_mask_validnorm,boxing,0,10000,5,-28.0,1785.0
ablation,reset_mask_validnorm,boxing,0,10000,6,-12.0,1785.0
ablation,reset_mask_validnorm,boxing,0,10000,7,-22.0,1779.0
ablation,reset_mask_validnorm,boxing,0,10000,8,-2.0,1786.0
ablation,reset_mask_validnorm,boxing,0,10000,9,-21.0,1780.0
ablation,reset_mask_validnorm,boxing,0,20000,0,-26.0,1780.0
ablation,reset_mask_validnorm,boxing,0,20000,1,39.0,1321.0
ablation,reset_mask_validnorm,boxing,0,20000,2,-50.0,1786.0
ablation,reset_mask_validnorm,boxing,0,20000,3,-33.0,1784.0
ablation,reset_mask_validnorm,boxing,0,20000,4,-33.0,1784.0
ablation,reset_mask_validnorm,boxing,0,20000,5,-46.0,1785.0
ablation,reset_mask_validnorm,boxing,0,20000,6,-34.0,1785.0
ablation,reset_mask_validnorm,boxing,0,20000,7,-59.0,1779.0
ablation,reset_mask_validnorm,boxing,0,20000,8,-47.0,1786.0
ablation,reset_mask_validnorm,boxing,0,20000,9,-33.0,1780.0
ablation,reset_mask_validnorm,boxing,0,30000,0,78.0,867.0
ablation,reset_mask_validnorm,boxing,0,30000,1,68.0,1132.0
ablation,reset_mask_validnorm,boxing,0,30000,2,65.0,1151.0
ablation,reset_mask_validnorm,boxing,0,30000,3,63.0,1196.0
ablation,reset_mask_validnorm,boxing,0,30000,4,58.0,1279.0
ablation,reset_mask_validnorm,boxing,0,30000,5,60.0,1262.0
ablation,reset_mask_validnorm,boxing,0,30000,6,60.0,1249.0
ablation,reset_mask_validnorm,boxing,0,30000,7,58.0,1232.0
ablation,reset_mask_validnorm,boxing,0,30000,8,60.0,1374.0
ablation,reset_mask_validnorm,boxing,0,30000,9,66.0,1244.0
ablation,reset_mask_validnorm,boxing,0,40000,0,73.0,953.0
ablation,reset_mask_validnorm,boxing,0,40000,1,75.0,920.0
ablation,reset_mask_validnorm,boxing,0,40000,2,53.0,1447.0
ablation,reset_mask_validnorm,boxing,0,40000,3,55.0,1236.0
ablation,reset_mask_validnorm,boxing,0,40000,4,83.0,902.0
ablation,reset_mask_validnorm,boxing,0,40000,5,85.0,663.0
ablation,reset_mask_validnorm,boxing,0,40000,6,67.0,1119.0
