role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full_validnorm,boxing,0,10000,4.2,10
comparator,full_validnorm,boxing,0,20000,30.5,10
comparator,full_validnorm,boxing,0,30000,45.3,10
comparator,full_validnorm,boxing,0,40000,60.7,10
comparator,full_validnorm,boxing,0,50000,65.4,10
comparator,full_validnorm,boxing,0,60000,71.0,10
comparator,full_validnorm,boxing,0,70000,66.5,10
comparator,full_validnorm,boxing,0,80000,74.0,10
comparator,full_validnorm,boxing,0,90000,71.6,10
comparator,full_validnorm,boxing,0,100000,73.03,100
comparator,full_validnorm,up_n_down,0,10000,1552.0,10
comparator,full_validnorm,up_n_down,0,20000,9955.0,10
comparator,full_validnorm,up_n_down,0,30000,2275.0,10
comparator,full_validnorm,up_n_down,0,40000,3583.0,10
comparator,full_validnorm,up_n_down,0,50000,3282.0,10
comparator,full_validnorm,up_n_down,0,60000,52811.0,10
comparator,full_validnorm,up_n_down,0,70000,90062.0,10
comparator,full_validnorm,up_n_down,0,80000,14143.0,10
comparator,full_validnorm,up_n_down,0,90000,3200.0,10
comparator,full_validnorm,up_n_down,0,100000,10373.1,100
comparator,full_validnorm,frostbite,0,10000,69.0,10
comparator,full_validnorm,frostbite,0,20000,202.0,10
comparator,full_validnorm,frostbite,0,30000,218.0,10
comparator,full_validnorm,frostbite,0,40000,225.0,10
comparator,full_validnorm,frostbite,0,50000,225.0,10
comparator,full_validnorm,frostbite,0,60000,234.0,10
comparator,full_validnorm,frostbite,0,70000,242.0,10
comparator,full_validnorm,frostbite,0,80000,247.0,10
comparator,full_validnorm,frostbite,0,90000,248.0,10
comparator,full_validnorm,frostbite,0,100000,263.9,100
comparator,full_validnorm,road_runner,0,10000,950.0,10
comparator,full_validnorm,road_runner,0,20000,2100.0,10
comparator,full_validnorm,road_runner,0,30000,4140.0,10
comparator,full_validnorm,road_runner,0,40000,9800.0,10
comparator,full_validnorm,road_runner,0,50000,7380.0,10
comparator,full_validnorm,road_runner,0,60000,9620.0,10
comparator,full_validnorm,road_runner,0,70000,13450.0,10
comparator,full_validnorm,road_runner,0,80000,13470.0,10
comparator,full_validnorm,road_runner,0,90000,14470.0,10
comparator,full_validnorm,road_runner,0,100000,14927.0,100
ablation,reset_mask_validnorm,boxing,0,10000,-20.3,10
ablation,reset_mask_validnorm,boxing,0,20000,-32.2,10
ablation,reset_mask_validnorm,boxing,0,30000,63.6,10
ablation,reset_mask_validnorm,boxing,0,40000,73.1,10
ablation,reset_mask_validnorm,boxing,0,50000,78.0,10
ablation,reset_mask_validnorm,boxing,0,60000,79.8,10
ablation,reset_mask_validnorm,boxing,0,70000,87.2,10
ablation,reset_mask_validnorm,boxing,0,80000,79.0,10
ablation,reset_mask_validnorm,boxing,0,90000,85.3,10
ablation,reset_mask_validnorm,boxing,0,100000,88.8,100
ablation,reset_mask_validnorm,up_n_down,0,10000,2004.0,10
ablation,reset_mask_validnorm,up_n_down,0,20000,8736.0,10
ablation,reset_mask_validnorm,up_n_down,0,30000,4982.0,10
ablation,reset_mask_validnorm,up_n_down,0,40000,16543.0,10
ablation,reset_mask_validnorm,up_n_down,0,50000,3363.0,10
ablation,reset_mask_validnorm,up_n_down,0,60000,84590.0,10
ablation,reset_mask_validnorm,up_n_down,0,70000,58296.0,10
ablation,reset_mask_validnorm,up_n_down,0,80000,109477.0,10
ablation,reset_mask_validnorm,up_n_down,0,90000,104565.0,10
ablation,reset_mask_validnorm,up_n_down,0,100000,134450.2,100
ablation,reset_mask_validnorm,frostbite,0,10000,155.0,10
ablation,reset_mask_validnorm,frostbite,0,20000,202.0,10
ablation,reset_mask_validnorm,frostbite,0,30000,199.0,10
ablation,reset_mask_validnorm,frostbite,0,40000,218.0,10
ablation,reset_mask_validnorm,frostbite,0,50000,218.0,10
ablation,reset_mask_validnorm,frostbite,0,60000,220.0,10
ablation,reset_mask_validnorm,frostbite,0,70000,273.0,10
ablation,reset_mask_validnorm,frostbite,0,80000,253.0,10
ablation,reset_mask_validnorm,frostbite,0,90000,991.0,10
ablation,reset_mask_validnorm,frostbite,0,100000,2315.9,100
ablation,reset_mask_validnorm,road_runner,0,10000,610.0,10
ablation,reset_mask_validnorm,road_runner,0,20000,3410.0,10
ablation,reset_mask_validnorm,road_runner,0,30000,7160.0,10
ablation,reset_mask_validnorm,road_runner,0,40000,6870.0,10
ablation,reset_mask_validnorm,road_runner,0,50000,12090.0,10
ablation,reset_mask_validnorm,road_runner,0,60000,14830.0,10
ablation,reset_mask_validnorm,road_runner,0,70000,12280.0,10
ablation,reset_mask_validnorm,road_runner,0,80000,14830.0,10
ablation,reset_mask_validnorm,road_runner,0,90000,15070.0,10
ablation,reset_mask_validnorm,road_runner,0,100000,15020.0,100
