role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,reverse,boxing,0,10000,0,1.0,1780.0
ablation,reverse,boxing,0,10000,1,-10.0,1781.0
ablation,reverse,boxing,0,10000,2,13.0,1786.0
ablation,reverse,boxing,0,10000,3,-1.0,1784.0
ablation,reverse,boxing,0,10000,4,-1.0,1784.0
ablation,reverse,boxing,0,10000,5,4.0,1785.0
ablation,reverse,boxing,0,10000,6,1.0,1785.0
ablation,reverse,boxing,0,10000,7,0.0,1779.0
ablation,reverse,boxing,0,10000,8,1.0,1786.0
ablation,reverse,boxing,0,10000,9,-8.0,1780.0
ablation,reverse,boxing,0,20000,0,45.0,1780.0
ablation,reverse,boxing,0,20000,1,33.0,1781.0
ablation,reverse,boxing,0,20000,2,25.0,1786.0
ablation,reverse,boxing,0,20000,3,25.0,1784.0
ablation,reverse,boxing,0,20000,4,52.0,1784.0
ablation,reverse,boxing,0,20000,5,49.0,1785.0
ablation,reverse,boxing,0,20000,6,50.0,1785.0
ablation,reverse,boxing,0,20000,7,32.0,1779.0
ablation,reverse,boxing,0,20000,8,17.0,1786.0
ablation,reverse,boxing,0,20000,9,34.0,1780.0
ablation,reverse,boxing,0,30000,0,48.0,1780.0
ablation,reverse,boxing,0,30000,1,42.0,1781.0
ablation,reverse,boxing,0,30000,2,45.0,1786.0
ablation,reverse,boxing,0,30000,3,28.0,1784.0
ablation,reverse,boxing,0,30000,4,38.0,1784.0
ablation,reverse,boxing,0,30000,5,39.0,1785.0
ablation,reverse,boxing,0,30000,6,28.0,1785.0
ablation,reverse,boxing,0,30000,7,29.0,1779.0
ablation,reverse,boxing,0,30000,8,44.0,1786.0
ablation,reverse,boxing,0,30000,9,50.0,1780.0
ablation,reverse,boxing,0,40000,0,42.0,1780.0
ablation,reverse,boxing,0,40000,1,62.0,1781.0
ablation,reverse,boxing,0,40000,2,60.0,1786.0
ablation,reverse,boxing,0,40000,3,39.0,1784.0
ablation,reverse,boxing,0,40000,4,56.0,1784.0
ablation,reverse,boxing,0,40000,5,53.0,1785.0
ablation,reverse,boxing,0,40000,6,49.0,1785.0
ablation,reverse,boxing,0,40000,7,54.0,1779.0
ablation,reverse,boxing,0,40000,8,50.0,1786.0
ablation,reverse,boxing,0,40000,9,53.0,1780.0
ablation,reverse,boxing,0,50000,0,48.0,1780.0
ablation,reverse,boxing,0,50000,1,45.0,1781.0
ablation,reverse,boxing,0,50000,2,66.0,1786.0
ablation,reverse,boxing,0,50000,3,53.0,1784.0
ablation,reverse,boxing,0,50000,4,65.0,1784.0
ablation,reverse,boxing,0,50000,5,55.0,1785.0
ablation,reverse,boxing,0,50000,6,53.0,1785.0
ablation,reverse,boxing,0,50000,7,67.0,1779.0
ablation,reverse,boxing,0,50000,8,71.0,1786.0
ablation,reverse,boxing,0,50000,9,37.0,1780.0
ablation,reverse,boxing,0,60000,0,64.0,1780.0
ablation,reverse,boxing,0,60000,1,53.0,1781.0
ablation,reverse,boxing,0,60000,2,70.0,1786.0
ablation,reverse,boxing,0,60000,3,82.0,1711.0
ablation,reverse,boxing,0,60000,4,81.0,1616.0
ablation,reverse,boxing,0,60000,5,81.0,1378.0
ablation,reverse,boxing,0,60000,6,51.0,1785.0
ablation,reverse,boxing,0,60000,7,43.0,1779.0
ablation,reverse,boxing,0,60000,8,84.0,1711.0
ablation,reverse,boxing,0,60000,9,47.0,1780.0
ablation,reverse,boxing,0,70000,0,58.0,1780.0
ablation,reverse,boxing,0,70000,1,50.0,1781.0
ablation,reverse,boxing,0,70000,2,52.0,1786.0
ablation,reverse,boxing,0,70000,3,33.0,1784.0
ablation,reverse,boxing,0,70000,4,46.0,1784.0
ablation,reverse,boxing,0,70000,5,59.0,1785.0
ablation,reverse,boxing,0,70000,6,57.0,1785.0
ablation,reverse,boxing,0,70000,7,57.0,1779.0
ablation,reverse,boxing,0,70000,8,54.0,1786.0
ablation,reverse,boxing,0,70000,9,60.0,1780.0
ablation,reverse,boxing,0,80000,0,57.0,1780.0
ablation,reverse,boxing,0,80000,1,86.0,1628.0
ablation,reverse,boxing,0,80000,2,84.0,1704.0
ablation,reverse,boxing,0,80000,3,88.0,1652.0
ablation,reverse,boxing,0,80000,4,57.0,1784.0
ablation,reverse,boxing,0,80000,5,77.0,1747.0
ablation,reverse,boxing,0,80000,6,88.0,1595.0
ablation,reverse,boxing,0,80000,7,90.0,1668.0
ablation,reverse,boxing,0,80000,8,84.0,1786.0
ablation,reverse,boxing,0,80000,9,83.0,1548.0
ablation,reverse,boxing,0,90000,0,57.0,1780.0
ablation,reverse,boxing,0,90000,1,59.0,1781.0
ablation,reverse,boxing,0,90000,2,73.0,1786.0
ablation,reverse,boxing,0,90000,3,36.0,1784.0
ablation,reverse,boxing,0,90000,4,47.0,1784.0
ablation,reverse,boxing,0,90000,5,87.0,1544.0
ablation,reverse,boxing,0,90000,6,42.0,1785.0
ablation,reverse,boxing,0,90000,7,39.0,1779.0
ablation,reverse,boxing,0,90000,8,63.0,1786.0
ablation,reverse,boxing,0,90000,9,42.0,1780.0
ablation,reverse,boxing,0,100000,0,65.0,1780.0
ablation,reverse,boxing,0,100000,1,69.0,1758.0
ablation,reverse,boxing,0,100000,2,74.0,1641.0
ablation,reverse,boxing,0,100000,3,80.0,1598.0
ablation,reverse,boxing,0,100000,4,62.0,1784.0
ablation,reverse,boxing,0,100000,5,75.0,1571.0
ablation,reverse,boxing,0,100000,6,82.0,1677.0
ablation,reverse,boxing,0,100000,7,71.0,1737.0
ablation,reverse,boxing,0,100000,8,62.0,1652.0
ablation,reverse,boxing,0,100000,9,76.0,1768.0
ablation,reverse,boxing,0,100000,10,62.0,1633.0
