role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,reverse,boxing,0,10000,0.0,10
ablation,reverse,boxing,0,20000,36.2,10
ablation,reverse,boxing,0,30000,39.1,10
ablation,reverse,boxing,0,40000,51.8,10
ablation,reverse,boxing,0,50000,56.0,10
ablation,reverse,boxing,0,60000,65.6,10
ablation,reverse,boxing,0,70000,52.6,10
ablation,reverse,boxing,0,80000,79.4,10
ablation,reverse,boxing,0,90000,54.5,10
ablation,reverse,boxing,0,100000,70.8,100
ablation,reverse,up_n_down,0,10000,1667.0,10
ablation,reverse,up_n_down,0,20000,1192.0,10
ablation,reverse,up_n_down,0,30000,1929.0,10
ablation,reverse,up_n_down,0,40000,2311.0,10
ablation,reverse,up_n_down,0,50000,2929.0,10
ablation,reverse,up_n_down,0,60000,3541.0,10
ablation,reverse,up_n_down,0,70000,3588.0,10
ablation,reverse,up_n_down,0,80000,3403.0,10
ablation,reverse,up_n_down,0,90000,3838.0,10
ablation,reverse,up_n_down,0,100000,9914.6,100
ablation,reverse,frostbite,0,10000,134.0,10
ablation,reverse,frostbite,0,20000,201.0,10
ablation,reverse,frostbite,0,30000,202.0,10
ablation,reverse,frostbite,0,40000,204.0,10
ablation,reverse,frostbite,0,50000,221.0,10
ablation,reverse,frostbite,0,60000,259.0,10
ablation,reverse,frostbite,0,70000,535.0,10
ablation,reverse,frostbite,0,80000,2237.0,10
ablation,reverse,frostbite,0,90000,1536.0,10
ablation,reverse,frostbite,0,100000,2624.0,100
ablation,reverse,road_runner,0,10000,880.0,10
ablation,reverse,road_runner,0,20000,5480.0,10
ablation,reverse,road_runner,0,30000,11830.0,10
ablation,reverse,road_runner,0,40000,13730.0,10
ablation,reverse,road_runner,0,50000,14260.0,10
ablation,reverse,road_runner,0,60000,15310.0,10
ablation,reverse,road_runner,0,70000,14260.0,10
ablation,reverse,road_runner,0,80000,15600.0,10
ablation,reverse,road_runner,0,90000,15810.0,10
ablation,reverse,road_runner,0,100000,14177.0,100
