role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,reverse_validnorm,boxing,0,10000,0,-4.0,1780.0
ablation,reverse_validnorm,boxing,0,10000,1,0.0,1781.0
ablation,reverse_validnorm,boxing,0,10000,2,11.0,1786.0
ablation,reverse_validnorm,boxing,0,10000,3,0.0,1784.0
ablation,reverse_validnorm,boxing,0,10000,4,-6.0,1784.0
ablation,reverse_validnorm,boxing,0,10000,5,-1.0,1785.0
ablation,reverse_validnorm,boxing,0,10000,6,-4.0,1785.0
ablation,reverse_validnorm,boxing,0,10000,7,-3.0,1779.0
ablation,reverse_validnorm,boxing,0,10000,8,-2.0,1786.0
ablation,reverse_validnorm,boxing,0,10000,9,-13.0,1780.0
ablation,reverse_validnorm,boxing,0,20000,0,38.0,1780.0
ablation,reverse_validnorm,boxing,0,20000,1,43.0,1781.0
ablation,reverse_validnorm,boxing,0,20000,2,72.0,1786.0
ablation,reverse_validnorm,boxing,0,20000,3,52.0,1784.0
ablation,reverse_validnorm,boxing,0,20000,4,55.0,1784.0
ablation,reverse_validnorm,boxing,0,20000,5,57.0,1785.0
ablation,reverse_validnorm,boxing,0,20000,6,27.0,1785.0
ablation,reverse_validnorm,boxing,0,20000,7,34.0,1779.0
ablation,reverse_validnorm,boxing,0,20000,8,46.0,1786.0
ablation,reverse_validnorm,boxing,0,20000,9,37.0,1780.0
ablation,reverse_validnorm,boxing,0,30000,0,44.0,1780.0
ablation,reverse_validnorm,boxing,0,30000,1,56.0,1781.0
ablation,reverse_validnorm,boxing,0,30000,2,24.0,1786.0
ablation,reverse_validnorm,boxing,0,30000,3,23.0,1784.0
ablation,reverse_validnorm,boxing,0,30000,4,26.0,1784.0
ablation,reverse_validnorm,boxing,0,30000,5,32.0,1785.0
ablation,reverse_validnorm,boxing,0,30000,6,54.0,1785.0
ablation,reverse_validnorm,boxing,0,30000,7,61.0,1779.0
ablation,reverse_validnorm,boxing,0,30000,8,36.0,1786.0
ablation,reverse_validnorm,boxing,0,30000,9,42.0,1780.0
ablation,reverse_validnorm,boxing,0,40000,0,23.0,1780.0
ablation,reverse_validnorm,boxing,0,40000,1,67.0,1781.0
ablation,reverse_validnorm,boxing,0,40000,2,66.0,1786.0
ablation,reverse_validnorm,boxing,0,40000,3,67.0,1784.0
ablation,reverse_validnorm,boxing,0,40000,4,60.0,1784.0
ablation,reverse_validnorm,boxing,0,40000,5,37.0,1785.0
ablation,reverse_validnorm,boxing,0,40000,6,30.0,1785.0
ablation,reverse_validnorm,boxing,0,40000,7,30.0,1779.0
ablation,reverse_validnorm,boxing,0,40000,8,54.0,1786.0
ablation,reverse_validnorm,boxing,0,40000,9,55.0,1780.0
ablation,reverse_validnorm,boxing,0,50000,0,61.0,1780.0
ablation,reverse_validnorm,boxing,0,50000,1,64.0,1759.0
ablation,reverse_validnorm,boxing,0,50000,2,50.0,1786.0
ablation,reverse_validnorm,boxing,0,50000,3,40.0,1784.0
ablation,reverse_validnorm,boxing,0,50000,4,53.0,1784.0
ablation,reverse_validnorm,boxing,0,50000,5,36.0,1785.0
ablation,reverse_validnorm,boxing,0,50000,6,44.0,1785.0
ablation,reverse_validnorm,boxing,0,50000,7,40.0,1779.0
ablation,reverse_validnorm,boxing,0,50000,8,53.0,1786.0
ablation,reverse_validnorm,boxing,0,50000,9,36.0,1780.0
ablation,reverse_validnorm,boxing,0,60000,0,52.0,1780.0
ablation,reverse_validnorm,boxing,0,60000,1,23.0,1781.0
ablation,reverse_validnorm,boxing,0,60000,2,54.0,1786.0
ablation,reverse_validnorm,boxing,0,60000,3,55.0,1784.0
ablation,reverse_validnorm,boxing,0,60000,4,46.0,1784.0
ablation,reverse_validnorm,boxing,0,60000,5,33.0,1785.0
ablation,reverse_validnorm,boxing,0,60000,6,32.0,1785.0
ablation,reverse_validnorm,boxing,0,60000,7,29.0,1779.0
ablation,reverse_validnorm,boxing,0,60000,8,58.0,1786.0
ablation,reverse_validnorm,boxing,0,60000,9,49.0,1780.0
ablation,reverse_validnorm,boxing,0,70000,0,67.0,1506.0
ablation,reverse_validnorm,boxing,0,70000,1,79.0,1673.0
ablation,reverse_validnorm,boxing,0,70000,2,60.0,1786.0
ablation,reverse_validnorm,boxing,0,70000,3,63.0,1784.0
ablation,reverse_validnorm,boxing,0,70000,4,74.0,1718.0
ablation,reverse_validnorm,boxing,0,70000,5,80.0,1572.0
ablation,reverse_validnorm,boxing,0,70000,6,66.0,1785.0
ablation,reverse_validnorm,boxing,0,70000,7,67.0,1756.0
ablation,reverse_validnorm,boxing,0,70000,8,87.0,1744.0
ablation,reverse_validnorm,boxing,0,70000,9,62.0,1780.0
ablation,reverse_validnorm,boxing,0,80000,0,74.0,1780.0
ablation,reverse_validnorm,boxing,0,80000,1,76.0,1781.0
ablation,reverse_validnorm,boxing,0,80000,2,61.0,1786.0
ablation,reverse_validnorm,boxing,0,80000,3,44.0,1784.0
ablation,reverse_validnorm,boxing,0,80000,4,45.0,1784.0
ablation,reverse_validnorm,boxing,0,80000,5,52.0,1785.0
ablation,reverse_validnorm,boxing,0,80000,6,45.0,1785.0
ablation,reverse_validnorm,boxing,0,80000,7,42.0,1779.0
ablation,reverse_validnorm,boxing,0,80000,8,48.0,1786.0
ablation,reverse_validnorm,boxing,0,80000,9,43.0,1780.0
ablation,reverse_validnorm,boxing,0,90000,0,25.0,1780.0
ablation,reverse_validnorm,boxing,0,90000,1,71.0,1404.0
ablation,reverse_validnorm,boxing,0,90000,2,70.0,1489.0
ablation,reverse_validnorm,boxing,0,90000,3,53.0,1480.0
ablation,reverse_validnorm,boxing,0,90000,4,68.0,1165.0
ablation,reverse_validnorm,boxing,0,90000,5,54.0,1785.0
ablation,reverse_validnorm,boxing,0,90000,6,58.0,1468.0
ablation,reverse_validnorm,boxing,0,90000,7,5.0,1779.0
ablation,reverse_validnorm,boxing,0,90000,8,68.0,1608.0
ablation,reverse_validnorm,boxing,0,90000,9,66.0,1453.0
ablation,reverse_validnorm,boxing,0,100000,0,78.0,1599.0
ablation,reverse_validnorm,boxing,0,100000,1,80.0,1743.0
ablation,reverse_validnorm,boxing,0,100000,2,81.0,1786.0
ablation,reverse_validnorm,boxing,0,100000,3,64.0,1784.0
ablation,reverse_validnorm,boxing,0,100000,4,80.0,1763.0
ablation,reverse_validnorm,boxing,0,100000,5,67.0,1449.0
ablation,reverse_validnorm,boxing,0,100000,6,63.0,1785.0
ablation,reverse_validnorm,boxing,0,100000,7,73.0,1616.0
ablation,reverse_validnorm,boxing,0,100000,8,50.0,1786.0
ablation,reverse_validnorm,boxing,0,100000,9,67.0,1656.0
ablation,reverse_validnorm,boxing,0,100000,10,62.0,1782.0
ablation,reverse_validnorm,boxing,0,100000,11,61.0,1784.0
ablation,reverse_validnorm,boxing,0,100000,12,82.0,1616.0
ablation,reverse_validnorm,boxing,0,100000,13,63.0,1782.0
ablation,reverse_validnorm,boxing,0,100000,14,81.0,1726.0
ablation,reverse_validnorm,boxing,0,100000,15,85.0,1520.0
ablation,reverse_validnorm,boxing,0,100000,16,48.0,1780.0
ablation,reverse_validnorm,boxing,0,100000,17,69.0,1680.0
ablation,reverse_validnorm,boxing,0,100000,18,78.0,1577.0
ablation,reverse_validnorm,boxing,0,100000,19,76.0,1552.0
ablation,reverse_validnorm,boxing,0,100000,20,48.0,1781.0
ablation,reverse_validnorm,boxing,0,100000,21,80.0,1765.0
