role,arm,game,seed,agent_steps,mean_return,episodes
comparator,reverse,boxing,0,10000,0.0,10
comparator,reverse,boxing,0,20000,36.2,10
comparator,reverse,boxing,0,30000,39.1,10
comparator,reverse,boxing,0,40000,51.8,10
comparator,reverse,boxing,0,50000,56.0,10
comparator,reverse,boxing,0,60000,65.6,10
comparator,reverse,boxing,0,70000,52.6,10
comparator,reverse,boxing,0,80000,79.4,10
comparator,reverse,boxing,0,90000,54.5,10
comparator,reverse,boxing,0,100000,70.8,100
comparator,reverse,up_n_down,0,10000,1667.0,10
comparator,reverse,up_n_down,0,20000,1192.0,10
comparator,reverse,up_n_down,0,30000,1929.0,10
comparator,reverse,up_n_down,0,40000,2311.0,10
comparator,reverse,up_n_down,0,50000,2929.0,10
comparator,reverse,up_n_down,0,60000,3541.0,10
comparator,reverse,up_n_down,0,70000,3588.0,10
comparator,reverse,up_n_down,0,80000,3403.0,10
comparator,reverse,up_n_down,0,90000,3838.0,10
comparator,reverse,up_n_down,0,100000,9914.6,100
comparator,reverse,frostbite,0,10000,134.0,10
comparator,reverse,frostbite,0,20000,201.0,10
comparator,reverse,frostbite,0,30000,202.0,10
comparator,reverse,frostbite,0,40000,204.0,10
comparator,reverse,frostbite,0,50000,221.0,10
comparator,reverse,frostbite,0,60000,259.0,10
comparator,reverse,frostbite,0,70000,535.0,10
comparator,reverse,frostbite,0,80000,2237.0,10
comparator,reverse,frostbite,0,90000,1536.0,10
comparator,reverse,frostbite,0,100000,2624.0,100
comparator,reverse,road_runner,0,10000,880.0,10
comparator,reverse,road_runner,0,20000,5480.0,10
comparator,reverse,road_runner,0,30000,11830.0,10
comparator,reverse,road_runner,0,40000,13730.0,10
comparator,reverse,road_runner,0,50000,14260.0,10
comparator,reverse,road_runner,0,60000,15310.0,10
comparator,reverse,road_runner,0,70000,14260.0,10
comparator,reverse,road_runner,0,80000,15600.0,10
comparator,reverse,road_runner,0,90000,15810.0,10
comparator,reverse,road_runner,0,100000,14177.0,100
ablation,reverse_validnorm,boxing,0,10000,-2.2,10
ablation,reverse_validnorm,boxing,0,20000,46.1,10
ablation,reverse_validnorm,boxing,0,30000,39.8,10
ablation,reverse_validnorm,boxing,0,40000,48.9,10
ablation,reverse_validnorm,boxing,0,50000,47.7,10
ablation,reverse_validnorm,boxing,0,60000,43.1,10
ablation,reverse_validnorm,boxing,0,70000,70.5,10
ablation,reverse_validnorm,boxing,0,80000,53.0,10
ablation,reverse_validnorm,boxing,0,90000,53.8,10
ablation,reverse_validnorm,boxing,0,100000,68.3,100
ablation,reverse_validnorm,up_n_down,0,10000,4393.0,10
ablation,reverse_validnorm,up_n_down,0,20000,8889.0,10
ablation,reverse_validnorm,up_n_down,0,30000,4944.0,10
ablation,reverse_validnorm,up_n_down,0,40000,4297.0,10
ablation,reverse_validnorm,up_n_down,0,50000,20670.0,10
ablation,reverse_validnorm,up_n_down,0,60000,8747.0,10
ablation,reverse_validnorm,up_n_down,0,70000,11715.0,10
ablation,reverse_validnorm,up_n_down,0,80000,61452.0,10
ablation,reverse_validnorm,up_n_down,0,90000,51527.0,10
ablation,reverse_validnorm,up_n_down,0,100000,21952.5,100
ablation,reverse_validnorm,frostbite,0,10000,99.0,10
ablation,reverse_validnorm,frostbite,0,20000,155.0,10
ablation,reverse_validnorm,frostbite,0,30000,190.0,10
ablation,reverse_validnorm,frostbite,0,40000,153.0,10
ablation,reverse_validnorm,frostbite,0,50000,243.0,10
ablation,reverse_validnorm,frostbite,0,60000,235.0,10
ablation,reverse_validnorm,frostbite,0,70000,245.0,10
ablation,reverse_validnorm,frostbite,0,80000,263.0,10
ablation,reverse_validnorm,frostbite,0,90000,246.0,10
ablation,reverse_validnorm,frostbite,0,100000,259.5,100
ablation,reverse_validnorm,road_runner,0,10000,560.0,10
ablation,reverse_validnorm,road_runner,0,20000,2610.0,10
ablation,reverse_validnorm,road_runner,0,30000,6250.0,10
ablation,reverse_validnorm,road_runner,0,40000,11600.0,10
ablation,reverse_validnorm,road_runner,0,50000,13980.0,10
ablation,reverse_validnorm,road_runner,0,60000,14400.0,10
ablation,reverse_validnorm,road_runner,0,70000,15150.0,10
ablation,reverse_validnorm,road_runner,0,80000,14140.0,10
ablation,reverse_validnorm,road_runner,0,90000,14740.0,10
ablation,reverse_validnorm,road_runner,0,100000,15635.0,100
