Run ID,Arm,Task,Seed,Size,Warmup,Status,Start (YYYY-MM-DD HH:MM),End (YYYY-MM-DD HH:MM),Hours,Final score,HNS,W&B URL,Notes,Command (auto-generated — copy and run)
run_001,baseline,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh baseline 0 atari100k_breakout size25m
run_002,baseline,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh baseline 1 atari100k_breakout size25m
run_003,baseline,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh baseline 2 atari100k_breakout size25m
run_004,htp_empty_projection,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_empty_projection 0 atari100k_breakout size25m
run_005,htp_empty_projection,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_empty_projection 1 atari100k_breakout size25m
run_006,htp_empty_projection,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_empty_projection 2 atari100k_breakout size25m
run_007,htp_full,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_full 0 atari100k_breakout size25m
run_008,htp_full,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_full 1 atari100k_breakout size25m
run_009,htp_full,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_full 2 atari100k_breakout size25m
run_010,htp_recon_only,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_recon_only 0 atari100k_breakout size25m
run_011,htp_recon_only,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_recon_only 1 atari100k_breakout size25m
run_012,htp_recon_only,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_recon_only 2 atari100k_breakout size25m
run_013,htp_pdyn_only,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_pdyn_only 0 atari100k_breakout size25m
run_014,htp_pdyn_only,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_pdyn_only 1 atari100k_breakout size25m
run_015,htp_pdyn_only,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_pdyn_only 2 atari100k_breakout size25m
run_016,htp_separable,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_separable 0 atari100k_breakout size25m
run_017,htp_separable,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_separable 1 atari100k_breakout size25m
run_018,htp_separable,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_separable 2 atari100k_breakout size25m
run_019,htp_joint,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_joint 0 atari100k_breakout size25m
run_020,htp_joint,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_joint 1 atari100k_breakout size25m
run_021,htp_joint,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_joint 2 atari100k_breakout size25m
run_022,htp_reverse_strides,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_reverse_strides 0 atari100k_breakout size25m
run_023,htp_reverse_strides,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_reverse_strides 1 atari100k_breakout size25m
run_024,htp_reverse_strides,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_reverse_strides 2 atari100k_breakout size25m
run_025,htp_slim,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim 0 atari100k_breakout size25m
run_026,htp_slim,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim 1 atari100k_breakout size25m
run_027,htp_slim,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim 2 atari100k_breakout size25m
run_028,htp_slim_vicreg,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim_vicreg 0 atari100k_breakout size25m
run_029,htp_slim_vicreg,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim_vicreg 1 atari100k_breakout size25m
run_030,htp_slim_vicreg,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim_vicreg 2 atari100k_breakout size25m
run_031,htp_slim_postHoc,atari100k_breakout,0,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim_postHoc 0 atari100k_breakout size25m
run_032,htp_slim_postHoc,atari100k_breakout,1,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim_postHoc 1 atari100k_breakout size25m
run_033,htp_slim_postHoc,atari100k_breakout,2,size25m,0,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_arm.sh htp_slim_postHoc 2 atari100k_breakout size25m
run_034,htp_full,atari100k_breakout,0,size25m,40000,Not matched,,,,,,,"Original template status=Queued. No matching result in this sweep: template uses Breakout/size25m; completed runs use Boxing, Up N Down, Frostbite, Road Runner/size12m/seed0. Warmup template commands also specify 110000, unlike our 100000-action budget. Original planned command retained, not executed.",./run_warmup_arm.sh htp_full 0 atari100k_breakout 40000 110000 size25m
