role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,separable_flat,boxing,0,10000,0,2.0,1780.0
ablation,separable_flat,boxing,0,10000,1,-3.0,1781.0
ablation,separable_flat,boxing,0,10000,2,-4.0,1786.0
ablation,separable_flat,boxing,0,10000,3,10.0,1784.0
ablation,separable_flat,boxing,0,10000,4,-1.0,1784.0
ablation,separable_flat,boxing,0,10000,5,1.0,1785.0
ablation,separable_flat,boxing,0,10000,6,0.0,1785.0
ablation,separable_flat,boxing,0,10000,7,0.0,1779.0
ablation,separable_flat,boxing,0,10000,8,-4.0,1786.0
ablation,separable_flat,boxing,0,10000,9,7.0,1780.0
ablation,separable_flat,boxing,0,20000,0,27.0,1780.0
ablation,separable_flat,boxing,0,20000,1,50.0,1781.0
ablation,separable_flat,boxing,0,20000,2,44.0,1786.0
ablation,separable_flat,boxing,0,20000,3,18.0,1784.0
ablation,separable_flat,boxing,0,20000,4,53.0,1784.0
ablation,separable_flat,boxing,0,20000,5,20.0,1785.0
ablation,separable_flat,boxing,0,20000,6,34.0,1785.0
ablation,separable_flat,boxing,0,20000,7,29.0,1779.0
ablation,separable_flat,boxing,0,20000,8,40.0,1786.0
ablation,separable_flat,boxing,0,20000,9,39.0,1780.0
ablation,separable_flat,boxing,0,30000,0,29.0,1780.0
ablation,separable_flat,boxing,0,30000,1,65.0,1657.0
ablation,separable_flat,boxing,0,30000,2,5.0,1786.0
ablation,separable_flat,boxing,0,30000,3,24.0,1784.0
ablation,separable_flat,boxing,0,30000,4,29.0,1784.0
ablation,separable_flat,boxing,0,30000,5,58.0,1765.0
ablation,separable_flat,boxing,0,30000,6,40.0,1785.0
ablation,separable_flat,boxing,0,30000,7,70.0,1351.0
ablation,separable_flat,boxing,0,30000,8,57.0,1683.0
ablation,separable_flat,boxing,0,30000,9,44.0,1780.0
ablation,separable_flat,boxing,0,40000,0,34.0,1298.0
ablation,separable_flat,boxing,0,40000,1,59.0,1337.0
ablation,separable_flat,boxing,0,40000,2,51.0,1285.0
ablation,separable_flat,boxing,0,40000,3,26.0,1457.0
ablation,separable_flat,boxing,0,40000,4,62.0,1289.0
ablation,separable_flat,boxing,0,40000,5,61.0,1205.0
ablation,separable_flat,boxing,0,40000,6,38.0,1611.0
ablation,separable_flat,boxing,0,40000,7,51.0,1380.0
ablation,separable_flat,boxing,0,40000,8,50.0,1252.0
ablation,separable_flat,boxing,0,40000,9,50.0,1390.0
ablation,separable_flat,boxing,0,50000,0,49.0,1780.0
ablation,separable_flat,boxing,0,50000,1,61.0,1781.0
ablation,separable_flat,boxing,0,50000,2,71.0,1715.0
ablation,separable_flat,boxing,0,50000,3,54.0,1784.0
ablation,separable_flat,boxing,0,50000,4,56.0,1784.0
ablation,separable_flat,boxing,0,50000,5,74.0,1501.0
ablation,separable_flat,boxing,0,50000,6,70.0,1785.0
ablation,separable_flat,boxing,0,50000,7,55.0,1779.0
ablation,separable_flat,boxing,0,50000,8,61.0,1784.0
ablation,separable_flat,boxing,0,50000,9,52.0,1780.0
ablation,separable_flat,boxing,0,60000,0,76.0,1780.0
ablation,separable_flat,boxing,0,60000,1,82.0,1639.0
ablation,separable_flat,boxing,0,60000,2,76.0,1695.0
ablation,separable_flat,boxing,0,60000,3,71.0,1587.0
ablation,separable_flat,boxing,0,60000,4,79.0,1648.0
ablation,separable_flat,boxing,0,60000,5,58.0,1785.0
ablation,separable_flat,boxing,0,60000,6,64.0,1785.0
ablation,separable_flat,boxing,0,60000,7,57.0,1779.0
ablation,separable_flat,boxing,0,60000,8,57.0,1786.0
ablation,separable_flat,boxing,0,60000,9,59.0,1780.0
ablation,separable_flat,boxing,0,70000,0,74.0,1308.0
ablation,separable_flat,boxing,0,70000,1,76.0,1276.0
ablation,separable_flat,boxing,0,70000,2,75.0,1392.0
ablation,separable_flat,boxing,0,70000,3,80.0,1174.0
ablation,separable_flat,boxing,0,70000,4,69.0,1496.0
ablation,separable_flat,boxing,0,70000,5,86.0,1131.0
ablation,separable_flat,boxing,0,70000,6,69.0,1418.0
ablation,separable_flat,boxing,0,70000,7,72.0,1691.0
ablation,separable_flat,boxing,0,70000,8,75.0,1397.0
ablation,separable_flat,boxing,0,70000,9,61.0,1717.0
ablation,separable_flat,boxing,0,80000,0,79.0,1135.0
ablation,separable_flat,boxing,0,80000,1,72.0,1489.0
ablation,separable_flat,boxing,0,80000,2,70.0,1456.0
ablation,separable_flat,boxing,0,80000,3,69.0,1507.0
ablation,separable_flat,boxing,0,80000,4,80.0,1319.0
ablation,separable_flat,boxing,0,80000,5,77.0,1375.0
ablation,separable_flat,boxing,0,80000,6,65.0,1590.0
ablation,separable_flat,boxing,0,80000,7,81.0,1219.0
ablation,separable_flat,boxing,0,80000,8,75.0,1532.0
ablation,separable_flat,boxing,0,80000,9,65.0,1590.0
ablation,separable_flat,boxing,0,90000,0,68.0,1674.0
ablation,separable_flat,boxing,0,90000,1,63.0,1781.0
ablation,separable_flat,boxing,0,90000,2,60.0,1786.0
ablation,separable_flat,boxing,0,90000,3,52.0,1531.0
ablation,separable_flat,boxing,0,90000,4,77.0,1320.0
ablation,separable_flat,boxing,0,90000,5,69.0,1785.0
ablation,separable_flat,boxing,0,90000,6,68.0,1716.0
ablation,separable_flat,boxing,0,90000,7,-54.0,1779.0
ablation,separable_flat,boxing,0,90000,8,80.0,1746.0
ablation,separable_flat,boxing,0,90000,9,-12.0,1780.0
ablation,separable_flat,boxing,0,100000,0,79.0,1180.0
ablation,separable_flat,boxing,0,100000,1,80.0,1246.0
ablation,separable_flat,boxing,0,100000,2,69.0,1591.0
ablation,separable_flat,boxing,0,100000,3,72.0,1520.0
ablation,separable_flat,boxing,0,100000,4,88.0,1225.0
ablation,separable_flat,boxing,0,100000,5,85.0,1179.0
ablation,separable_flat,boxing,0,100000,6,66.0,1674.0
ablation,separable_flat,boxing,0,100000,7,68.0,1707.0
ablation,separable_flat,boxing,0,100000,8,78.0,1379.0
ablation,separable_flat,boxing,0,100000,9,86.0,1341.0
