role,arm,game,seed,agent_steps,mean_return,episodes
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
ablation,separable_flat,boxing,0,10000,0.8,10
ablation,separable_flat,boxing,0,20000,35.4,10
ablation,separable_flat,boxing,0,30000,42.1,10
ablation,separable_flat,boxing,0,40000,48.2,10
ablation,separable_flat,boxing,0,50000,60.3,10
ablation,separable_flat,boxing,0,60000,67.9,10
ablation,separable_flat,boxing,0,70000,73.7,10
ablation,separable_flat,boxing,0,80000,73.3,10
ablation,separable_flat,boxing,0,90000,47.1,10
ablation,separable_flat,boxing,0,100000,72.46,100
ablation,separable_flat,up_n_down,0,10000,1893.0,10
ablation,separable_flat,up_n_down,0,20000,34747.0,10
ablation,separable_flat,up_n_down,0,30000,38767.0,10
ablation,separable_flat,up_n_down,0,40000,3693.0,10
ablation,separable_flat,up_n_down,0,50000,37106.0,10
ablation,separable_flat,up_n_down,0,60000,16169.0,10
ablation,separable_flat,up_n_down,0,70000,14706.0,10
ablation,separable_flat,up_n_down,0,80000,5022.0,10
ablation,separable_flat,up_n_down,0,90000,65180.0,10
ablation,separable_flat,up_n_down,0,100000,29695.0,100
ablation,separable_flat,frostbite,0,10000,87.0,10
ablation,separable_flat,frostbite,0,20000,209.0,10
ablation,separable_flat,frostbite,0,30000,209.0,10
ablation,separable_flat,frostbite,0,40000,213.0,10
ablation,separable_flat,frostbite,0,50000,222.0,10
ablation,separable_flat,frostbite,0,60000,235.0,10
ablation,separable_flat,frostbite,0,70000,231.0,10
ablation,separable_flat,frostbite,0,80000,250.0,10
ablation,separable_flat,frostbite,0,90000,281.0,10
ablation,separable_flat,frostbite,0,100000,269.1,100
ablation,separable_flat,road_runner,0,10000,710.0,10
ablation,separable_flat,road_runner,0,20000,920.0,10
ablation,separable_flat,road_runner,0,30000,1340.0,10
ablation,separable_flat,road_runner,0,40000,3910.0,10
ablation,separable_flat,road_runner,0,50000,7910.0,10
ablation,separable_flat,road_runner,0,60000,8280.0,10
ablation,separable_flat,road_runner,0,70000,9480.0,10
ablation,separable_flat,road_runner,0,80000,17330.0,10
ablation,separable_flat,road_runner,0,90000,17480.0,10
ablation,separable_flat,road_runner,0,100000,17110.0,100
