role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,separable_full,boxing,0,10000,2.0,10
ablation,separable_full,boxing,0,20000,-4.4,10
ablation,separable_full,boxing,0,30000,21.2,10
ablation,separable_full,boxing,0,40000,39.2,10
ablation,separable_full,boxing,0,50000,59.7,10
ablation,separable_full,boxing,0,60000,61.2,10
ablation,separable_full,boxing,0,70000,63.9,10
ablation,separable_full,boxing,0,80000,67.7,10
ablation,separable_full,boxing,0,90000,78.9,10
ablation,separable_full,boxing,0,100000,73.36,100
ablation,separable_full,up_n_down,0,10000,6793.0,10
ablation,separable_full,up_n_down,0,20000,8583.0,10
ablation,separable_full,up_n_down,0,30000,789.0,10
ablation,separable_full,up_n_down,0,40000,1905.0,10
ablation,separable_full,up_n_down,0,50000,3522.0,10
ablation,separable_full,up_n_down,0,60000,80170.0,10
ablation,separable_full,up_n_down,0,70000,84349.0,10
ablation,separable_full,up_n_down,0,80000,154744.0,10
ablation,separable_full,up_n_down,0,90000,122481.0,10
ablation,separable_full,up_n_down,0,100000,175482.6,100
ablation,separable_full,frostbite,0,10000,60.0,10
ablation,separable_full,frostbite,0,20000,125.0,10
ablation,separable_full,frostbite,0,30000,238.0,10
ablation,separable_full,frostbite,0,40000,214.0,10
ablation,separable_full,frostbite,0,50000,237.0,10
ablation,separable_full,frostbite,0,60000,259.0,10
ablation,separable_full,frostbite,0,70000,275.0,10
ablation,separable_full,frostbite,0,80000,266.0,10
ablation,separable_full,frostbite,0,90000,322.0,10
ablation,separable_full,frostbite,0,100000,421.2,100
ablation,separable_full,road_runner,0,10000,800.0,10
ablation,separable_full,road_runner,0,20000,1020.0,10
ablation,separable_full,road_runner,0,30000,970.0,10
ablation,separable_full,road_runner,0,40000,3070.0,10
ablation,separable_full,road_runner,0,50000,7350.0,10
ablation,separable_full,road_runner,0,60000,7770.0,10
ablation,separable_full,road_runner,0,70000,7300.0,10
ablation,separable_full,road_runner,0,80000,9310.0,10
ablation,separable_full,road_runner,0,90000,8950.0,10
ablation,separable_full,road_runner,0,100000,8696.0,100
