role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,slim,boxing,0,10000,0,5.0,1780.0
ablation,slim,boxing,0,10000,1,28.0,1781.0
ablation,slim,boxing,0,10000,2,21.0,1786.0
ablation,slim,boxing,0,10000,3,32.0,1784.0
ablation,slim,boxing,0,10000,4,8.0,1784.0
ablation,slim,boxing,0,10000,5,35.0,1785.0
ablation,slim,boxing,0,10000,6,24.0,1785.0
ablation,slim,boxing,0,10000,7,32.0,1779.0
ablation,slim,boxing,0,10000,8,25.0,1786.0
ablation,slim,boxing,0,10000,9,2.0,1780.0
ablation,slim,boxing,0,20000,0,33.0,1780.0
ablation,slim,boxing,0,20000,1,28.0,1781.0
ablation,slim,boxing,0,20000,2,68.0,1786.0
ablation,slim,boxing,0,20000,3,44.0,1784.0
ablation,slim,boxing,0,20000,4,29.0,1784.0
ablation,slim,boxing,0,20000,5,48.0,1785.0
ablation,slim,boxing,0,20000,6,53.0,1785.0
ablation,slim,boxing,0,20000,7,36.0,1779.0
ablation,slim,boxing,0,20000,8,45.0,1786.0
ablation,slim,boxing,0,20000,9,44.0,1780.0
ablation,slim,boxing,0,30000,0,40.0,1780.0
ablation,slim,boxing,0,30000,1,74.0,1781.0
ablation,slim,boxing,0,30000,2,66.0,1786.0
ablation,slim,boxing,0,30000,3,72.0,1784.0
ablation,slim,boxing,0,30000,4,59.0,1784.0
ablation,slim,boxing,0,30000,5,66.0,1785.0
ablation,slim,boxing,0,30000,6,74.0,1785.0
ablation,slim,boxing,0,30000,7,45.0,1779.0
ablation,slim,boxing,0,30000,8,36.0,1786.0
ablation,slim,boxing,0,30000,9,58.0,1780.0
ablation,slim,boxing,0,40000,0,68.0,1780.0
ablation,slim,boxing,0,40000,1,52.0,1781.0
ablation,slim,boxing,0,40000,2,28.0,1786.0
ablation,slim,boxing,0,40000,3,45.0,1784.0
ablation,slim,boxing,0,40000,4,58.0,1784.0
ablation,slim,boxing,0,40000,5,36.0,1785.0
ablation,slim,boxing,0,40000,6,61.0,1785.0
ablation,slim,boxing,0,40000,7,65.0,1779.0
ablation,slim,boxing,0,40000,8,41.0,1786.0
ablation,slim,boxing,0,40000,9,57.0,1780.0
ablation,slim,boxing,0,50000,0,38.0,1780.0
ablation,slim,boxing,0,50000,1,47.0,1781.0
ablation,slim,boxing,0,50000,2,23.0,1786.0
ablation,slim,boxing,0,50000,3,62.0,1784.0
ablation,slim,boxing,0,50000,4,43.0,1784.0
ablation,slim,boxing,0,50000,5,-1.0,1785.0
