role,arm,game,seed,agent_steps,mean_return,episodes
ablation,slim,boxing,0,10000,21.2,10
ablation,slim,boxing,0,20000,42.8,10
ablation,slim,boxing,0,30000,59.0,10
ablation,slim,boxing,0,40000,51.1,10
ablation,slim,boxing,0,50000,42.2,10
ablation,slim,boxing,0,60000,52.8,10
ablation,slim,boxing,0,70000,61.2,10
ablation,slim,boxing,0,80000,49.9,10
ablation,slim,boxing,0,90000,67.2,10
ablation,slim,boxing,0,100000,71.78,100
ablation,slim,up_n_down,0,10000,735.0,10
ablation,slim,up_n_down,0,20000,1211.0,10
ablation,slim,up_n_down,0,30000,59656.0,10
ablation,slim,up_n_down,0,40000,43867.0,10
ablation,slim,up_n_down,0,50000,11535.0,10
ablation,slim,up_n_down,0,60000,40786.0,10
ablation,slim,up_n_down,0,70000,64900.0,10
ablation,slim,up_n_down,0,80000,70181.0,10
ablation,slim,up_n_down,0,90000,7362.0,10
ablation,slim,up_n_down,0,100000,26559.8,100
ablation,slim,frostbite,0,10000,153.0,10
ablation,slim,frostbite,0,20000,188.0,10
ablation,slim,frostbite,0,30000,205.0,10
ablation,slim,frostbite,0,40000,209.0,10
ablation,slim,frostbite,0,50000,255.0,10
ablation,slim,frostbite,0,60000,245.0,10
ablation,slim,frostbite,0,70000,800.0,10
ablation,slim,frostbite,0,80000,1265.0,10
ablation,slim,frostbite,0,90000,1426.0,10
ablation,slim,frostbite,0,100000,1783.3,100
ablation,slim,road_runner,0,10000,770.0,10
ablation,slim,road_runner,0,20000,4990.0,10
ablation,slim,road_runner,0,30000,7580.0,10
ablation,slim,road_runner,0,40000,9120.0,10
ablation,slim,road_runner,0,50000,8140.0,10
ablation,slim,road_runner,0,60000,7780.0,10
ablation,slim,road_runner,0,70000,7690.0,10
ablation,slim,road_runner,0,80000,9520.0,10
ablation,slim,road_runner,0,90000,7720.0,10
ablation,slim,road_runner,0,100000,8412.0,100
comparator,slim_zero,boxing,0,10000,18.4,10
comparator,slim_zero,boxing,0,20000,38.2,10
comparator,slim_zero,boxing,0,30000,44.7,10
comparator,slim_zero,boxing,0,40000,52.8,10
comparator,slim_zero,boxing,0,50000,29.7,10
comparator,slim_zero,boxing,0,60000,45.4,10
comparator,slim_zero,boxing,0,70000,61.6,10
comparator,slim_zero,boxing,0,80000,56.3,10
comparator,slim_zero,boxing,0,90000,61.6,10
comparator,slim_zero,boxing,0,100000,71.41,100
comparator,slim_zero,up_n_down,0,10000,612.0,10
comparator,slim_zero,up_n_down,0,20000,8022.0,10
comparator,slim_zero,up_n_down,0,30000,22485.0,10
comparator,slim_zero,up_n_down,0,40000,13444.0,10
comparator,slim_zero,up_n_down,0,50000,189228.0,10
comparator,slim_zero,up_n_down,0,60000,225557.0,10
comparator,slim_zero,up_n_down,0,70000,253410.0,10
comparator,slim_zero,up_n_down,0,80000,252146.0,10
comparator,slim_zero,up_n_down,0,90000,225762.0,10
comparator,slim_zero,up_n_down,0,100000,155390.2,100
comparator,slim_zero,frostbite,0,10000,141.0,10
comparator,slim_zero,frostbite,0,20000,231.0,10
comparator,slim_zero,frostbite,0,30000,230.0,10
comparator,slim_zero,frostbite,0,40000,539.0,10
comparator,slim_zero,frostbite,0,50000,1641.0,10
comparator,slim_zero,frostbite,0,60000,1165.0,10
comparator,slim_zero,frostbite,0,70000,2572.0,10
comparator,slim_zero,frostbite,0,80000,2285.0,10
comparator,slim_zero,frostbite,0,90000,2313.0,10
comparator,slim_zero,frostbite,0,100000,2486.8,100
comparator,slim_zero,road_runner,0,10000,800.0,10
comparator,slim_zero,road_runner,0,20000,1190.0,10
comparator,slim_zero,road_runner,0,30000,5750.0,10
comparator,slim_zero,road_runner,0,40000,7180.0,10
comparator,slim_zero,road_runner,0,50000,7320.0,10
comparator,slim_zero,road_runner,0,60000,6590.0,10
comparator,slim_zero,road_runner,0,70000,4240.0,10
comparator,slim_zero,road_runner,0,80000,8480.0,10
comparator,slim_zero,road_runner,0,90000,7170.0,10
comparator,slim_zero,road_runner,0,100000,7491.0,100
