role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,slim_posthoc,boxing,0,10000,0,5.0,1780.0
ablation,slim_posthoc,boxing,0,10000,1,3.0,1781.0
ablation,slim_posthoc,boxing,0,10000,2,32.0,1786.0
ablation,slim_posthoc,boxing,0,10000,3,22.0,1784.0
ablation,slim_posthoc,boxing,0,10000,4,29.0,1784.0
ablation,slim_posthoc,boxing,0,10000,5,21.0,1785.0
ablation,slim_posthoc,boxing,0,10000,6,15.0,1785.0
ablation,slim_posthoc,boxing,0,10000,7,14.0,1779.0
ablation,slim_posthoc,boxing,0,10000,8,0.0,1786.0
ablation,slim_posthoc,boxing,0,10000,9,-5.0,1780.0
ablation,slim_posthoc,boxing,0,20000,0,19.0,1780.0
ablation,slim_posthoc,boxing,0,20000,1,30.0,1781.0
ablation,slim_posthoc,boxing,0,20000,2,34.0,1786.0
ablation,slim_posthoc,boxing,0,20000,3,9.0,1784.0
ablation,slim_posthoc,boxing,0,20000,4,46.0,1784.0
ablation,slim_posthoc,boxing,0,20000,5,21.0,1785.0
ablation,slim_posthoc,boxing,0,20000,6,30.0,1785.0
ablation,slim_posthoc,boxing,0,20000,7,39.0,1779.0
ablation,slim_posthoc,boxing,0,20000,8,46.0,1786.0
ablation,slim_posthoc,boxing,0,20000,9,39.0,1780.0
ablation,slim_posthoc,boxing,0,30000,0,29.0,1780.0
ablation,slim_posthoc,boxing,0,30000,1,42.0,1781.0
ablation,slim_posthoc,boxing,0,30000,2,42.0,1786.0
ablation,slim_posthoc,boxing,0,30000,3,37.0,1784.0
ablation,slim_posthoc,boxing,0,30000,4,-1.0,1784.0
ablation,slim_posthoc,boxing,0,30000,5,50.0,1785.0
ablation,slim_posthoc,boxing,0,30000,6,9.0,1785.0
ablation,slim_posthoc,boxing,0,30000,7,38.0,1779.0
ablation,slim_posthoc,boxing,0,30000,8,39.0,1786.0
ablation,slim_posthoc,boxing,0,30000,9,29.0,1780.0
ablation,slim_posthoc,boxing,0,40000,0,23.0,1780.0
ablation,slim_posthoc,boxing,0,40000,1,36.0,1781.0
ablation,slim_posthoc,boxing,0,40000,2,24.0,1786.0
ablation,slim_posthoc,boxing,0,40000,3,37.0,1784.0
ablation,slim_posthoc,boxing,0,40000,4,33.0,1784.0
ablation,slim_posthoc,boxing,0,40000,5,50.0,1785.0
ablation,slim_posthoc,boxing,0,40000,6,46.0,1785.0
ablation,slim_posthoc,boxing,0,40000,7,24.0,1779.0
ablation,slim_posthoc,boxing,0,40000,8,46.0,1786.0
ablation,slim_posthoc,boxing,0,40000,9,22.0,1780.0
ablation,slim_posthoc,boxing,0,50000,0,50.0,1780.0
ablation,slim_posthoc,boxing,0,50000,1,56.0,1781.0
ablation,slim_posthoc,boxing,0,50000,2,50.0,1786.0
ablation,slim_posthoc,boxing,0,50000,3,63.0,1784.0
ablation,slim_posthoc,boxing,0,50000,4,47.0,1784.0
ablation,slim_posthoc,boxing,0,50000,5,46.0,1785.0
ablation,slim_posthoc,boxing,0,50000,6,54.0,1785.0
ablation,slim_posthoc,boxing,0,50000,7,24.0,1779.0
ablation,slim_posthoc,boxing,0,50000,8,37.0,1786.0
ablation,slim_posthoc,boxing,0,50000,9,30.0,1780.0
ablation,slim_posthoc,boxing,0,60000,0,19.0,1780.0
ablation,slim_posthoc,boxing,0,60000,1,62.0,1781.0
ablation,slim_posthoc,boxing,0,60000,2,30.0,1786.0
ablation,slim_posthoc,boxing,0,60000,3,67.0,1784.0
ablation,slim_posthoc,boxing,0,60000,4,35.0,1784.0
ablation,slim_posthoc,boxing,0,60000,5,19.0,1785.0
ablation,slim_posthoc,boxing,0,60000,6,47.0,1785.0
ablation,slim_posthoc,boxing,0,60000,7,65.0,1779.0
ablation,slim_posthoc,boxing,0,60000,8,57.0,1786.0
ablation,slim_posthoc,boxing,0,60000,9,55.0,1780.0
ablation,slim_posthoc,boxing,0,70000,0,69.0,1746.0
ablation,slim_posthoc,boxing,0,70000,1,62.0,1781.0
ablation,slim_posthoc,boxing,0,70000,2,46.0,1786.0
ablation,slim_posthoc,boxing,0,70000,3,51.0,1784.0
ablation,slim_posthoc,boxing,0,70000,4,54.0,1784.0
ablation,slim_posthoc,boxing,0,70000,5,69.0,1668.0
ablation,slim_posthoc,boxing,0,70000,6,62.0,1748.0
ablation,slim_posthoc,boxing,0,70000,7,57.0,1779.0
ablation,slim_posthoc,boxing,0,70000,8,61.0,1786.0
ablation,slim_posthoc,boxing,0,70000,9,67.0,1780.0
ablation,slim_posthoc,boxing,0,80000,0,80.0,1543.0
ablation,slim_posthoc,boxing,0,80000,1,51.0,1781.0
ablation,slim_posthoc,boxing,0,80000,2,50.0,1786.0
ablation,slim_posthoc,boxing,0,80000,3,35.0,1784.0
ablation,slim_posthoc,boxing,0,80000,4,64.0,1784.0
ablation,slim_posthoc,boxing,0,80000,5,7.0,1785.0
ablation,slim_posthoc,boxing,0,80000,6,76.0,1632.0
ablation,slim_posthoc,boxing,0,80000,7,70.0,1779.0
ablation,slim_posthoc,boxing,0,80000,8,54.0,1786.0
ablation,slim_posthoc,boxing,0,80000,9,52.0,1780.0
ablation,slim_posthoc,boxing,0,90000,0,75.0,1530.0
ablation,slim_posthoc,boxing,0,90000,1,78.0,1668.0
ablation,slim_posthoc,boxing,0,90000,2,61.0,1786.0
ablation,slim_posthoc,boxing,0,90000,3,69.0,1784.0
ablation,slim_posthoc,boxing,0,90000,4,68.0,1590.0
ablation,slim_posthoc,boxing,0,90000,5,76.0,1652.0
ablation,slim_posthoc,boxing,0,90000,6,73.0,1785.0
ablation,slim_posthoc,boxing,0,90000,7,84.0,1493.0
ablation,slim_posthoc,boxing,0,90000,8,27.0,1786.0
ablation,slim_posthoc,boxing,0,90000,9,88.0,1577.0
ablation,slim_posthoc,boxing,0,100000,0,80.0,1665.0
ablation,slim_posthoc,boxing,0,100000,1,91.0,1389.0
ablation,slim_posthoc,boxing,0,100000,2,82.0,1752.0
ablation,slim_posthoc,boxing,0,100000,3,78.0,1591.0
ablation,slim_posthoc,boxing,0,100000,4,55.0,1784.0
ablation,slim_posthoc,boxing,0,100000,5,76.0,1519.0
ablation,slim_posthoc,boxing,0,100000,6,68.0,1785.0
ablation,slim_posthoc,boxing,0,100000,7,78.0,1560.0
ablation,slim_posthoc,boxing,0,100000,8,65.0,1786.0
ablation,slim_posthoc,boxing,0,100000,9,60.0,1780.0
ablation,slim_posthoc,boxing,0,100000,10,82.0,1712.0
ablation,slim_posthoc,boxing,0,100000,11,54.0,1784.0
ablation,slim_posthoc,boxing,0,100000,12,86.0,1593.0
ablation,slim_posthoc,boxing,0,100000,13,60.0,1782.0
ablation,slim_posthoc,boxing,0,100000,14,56.0,1781.0
ablation,slim_posthoc,boxing,0,100000,15,71.0,1729.0
ablation,slim_posthoc,boxing,0,100000,16,85.0,1643.0
ablation,slim_posthoc,boxing,0,100000,17,43.0,1786.0
ablation,slim_posthoc,boxing,0,100000,18,58.0,1692.0
ablation,slim_posthoc,boxing,0,100000,19,56.0,1780.0
ablation,slim_posthoc,boxing,0,100000,20,61.0,1781.0
ablation,slim_posthoc,boxing,0,100000,21,73.0,1783.0
ablation,slim_posthoc,boxing,0,100000,22,80.0,1569.0
ablation,slim_posthoc,boxing,0,100000,23,69.0,1781.0
ablation,slim_posthoc,boxing,0,100000,24,67.0,1784.0
ablation,slim_posthoc,boxing,0,100000,25,60.0,1786.0
ablation,slim_posthoc,boxing,0,100000,26,82.0,1784.0
ablation,slim_posthoc,boxing,0,100000,27,80.0,1501.0
ablation,slim_posthoc,boxing,0,100000,28,79.0,1603.0
