role,arm,game,seed,agent_steps,mean_return,episodes
comparator,slim_zero,boxing,0,10000,18.4,10
comparator,slim_zero,boxing,0,20000,38.2,10
comparator,slim_zero,boxing,0,30000,44.7,10
comparator,slim_zero,boxing,0,40000,52.8,10
comparator,slim_zero,boxing,0,50000,29.7,10
comparator,slim_zero,boxing,0,60000,45.4,10
comparator,slim_zero,boxing,0,70000,61.6,10
comparator,slim_zero,boxing,0,80000,56.3,10
comparator,slim_zero,boxing,0,90000,61.6,10
comparator,slim_zero,boxing,0,100000,71.41,100
comparator,slim_zero,up_n_down,0,10000,612.0,10
comparator,slim_zero,up_n_down,0,20000,8022.0,10
comparator,slim_zero,up_n_down,0,30000,22485.0,10
comparator,slim_zero,up_n_down,0,40000,13444.0,10
comparator,slim_zero,up_n_down,0,50000,189228.0,10
comparator,slim_zero,up_n_down,0,60000,225557.0,10
comparator,slim_zero,up_n_down,0,70000,253410.0,10
comparator,slim_zero,up_n_down,0,80000,252146.0,10
comparator,slim_zero,up_n_down,0,90000,225762.0,10
comparator,slim_zero,up_n_down,0,100000,155390.2,100
comparator,slim_zero,frostbite,0,10000,141.0,10
comparator,slim_zero,frostbite,0,20000,231.0,10
comparator,slim_zero,frostbite,0,30000,230.0,10
comparator,slim_zero,frostbite,0,40000,539.0,10
comparator,slim_zero,frostbite,0,50000,1641.0,10
comparator,slim_zero,frostbite,0,60000,1165.0,10
comparator,slim_zero,frostbite,0,70000,2572.0,10
comparator,slim_zero,frostbite,0,80000,2285.0,10
comparator,slim_zero,frostbite,0,90000,2313.0,10
comparator,slim_zero,frostbite,0,100000,2486.8,100
comparator,slim_zero,road_runner,0,10000,800.0,10
comparator,slim_zero,road_runner,0,20000,1190.0,10
comparator,slim_zero,road_runner,0,30000,5750.0,10
comparator,slim_zero,road_runner,0,40000,7180.0,10
comparator,slim_zero,road_runner,0,50000,7320.0,10
comparator,slim_zero,road_runner,0,60000,6590.0,10
comparator,slim_zero,road_runner,0,70000,4240.0,10
comparator,slim_zero,road_runner,0,80000,8480.0,10
comparator,slim_zero,road_runner,0,90000,7170.0,10
comparator,slim_zero,road_runner,0,100000,7491.0,100
ablation,slim_posthoc,boxing,0,10000,13.6,10
ablation,slim_posthoc,boxing,0,20000,31.3,10
ablation,slim_posthoc,boxing,0,30000,31.4,10
ablation,slim_posthoc,boxing,0,40000,34.1,10
ablation,slim_posthoc,boxing,0,50000,45.7,10
ablation,slim_posthoc,boxing,0,60000,45.6,10
ablation,slim_posthoc,boxing,0,70000,59.8,10
ablation,slim_posthoc,boxing,0,80000,53.9,10
ablation,slim_posthoc,boxing,0,90000,69.9,10
ablation,slim_posthoc,boxing,0,100000,67.82,100
ablation,slim_posthoc,up_n_down,0,10000,612.0,10
ablation,slim_posthoc,up_n_down,0,20000,8022.0,10
ablation,slim_posthoc,up_n_down,0,30000,22485.0,10
ablation,slim_posthoc,up_n_down,0,40000,13444.0,10
ablation,slim_posthoc,up_n_down,0,50000,189228.0,10
ablation,slim_posthoc,up_n_down,0,60000,225557.0,10
ablation,slim_posthoc,up_n_down,0,70000,253410.0,10
ablation,slim_posthoc,up_n_down,0,80000,252146.0,10
ablation,slim_posthoc,up_n_down,0,90000,225762.0,10
ablation,slim_posthoc,up_n_down,0,100000,155390.2,100
ablation,slim_posthoc,frostbite,0,10000,148.0,10
ablation,slim_posthoc,frostbite,0,20000,174.0,10
ablation,slim_posthoc,frostbite,0,30000,173.0,10
ablation,slim_posthoc,frostbite,0,40000,249.0,10
ablation,slim_posthoc,frostbite,0,50000,257.0,10
ablation,slim_posthoc,frostbite,0,60000,258.0,10
ablation,slim_posthoc,frostbite,0,70000,236.0,10
ablation,slim_posthoc,frostbite,0,80000,268.0,10
ablation,slim_posthoc,frostbite,0,90000,315.0,10
ablation,slim_posthoc,frostbite,0,100000,297.8,100
ablation,slim_posthoc,road_runner,0,10000,730.0,10
ablation,slim_posthoc,road_runner,0,20000,960.0,10
ablation,slim_posthoc,road_runner,0,30000,3640.0,10
ablation,slim_posthoc,road_runner,0,40000,7690.0,10
ablation,slim_posthoc,road_runner,0,50000,9410.0,10
ablation,slim_posthoc,road_runner,0,60000,11990.0,10
ablation,slim_posthoc,road_runner,0,70000,12620.0,10
ablation,slim_posthoc,road_runner,0,80000,15350.0,10
ablation,slim_posthoc,road_runner,0,90000,14420.0,10
ablation,slim_posthoc,road_runner,0,100000,14836.0,100
