role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,slim_variance,boxing,0,10000,0,-2.0,1780.0
ablation,slim_variance,boxing,0,10000,1,-1.0,1781.0
ablation,slim_variance,boxing,0,10000,2,2.0,1786.0
ablation,slim_variance,boxing,0,10000,3,-2.0,1784.0
ablation,slim_variance,boxing,0,10000,4,6.0,1784.0
ablation,slim_variance,boxing,0,10000,5,13.0,1785.0
ablation,slim_variance,boxing,0,10000,6,0.0,1785.0
ablation,slim_variance,boxing,0,10000,7,-1.0,1779.0
ablation,slim_variance,boxing,0,10000,8,5.0,1786.0
ablation,slim_variance,boxing,0,10000,9,1.0,1780.0
ablation,slim_variance,boxing,0,20000,0,37.0,1780.0
ablation,slim_variance,boxing,0,20000,1,20.0,1781.0
ablation,slim_variance,boxing,0,20000,2,34.0,1786.0
ablation,slim_variance,boxing,0,20000,3,12.0,1784.0
ablation,slim_variance,boxing,0,20000,4,32.0,1784.0
ablation,slim_variance,boxing,0,20000,5,37.0,1785.0
ablation,slim_variance,boxing,0,20000,6,17.0,1785.0
ablation,slim_variance,boxing,0,20000,7,19.0,1779.0
ablation,slim_variance,boxing,0,20000,8,25.0,1786.0
ablation,slim_variance,boxing,0,20000,9,6.0,1780.0
ablation,slim_variance,boxing,0,30000,0,42.0,1780.0
ablation,slim_variance,boxing,0,30000,1,40.0,1781.0
ablation,slim_variance,boxing,0,30000,2,42.0,1786.0
ablation,slim_variance,boxing,0,30000,3,32.0,1784.0
ablation,slim_variance,boxing,0,30000,4,31.0,1784.0
ablation,slim_variance,boxing,0,30000,5,42.0,1785.0
ablation,slim_variance,boxing,0,30000,6,29.0,1785.0
ablation,slim_variance,boxing,0,30000,7,45.0,1779.0
ablation,slim_variance,boxing,0,30000,8,45.0,1786.0
ablation,slim_variance,boxing,0,30000,9,20.0,1780.0
ablation,slim_variance,boxing,0,40000,0,29.0,1780.0
ablation,slim_variance,boxing,0,40000,1,56.0,1781.0
ablation,slim_variance,boxing,0,40000,2,61.0,1783.0
ablation,slim_variance,boxing,0,40000,3,61.0,1784.0
ablation,slim_variance,boxing,0,40000,4,29.0,1784.0
ablation,slim_variance,boxing,0,40000,5,32.0,1785.0
ablation,slim_variance,boxing,0,40000,6,74.0,1785.0
ablation,slim_variance,boxing,0,40000,7,59.0,1779.0
ablation,slim_variance,boxing,0,40000,8,32.0,1786.0
ablation,slim_variance,boxing,0,40000,9,29.0,1780.0
ablation,slim_variance,boxing,0,50000,0,26.0,1780.0
ablation,slim_variance,boxing,0,50000,1,60.0,1781.0
ablation,slim_variance,boxing,0,50000,2,56.0,1786.0
ablation,slim_variance,boxing,0,50000,3,45.0,1784.0
ablation,slim_variance,boxing,0,50000,4,55.0,1784.0
ablation,slim_variance,boxing,0,50000,5,70.0,1737.0
ablation,slim_variance,boxing,0,50000,6,34.0,1785.0
ablation,slim_variance,boxing,0,50000,7,47.0,1779.0
ablation,slim_variance,boxing,0,50000,8,24.0,1786.0
ablation,slim_variance,boxing,0,50000,9,59.0,1780.0
ablation,slim_variance,boxing,0,60000,0,49.0,1780.0
ablation,slim_variance,boxing,0,60000,1,65.0,1781.0
ablation,slim_variance,boxing,0,60000,2,62.0,1786.0
ablation,slim_variance,boxing,0,60000,3,52.0,1784.0
ablation,slim_variance,boxing,0,60000,4,65.0,1784.0
ablation,slim_variance,boxing,0,60000,5,39.0,1785.0
ablation,slim_variance,boxing,0,60000,6,42.0,1785.0
ablation,slim_variance,boxing,0,60000,7,50.0,1779.0
ablation,slim_variance,boxing,0,60000,8,48.0,1786.0
ablation,slim_variance,boxing,0,60000,9,43.0,1780.0
ablation,slim_variance,boxing,0,70000,0,70.0,1780.0
ablation,slim_variance,boxing,0,70000,1,72.0,1666.0
ablation,slim_variance,boxing,0,70000,2,53.0,1786.0
ablation,slim_variance,boxing,0,70000,3,45.0,1784.0
ablation,slim_variance,boxing,0,70000,4,59.0,1784.0
ablation,slim_variance,boxing,0,70000,5,56.0,1785.0
ablation,slim_variance,boxing,0,70000,6,59.0,1761.0
ablation,slim_variance,boxing,0,70000,7,87.0,1289.0
ablation,slim_variance,boxing,0,70000,8,48.0,1786.0
