role,arm,game,seed,agent_steps,mean_return,episodes
comparator,slim,boxing,0,10000,21.2,10
comparator,slim,boxing,0,20000,42.8,10
comparator,slim,boxing,0,30000,59.0,10
comparator,slim,boxing,0,40000,51.1,10
comparator,slim,boxing,0,50000,42.2,10
comparator,slim,boxing,0,60000,52.8,10
comparator,slim,boxing,0,70000,61.2,10
comparator,slim,boxing,0,80000,49.9,10
comparator,slim,boxing,0,90000,67.2,10
comparator,slim,boxing,0,100000,71.78,100
comparator,slim,up_n_down,0,10000,735.0,10
comparator,slim,up_n_down,0,20000,1211.0,10
comparator,slim,up_n_down,0,30000,59656.0,10
comparator,slim,up_n_down,0,40000,43867.0,10
comparator,slim,up_n_down,0,50000,11535.0,10
comparator,slim,up_n_down,0,60000,40786.0,10
comparator,slim,up_n_down,0,70000,64900.0,10
comparator,slim,up_n_down,0,80000,70181.0,10
comparator,slim,up_n_down,0,90000,7362.0,10
comparator,slim,up_n_down,0,100000,26559.8,100
comparator,slim,frostbite,0,10000,153.0,10
comparator,slim,frostbite,0,20000,188.0,10
comparator,slim,frostbite,0,30000,205.0,10
comparator,slim,frostbite,0,40000,209.0,10
comparator,slim,frostbite,0,50000,255.0,10
comparator,slim,frostbite,0,60000,245.0,10
comparator,slim,frostbite,0,70000,800.0,10
comparator,slim,frostbite,0,80000,1265.0,10
comparator,slim,frostbite,0,90000,1426.0,10
comparator,slim,frostbite,0,100000,1783.3,100
comparator,slim,road_runner,0,10000,770.0,10
comparator,slim,road_runner,0,20000,4990.0,10
comparator,slim,road_runner,0,30000,7580.0,10
comparator,slim,road_runner,0,40000,9120.0,10
comparator,slim,road_runner,0,50000,8140.0,10
comparator,slim,road_runner,0,60000,7780.0,10
comparator,slim,road_runner,0,70000,7690.0,10
comparator,slim,road_runner,0,80000,9520.0,10
comparator,slim,road_runner,0,90000,7720.0,10
comparator,slim,road_runner,0,100000,8412.0,100
ablation,slim_variance,boxing,0,10000,2.1,10
ablation,slim_variance,boxing,0,20000,23.9,10
ablation,slim_variance,boxing,0,30000,36.8,10
ablation,slim_variance,boxing,0,40000,46.2,10
ablation,slim_variance,boxing,0,50000,47.6,10
ablation,slim_variance,boxing,0,60000,51.5,10
ablation,slim_variance,boxing,0,70000,60.8,10
ablation,slim_variance,boxing,0,80000,41.5,10
ablation,slim_variance,boxing,0,90000,70.0,10
ablation,slim_variance,boxing,0,100000,63.08,100
ablation,slim_variance,up_n_down,0,10000,24577.0,10
ablation,slim_variance,up_n_down,0,20000,22047.0,10
ablation,slim_variance,up_n_down,0,30000,120944.0,10
ablation,slim_variance,up_n_down,0,40000,2481.0,10
ablation,slim_variance,up_n_down,0,50000,20856.0,10
ablation,slim_variance,up_n_down,0,60000,44969.0,10
ablation,slim_variance,up_n_down,0,70000,240604.0,10
ablation,slim_variance,up_n_down,0,80000,233840.0,10
ablation,slim_variance,up_n_down,0,90000,218833.0,10
ablation,slim_variance,up_n_down,0,100000,205885.7,100
ablation,slim_variance,frostbite,0,10000,175.0,10
ablation,slim_variance,frostbite,0,20000,108.0,10
ablation,slim_variance,frostbite,0,30000,216.0,10
ablation,slim_variance,frostbite,0,40000,241.0,10
ablation,slim_variance,frostbite,0,50000,236.0,10
ablation,slim_variance,frostbite,0,60000,241.0,10
ablation,slim_variance,frostbite,0,70000,279.0,10
ablation,slim_variance,frostbite,0,80000,267.0,10
ablation,slim_variance,frostbite,0,90000,311.0,10
ablation,slim_variance,frostbite,0,100000,329.2,100
ablation,slim_variance,road_runner,0,10000,740.0,10
ablation,slim_variance,road_runner,0,20000,5040.0,10
ablation,slim_variance,road_runner,0,30000,5650.0,10
ablation,slim_variance,road_runner,0,40000,9490.0,10
ablation,slim_variance,road_runner,0,50000,9210.0,10
ablation,slim_variance,road_runner,0,60000,13510.0,10
ablation,slim_variance,road_runner,0,70000,12290.0,10
ablation,slim_variance,road_runner,0,80000,13530.0,10
ablation,slim_variance,road_runner,0,90000,14180.0,10
ablation,slim_variance,road_runner,0,100000,14480.0,100
