role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,slim_variance_only,boxing,0,10000,0,9.0,1780.0
ablation,slim_variance_only,boxing,0,10000,1,8.0,1781.0
ablation,slim_variance_only,boxing,0,10000,2,7.0,1786.0
ablation,slim_variance_only,boxing,0,10000,3,14.0,1784.0
ablation,slim_variance_only,boxing,0,10000,4,4.0,1784.0
ablation,slim_variance_only,boxing,0,10000,5,3.0,1785.0
ablation,slim_variance_only,boxing,0,10000,6,5.0,1785.0
ablation,slim_variance_only,boxing,0,10000,7,3.0,1779.0
ablation,slim_variance_only,boxing,0,10000,8,4.0,1786.0
ablation,slim_variance_only,boxing,0,10000,9,15.0,1780.0
ablation,slim_variance_only,boxing,0,20000,0,51.0,1780.0
ablation,slim_variance_only,boxing,0,20000,1,41.0,1781.0
ablation,slim_variance_only,boxing,0,20000,2,84.0,1786.0
ablation,slim_variance_only,boxing,0,20000,3,5.0,1784.0
ablation,slim_variance_only,boxing,0,20000,4,61.0,1784.0
ablation,slim_variance_only,boxing,0,20000,5,29.0,1785.0
ablation,slim_variance_only,boxing,0,20000,6,27.0,1785.0
ablation,slim_variance_only,boxing,0,20000,7,54.0,1779.0
ablation,slim_variance_only,boxing,0,20000,8,58.0,1786.0
ablation,slim_variance_only,boxing,0,20000,9,61.0,1780.0
ablation,slim_variance_only,boxing,0,30000,0,76.0,1780.0
ablation,slim_variance_only,boxing,0,30000,1,77.0,1609.0
ablation,slim_variance_only,boxing,0,30000,2,67.0,1786.0
ablation,slim_variance_only,boxing,0,30000,3,67.0,1778.0
ablation,slim_variance_only,boxing,0,30000,4,76.0,1784.0
ablation,slim_variance_only,boxing,0,30000,5,61.0,1785.0
ablation,slim_variance_only,boxing,0,30000,6,84.0,1548.0
ablation,slim_variance_only,boxing,0,30000,7,67.0,1779.0
ablation,slim_variance_only,boxing,0,30000,8,53.0,1786.0
ablation,slim_variance_only,boxing,0,30000,9,59.0,1780.0
ablation,slim_variance_only,boxing,0,40000,0,58.0,1780.0
ablation,slim_variance_only,boxing,0,40000,1,76.0,1781.0
ablation,slim_variance_only,boxing,0,40000,2,78.0,1739.0
ablation,slim_variance_only,boxing,0,40000,3,62.0,1784.0
ablation,slim_variance_only,boxing,0,40000,4,71.0,1784.0
ablation,slim_variance_only,boxing,0,40000,5,74.0,1785.0
ablation,slim_variance_only,boxing,0,40000,6,78.0,1746.0
ablation,slim_variance_only,boxing,0,40000,7,77.0,1495.0
ablation,slim_variance_only,boxing,0,40000,8,53.0,1786.0
ablation,slim_variance_only,boxing,0,40000,9,63.0,1780.0
ablation,slim_variance_only,boxing,0,50000,0,55.0,1780.0
