role,arm,game,seed,agent_steps,mean_return,episodes
comparator,slim_zero,boxing,0,10000,18.4,10
comparator,slim_zero,boxing,0,20000,38.2,10
comparator,slim_zero,boxing,0,30000,44.7,10
comparator,slim_zero,boxing,0,40000,52.8,10
comparator,slim_zero,boxing,0,50000,29.7,10
comparator,slim_zero,boxing,0,60000,45.4,10
comparator,slim_zero,boxing,0,70000,61.6,10
comparator,slim_zero,boxing,0,80000,56.3,10
comparator,slim_zero,boxing,0,90000,61.6,10
comparator,slim_zero,boxing,0,100000,71.41,100
comparator,slim_zero,up_n_down,0,10000,612.0,10
comparator,slim_zero,up_n_down,0,20000,8022.0,10
comparator,slim_zero,up_n_down,0,30000,22485.0,10
comparator,slim_zero,up_n_down,0,40000,13444.0,10
comparator,slim_zero,up_n_down,0,50000,189228.0,10
comparator,slim_zero,up_n_down,0,60000,225557.0,10
comparator,slim_zero,up_n_down,0,70000,253410.0,10
comparator,slim_zero,up_n_down,0,80000,252146.0,10
comparator,slim_zero,up_n_down,0,90000,225762.0,10
comparator,slim_zero,up_n_down,0,100000,155390.2,100
comparator,slim_zero,frostbite,0,10000,141.0,10
comparator,slim_zero,frostbite,0,20000,231.0,10
comparator,slim_zero,frostbite,0,30000,230.0,10
comparator,slim_zero,frostbite,0,40000,539.0,10
comparator,slim_zero,frostbite,0,50000,1641.0,10
comparator,slim_zero,frostbite,0,60000,1165.0,10
comparator,slim_zero,frostbite,0,70000,2572.0,10
comparator,slim_zero,frostbite,0,80000,2285.0,10
comparator,slim_zero,frostbite,0,90000,2313.0,10
comparator,slim_zero,frostbite,0,100000,2486.8,100
comparator,slim_zero,road_runner,0,10000,800.0,10
comparator,slim_zero,road_runner,0,20000,1190.0,10
comparator,slim_zero,road_runner,0,30000,5750.0,10
comparator,slim_zero,road_runner,0,40000,7180.0,10
comparator,slim_zero,road_runner,0,50000,7320.0,10
comparator,slim_zero,road_runner,0,60000,6590.0,10
comparator,slim_zero,road_runner,0,70000,4240.0,10
comparator,slim_zero,road_runner,0,80000,8480.0,10
comparator,slim_zero,road_runner,0,90000,7170.0,10
comparator,slim_zero,road_runner,0,100000,7491.0,100
ablation,slim_variance_only,boxing,0,10000,7.2,10
ablation,slim_variance_only,boxing,0,20000,47.1,10
ablation,slim_variance_only,boxing,0,30000,68.7,10
ablation,slim_variance_only,boxing,0,40000,69.0,10
ablation,slim_variance_only,boxing,0,50000,64.1,10
ablation,slim_variance_only,boxing,0,60000,70.9,10
ablation,slim_variance_only,boxing,0,70000,64.8,10
ablation,slim_variance_only,boxing,0,80000,80.1,10
ablation,slim_variance_only,boxing,0,90000,78.1,10
ablation,slim_variance_only,boxing,0,100000,75.94,100
ablation,slim_variance_only,up_n_down,0,10000,289.0,10
ablation,slim_variance_only,up_n_down,0,20000,22775.0,10
ablation,slim_variance_only,up_n_down,0,30000,1779.0,10
ablation,slim_variance_only,up_n_down,0,40000,41960.0,10
ablation,slim_variance_only,up_n_down,0,50000,75781.0,10
ablation,slim_variance_only,up_n_down,0,60000,95046.0,10
ablation,slim_variance_only,up_n_down,0,70000,19395.0,10
ablation,slim_variance_only,up_n_down,0,80000,120040.0,10
ablation,slim_variance_only,up_n_down,0,90000,111413.0,10
ablation,slim_variance_only,up_n_down,0,100000,87508.8,100
ablation,slim_variance_only,frostbite,0,10000,133.0,10
ablation,slim_variance_only,frostbite,0,20000,166.0,10
ablation,slim_variance_only,frostbite,0,30000,220.0,10
ablation,slim_variance_only,frostbite,0,40000,985.0,10
ablation,slim_variance_only,frostbite,0,50000,1104.0,10
ablation,slim_variance_only,frostbite,0,60000,1545.0,10
ablation,slim_variance_only,frostbite,0,70000,1327.0,10
ablation,slim_variance_only,frostbite,0,80000,2259.0,10
ablation,slim_variance_only,frostbite,0,90000,2132.0,10
ablation,slim_variance_only,frostbite,0,100000,1892.5,100
ablation,slim_variance_only,road_runner,0,10000,1050.0,10
ablation,slim_variance_only,road_runner,0,20000,790.0,10
ablation,slim_variance_only,road_runner,0,30000,4300.0,10
ablation,slim_variance_only,road_runner,0,40000,6340.0,10
ablation,slim_variance_only,road_runner,0,50000,7680.0,10
ablation,slim_variance_only,road_runner,0,60000,10190.0,10
ablation,slim_variance_only,road_runner,0,70000,8160.0,10
ablation,slim_variance_only,road_runner,0,80000,8950.0,10
ablation,slim_variance_only,road_runner,0,90000,10260.0,10
ablation,slim_variance_only,road_runner,0,100000,8994.0,100
