role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,slim_zero,boxing,0,10000,0,24.0,1780.0
ablation,slim_zero,boxing,0,10000,1,10.0,1781.0
ablation,slim_zero,boxing,0,10000,2,36.0,1786.0
ablation,slim_zero,boxing,0,10000,3,-1.0,1784.0
ablation,slim_zero,boxing,0,10000,4,31.0,1784.0
ablation,slim_zero,boxing,0,10000,5,28.0,1785.0
ablation,slim_zero,boxing,0,10000,6,22.0,1785.0
ablation,slim_zero,boxing,0,10000,7,13.0,1779.0
ablation,slim_zero,boxing,0,10000,8,14.0,1786.0
ablation,slim_zero,boxing,0,10000,9,7.0,1780.0
ablation,slim_zero,boxing,0,20000,0,19.0,1780.0
ablation,slim_zero,boxing,0,20000,1,27.0,1781.0
ablation,slim_zero,boxing,0,20000,2,38.0,1786.0
ablation,slim_zero,boxing,0,20000,3,59.0,1784.0
ablation,slim_zero,boxing,0,20000,4,43.0,1784.0
ablation,slim_zero,boxing,0,20000,5,41.0,1785.0
ablation,slim_zero,boxing,0,20000,6,38.0,1785.0
ablation,slim_zero,boxing,0,20000,7,31.0,1779.0
ablation,slim_zero,boxing,0,20000,8,51.0,1786.0
ablation,slim_zero,boxing,0,20000,9,35.0,1780.0
ablation,slim_zero,boxing,0,30000,0,53.0,1780.0
ablation,slim_zero,boxing,0,30000,1,49.0,1781.0
ablation,slim_zero,boxing,0,30000,2,40.0,1786.0
ablation,slim_zero,boxing,0,30000,3,45.0,1784.0
ablation,slim_zero,boxing,0,30000,4,67.0,1784.0
ablation,slim_zero,boxing,0,30000,5,48.0,1785.0
ablation,slim_zero,boxing,0,30000,6,33.0,1785.0
ablation,slim_zero,boxing,0,30000,7,40.0,1779.0
ablation,slim_zero,boxing,0,30000,8,40.0,1786.0
ablation,slim_zero,boxing,0,30000,9,32.0,1780.0
ablation,slim_zero,boxing,0,40000,0,50.0,1780.0
ablation,slim_zero,boxing,0,40000,1,51.0,1781.0
ablation,slim_zero,boxing,0,40000,2,71.0,1786.0
ablation,slim_zero,boxing,0,40000,3,50.0,1784.0
ablation,slim_zero,boxing,0,40000,4,45.0,1784.0
ablation,slim_zero,boxing,0,40000,5,47.0,1785.0
ablation,slim_zero,boxing,0,40000,6,73.0,1764.0
ablation,slim_zero,boxing,0,40000,7,65.0,1779.0
ablation,slim_zero,boxing,0,40000,8,40.0,1786.0
ablation,slim_zero,boxing,0,40000,9,36.0,1780.0
ablation,slim_zero,boxing,0,50000,0,29.0,1780.0
ablation,slim_zero,boxing,0,50000,1,55.0,1781.0
ablation,slim_zero,boxing,0,50000,2,15.0,1786.0
ablation,slim_zero,boxing,0,50000,3,7.0,1784.0
ablation,slim_zero,boxing,0,50000,4,29.0,1784.0
ablation,slim_zero,boxing,0,50000,5,28.0,1785.0
ablation,slim_zero,boxing,0,50000,6,38.0,1785.0
ablation,slim_zero,boxing,0,50000,7,33.0,1779.0
ablation,slim_zero,boxing,0,50000,8,44.0,1786.0
ablation,slim_zero,boxing,0,50000,9,19.0,1780.0
ablation,slim_zero,boxing,0,60000,0,30.0,1780.0
ablation,slim_zero,boxing,0,60000,1,58.0,1781.0
ablation,slim_zero,boxing,0,60000,2,40.0,1786.0
ablation,slim_zero,boxing,0,60000,3,58.0,1784.0
ablation,slim_zero,boxing,0,60000,4,55.0,1784.0
ablation,slim_zero,boxing,0,60000,5,52.0,1785.0
ablation,slim_zero,boxing,0,60000,6,40.0,1785.0
ablation,slim_zero,boxing,0,60000,7,44.0,1779.0
ablation,slim_zero,boxing,0,60000,8,34.0,1786.0
ablation,slim_zero,boxing,0,60000,9,43.0,1780.0
ablation,slim_zero,boxing,0,70000,0,56.0,1780.0
ablation,slim_zero,boxing,0,70000,1,62.0,1759.0
ablation,slim_zero,boxing,0,70000,2,62.0,1786.0
ablation,slim_zero,boxing,0,70000,3,33.0,1784.0
ablation,slim_zero,boxing,0,70000,4,70.0,1784.0
ablation,slim_zero,boxing,0,70000,5,78.0,1782.0
ablation,slim_zero,boxing,0,70000,6,75.0,1785.0
ablation,slim_zero,boxing,0,70000,7,54.0,1779.0
ablation,slim_zero,boxing,0,70000,8,52.0,1786.0
ablation,slim_zero,boxing,0,70000,9,74.0,1631.0
ablation,slim_zero,boxing,0,80000,0,47.0,1780.0
ablation,slim_zero,boxing,0,80000,1,54.0,1781.0
ablation,slim_zero,boxing,0,80000,2,79.0,1609.0
ablation,slim_zero,boxing,0,80000,3,45.0,1784.0
ablation,slim_zero,boxing,0,80000,4,68.0,1784.0
ablation,slim_zero,boxing,0,80000,5,56.0,1784.0
ablation,slim_zero,boxing,0,80000,6,33.0,1785.0
ablation,slim_zero,boxing,0,80000,7,74.0,1779.0
ablation,slim_zero,boxing,0,80000,8,44.0,1748.0
ablation,slim_zero,boxing,0,80000,9,63.0,1780.0
ablation,slim_zero,boxing,0,90000,0,60.0,1780.0
ablation,slim_zero,boxing,0,90000,1,64.0,1720.0
ablation,slim_zero,boxing,0,90000,2,82.0,1786.0
ablation,slim_zero,boxing,0,90000,3,58.0,1784.0
ablation,slim_zero,boxing,0,90000,4,77.0,1725.0
ablation,slim_zero,boxing,0,90000,5,52.0,1785.0
ablation,slim_zero,boxing,0,90000,6,43.0,1785.0
ablation,slim_zero,boxing,0,90000,7,74.0,1737.0
ablation,slim_zero,boxing,0,90000,8,53.0,1786.0
ablation,slim_zero,boxing,0,90000,9,53.0,1780.0
ablation,slim_zero,boxing,0,100000,0,70.0,1758.0
ablation,slim_zero,boxing,0,100000,1,71.0,1475.0
ablation,slim_zero,boxing,0,100000,2,76.0,1636.0
ablation,slim_zero,boxing,0,100000,3,65.0,1784.0
ablation,slim_zero,boxing,0,100000,4,68.0,1575.0
ablation,slim_zero,boxing,0,100000,5,79.0,1782.0
ablation,slim_zero,boxing,0,100000,6,70.0,1757.0
ablation,slim_zero,boxing,0,100000,7,72.0,1753.0
