role,arm,game,seed,agent_steps,mean_return,episodes
comparator,baseline,boxing,0,10000,11.9,10
comparator,baseline,boxing,0,20000,13.0,10
comparator,baseline,boxing,0,30000,27.8,10
comparator,baseline,boxing,0,40000,21.8,10
comparator,baseline,boxing,0,50000,23.3,10
comparator,baseline,boxing,0,60000,34.8,10
comparator,baseline,boxing,0,70000,36.7,10
comparator,baseline,boxing,0,80000,45.1,10
comparator,baseline,boxing,0,90000,31.4,10
comparator,baseline,boxing,0,100000,60.43,100
comparator,baseline,up_n_down,0,10000,23.0,10
comparator,baseline,up_n_down,0,20000,3624.0,10
comparator,baseline,up_n_down,0,30000,2110.0,10
comparator,baseline,up_n_down,0,40000,5080.0,10
comparator,baseline,up_n_down,0,50000,13788.0,10
comparator,baseline,up_n_down,0,60000,97490.0,10
comparator,baseline,up_n_down,0,70000,19358.0,10
comparator,baseline,up_n_down,0,80000,61897.0,10
comparator,baseline,up_n_down,0,90000,20753.0,10
comparator,baseline,up_n_down,0,100000,13424.8,100
comparator,baseline,frostbite,0,10000,152.0,10
comparator,baseline,frostbite,0,20000,310.0,10
comparator,baseline,frostbite,0,30000,273.0,10
comparator,baseline,frostbite,0,40000,311.0,10
comparator,baseline,frostbite,0,50000,384.0,10
comparator,baseline,frostbite,0,60000,476.0,10
comparator,baseline,frostbite,0,70000,942.0,10
comparator,baseline,frostbite,0,80000,1026.0,10
comparator,baseline,frostbite,0,90000,1053.0,10
comparator,baseline,frostbite,0,100000,1193.4,100
comparator,baseline,road_runner,0,10000,810.0,10
comparator,baseline,road_runner,0,20000,940.0,10
comparator,baseline,road_runner,0,30000,970.0,10
comparator,baseline,road_runner,0,40000,1040.0,10
comparator,baseline,road_runner,0,50000,3920.0,10
comparator,baseline,road_runner,0,60000,8670.0,10
comparator,baseline,road_runner,0,70000,9420.0,10
comparator,baseline,road_runner,0,80000,8880.0,10
comparator,baseline,road_runner,0,90000,9620.0,10
comparator,baseline,road_runner,0,100000,9214.0,100
ablation,slim_zero,boxing,0,10000,18.4,10
ablation,slim_zero,boxing,0,20000,38.2,10
ablation,slim_zero,boxing,0,30000,44.7,10
ablation,slim_zero,boxing,0,40000,52.8,10
ablation,slim_zero,boxing,0,50000,29.7,10
ablation,slim_zero,boxing,0,60000,45.4,10
ablation,slim_zero,boxing,0,70000,61.6,10
ablation,slim_zero,boxing,0,80000,56.3,10
ablation,slim_zero,boxing,0,90000,61.6,10
ablation,slim_zero,boxing,0,100000,71.41,100
ablation,slim_zero,up_n_down,0,10000,612.0,10
ablation,slim_zero,up_n_down,0,20000,8022.0,10
ablation,slim_zero,up_n_down,0,30000,22485.0,10
ablation,slim_zero,up_n_down,0,40000,13444.0,10
ablation,slim_zero,up_n_down,0,50000,189228.0,10
ablation,slim_zero,up_n_down,0,60000,225557.0,10
ablation,slim_zero,up_n_down,0,70000,253410.0,10
ablation,slim_zero,up_n_down,0,80000,252146.0,10
ablation,slim_zero,up_n_down,0,90000,225762.0,10
ablation,slim_zero,up_n_down,0,100000,155390.2,100
ablation,slim_zero,frostbite,0,10000,141.0,10
ablation,slim_zero,frostbite,0,20000,231.0,10
ablation,slim_zero,frostbite,0,30000,230.0,10
ablation,slim_zero,frostbite,0,40000,539.0,10
ablation,slim_zero,frostbite,0,50000,1641.0,10
ablation,slim_zero,frostbite,0,60000,1165.0,10
ablation,slim_zero,frostbite,0,70000,2572.0,10
ablation,slim_zero,frostbite,0,80000,2285.0,10
ablation,slim_zero,frostbite,0,90000,2313.0,10
ablation,slim_zero,frostbite,0,100000,2486.8,100
ablation,slim_zero,road_runner,0,10000,800.0,10
ablation,slim_zero,road_runner,0,20000,1190.0,10
ablation,slim_zero,road_runner,0,30000,5750.0,10
ablation,slim_zero,road_runner,0,40000,7180.0,10
ablation,slim_zero,road_runner,0,50000,7320.0,10
ablation,slim_zero,road_runner,0,60000,6590.0,10
ablation,slim_zero,road_runner,0,70000,4240.0,10
ablation,slim_zero,road_runner,0,80000,8480.0,10
ablation,slim_zero,road_runner,0,90000,7170.0,10
ablation,slim_zero,road_runner,0,100000,7491.0,100
