role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,warmup_60000,boxing,0,10000,2.2,10
ablation,warmup_60000,boxing,0,20000,24.8,10
ablation,warmup_60000,boxing,0,30000,41.0,10
ablation,warmup_60000,boxing,0,40000,63.6,10
ablation,warmup_60000,boxing,0,50000,60.3,10
ablation,warmup_60000,boxing,0,60000,73.8,10
ablation,warmup_60000,boxing,0,70000,81.6,10
ablation,warmup_60000,boxing,0,80000,86.6,10
ablation,warmup_60000,boxing,0,90000,86.0,10
ablation,warmup_60000,boxing,0,100000,88.93,100
ablation,warmup_60000,up_n_down,0,10000,691.0,10
ablation,warmup_60000,up_n_down,0,20000,2235.0,10
ablation,warmup_60000,up_n_down,0,30000,1018.0,10
ablation,warmup_60000,up_n_down,0,40000,1655.0,10
ablation,warmup_60000,up_n_down,0,50000,2532.0,10
ablation,warmup_60000,up_n_down,0,60000,2384.0,10
ablation,warmup_60000,up_n_down,0,70000,4656.0,10
ablation,warmup_60000,up_n_down,0,80000,4748.0,10
ablation,warmup_60000,up_n_down,0,90000,5271.0,10
ablation,warmup_60000,up_n_down,0,100000,7719.9,100
ablation,warmup_60000,frostbite,0,10000,85.0,10
ablation,warmup_60000,frostbite,0,20000,257.0,10
ablation,warmup_60000,frostbite,0,30000,177.0,10
ablation,warmup_60000,frostbite,0,40000,234.0,10
ablation,warmup_60000,frostbite,0,50000,1702.0,10
ablation,warmup_60000,frostbite,0,60000,1026.0,10
ablation,warmup_60000,frostbite,0,70000,987.0,10
ablation,warmup_60000,frostbite,0,80000,700.0,10
ablation,warmup_60000,frostbite,0,90000,2005.0,10
ablation,warmup_60000,frostbite,0,100000,2006.9,100
ablation,warmup_60000,road_runner,0,10000,1220.0,10
ablation,warmup_60000,road_runner,0,20000,400.0,10
ablation,warmup_60000,road_runner,0,30000,5310.0,10
ablation,warmup_60000,road_runner,0,40000,7540.0,10
ablation,warmup_60000,road_runner,0,50000,9620.0,10
ablation,warmup_60000,road_runner,0,60000,11760.0,10
ablation,warmup_60000,road_runner,0,70000,12950.0,10
ablation,warmup_60000,road_runner,0,80000,7980.0,10
ablation,warmup_60000,road_runner,0,90000,15180.0,10
ablation,warmup_60000,road_runner,0,100000,15906.0,100
