role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,wide_trunk,boxing,0,10000,0,-5.0,1780.0
ablation,wide_trunk,boxing,0,10000,1,8.0,1781.0
ablation,wide_trunk,boxing,0,10000,2,0.0,1786.0
ablation,wide_trunk,boxing,0,10000,3,-10.0,1784.0
ablation,wide_trunk,boxing,0,10000,4,-4.0,1784.0
ablation,wide_trunk,boxing,0,10000,5,2.0,1785.0
ablation,wide_trunk,boxing,0,10000,6,-2.0,1785.0
ablation,wide_trunk,boxing,0,10000,7,-1.0,1779.0
ablation,wide_trunk,boxing,0,10000,8,-4.0,1786.0
ablation,wide_trunk,boxing,0,10000,9,-7.0,1780.0
ablation,wide_trunk,boxing,0,20000,0,4.0,1780.0
ablation,wide_trunk,boxing,0,20000,1,-10.0,1781.0
ablation,wide_trunk,boxing,0,20000,2,5.0,1786.0
ablation,wide_trunk,boxing,0,20000,3,0.0,1784.0
ablation,wide_trunk,boxing,0,20000,4,2.0,1784.0
ablation,wide_trunk,boxing,0,20000,5,2.0,1785.0
ablation,wide_trunk,boxing,0,20000,6,-6.0,1785.0
ablation,wide_trunk,boxing,0,20000,7,-3.0,1779.0
ablation,wide_trunk,boxing,0,20000,8,-3.0,1786.0
ablation,wide_trunk,boxing,0,20000,9,-5.0,1780.0
ablation,wide_trunk,boxing,0,30000,0,-12.0,1780.0
ablation,wide_trunk,boxing,0,30000,1,-5.0,1781.0
ablation,wide_trunk,boxing,0,30000,2,-16.0,1786.0
ablation,wide_trunk,boxing,0,30000,3,-4.0,1784.0
ablation,wide_trunk,boxing,0,30000,4,-18.0,1784.0
ablation,wide_trunk,boxing,0,30000,5,-5.0,1785.0
ablation,wide_trunk,boxing,0,30000,6,1.0,1785.0
ablation,wide_trunk,boxing,0,30000,7,-31.0,1779.0
ablation,wide_trunk,boxing,0,30000,8,-17.0,1786.0
ablation,wide_trunk,boxing,0,30000,9,-17.0,1780.0
ablation,wide_trunk,boxing,0,40000,0,5.0,1780.0
ablation,wide_trunk,boxing,0,40000,1,2.0,1781.0
ablation,wide_trunk,boxing,0,40000,2,3.0,1786.0
ablation,wide_trunk,boxing,0,40000,3,7.0,1784.0
ablation,wide_trunk,boxing,0,40000,4,3.0,1784.0
ablation,wide_trunk,boxing,0,40000,5,28.0,1573.0
ablation,wide_trunk,boxing,0,40000,6,8.0,1785.0
ablation,wide_trunk,boxing,0,40000,7,20.0,1513.0
ablation,wide_trunk,boxing,0,40000,8,23.0,1690.0
ablation,wide_trunk,boxing,0,40000,9,-1.0,1780.0
ablation,wide_trunk,boxing,0,50000,0,-23.0,1780.0
ablation,wide_trunk,boxing,0,50000,1,-18.0,1781.0
ablation,wide_trunk,boxing,0,50000,2,0.0,1786.0
ablation,wide_trunk,boxing,0,50000,3,4.0,1784.0
ablation,wide_trunk,boxing,0,50000,4,-8.0,1784.0
ablation,wide_trunk,boxing,0,50000,5,3.0,1785.0
ablation,wide_trunk,boxing,0,50000,6,-3.0,1785.0
ablation,wide_trunk,boxing,0,50000,7,-7.0,1687.0
ablation,wide_trunk,boxing,0,50000,8,0.0,1786.0
ablation,wide_trunk,boxing,0,50000,9,3.0,1780.0
ablation,wide_trunk,boxing,0,60000,0,36.0,1780.0
ablation,wide_trunk,boxing,0,60000,1,14.0,1781.0
ablation,wide_trunk,boxing,0,60000,2,22.0,1786.0
ablation,wide_trunk,boxing,0,60000,3,20.0,1784.0
ablation,wide_trunk,boxing,0,60000,4,21.0,1784.0
ablation,wide_trunk,boxing,0,60000,5,13.0,1785.0
ablation,wide_trunk,boxing,0,60000,6,45.0,1785.0
ablation,wide_trunk,boxing,0,60000,7,8.0,1779.0
ablation,wide_trunk,boxing,0,60000,8,18.0,1786.0
ablation,wide_trunk,boxing,0,60000,9,0.0,1780.0
ablation,wide_trunk,boxing,0,70000,0,29.0,1743.0
ablation,wide_trunk,boxing,0,70000,1,8.0,1781.0
ablation,wide_trunk,boxing,0,70000,2,37.0,1786.0
ablation,wide_trunk,boxing,0,70000,3,32.0,1640.0
ablation,wide_trunk,boxing,0,70000,4,6.0,1784.0
ablation,wide_trunk,boxing,0,70000,5,18.0,1785.0
ablation,wide_trunk,boxing,0,70000,6,10.0,1785.0
ablation,wide_trunk,boxing,0,70000,7,42.0,1654.0
ablation,wide_trunk,boxing,0,70000,8,37.0,1672.0
ablation,wide_trunk,boxing,0,70000,9,11.0,1780.0
ablation,wide_trunk,boxing,0,80000,0,-19.0,1780.0
ablation,wide_trunk,boxing,0,80000,1,-8.0,1781.0
ablation,wide_trunk,boxing,0,80000,2,2.0,1786.0
ablation,wide_trunk,boxing,0,80000,3,5.0,1784.0
ablation,wide_trunk,boxing,0,80000,4,-11.0,1784.0
ablation,wide_trunk,boxing,0,80000,5,-7.0,1785.0
ablation,wide_trunk,boxing,0,80000,6,-12.0,1785.0
ablation,wide_trunk,boxing,0,80000,7,-2.0,1779.0
ablation,wide_trunk,boxing,0,80000,8,-2.0,1786.0
ablation,wide_trunk,boxing,0,80000,9,1.0,1780.0
ablation,wide_trunk,boxing,0,90000,0,64.0,740.0
ablation,wide_trunk,boxing,0,90000,1,42.0,1068.0
ablation,wide_trunk,boxing,0,90000,2,69.0,612.0
ablation,wide_trunk,boxing,0,90000,3,30.0,1004.0
ablation,wide_trunk,boxing,0,90000,4,45.0,916.0
ablation,wide_trunk,boxing,0,90000,5,45.0,1083.0
ablation,wide_trunk,boxing,0,90000,6,19.0,1015.0
ablation,wide_trunk,boxing,0,90000,7,27.0,1103.0
ablation,wide_trunk,boxing,0,90000,8,18.0,1146.0
ablation,wide_trunk,boxing,0,90000,9,47.0,875.0
ablation,wide_trunk,boxing,0,100000,0,64.0,765.0
ablation,wide_trunk,boxing,0,100000,1,59.0,1001.0
ablation,wide_trunk,boxing,0,100000,2,30.0,1084.0
ablation,wide_trunk,boxing,0,100000,3,50.0,1032.0
ablation,wide_trunk,boxing,0,100000,4,76.0,457.0
ablation,wide_trunk,boxing,0,100000,5,58.0,782.0
ablation,wide_trunk,boxing,0,100000,6,38.0,1005.0
ablation,wide_trunk,boxing,0,100000,7,75.0,605.0
ablation,wide_trunk,boxing,0,100000,8,61.0,750.0
ablation,wide_trunk,boxing,0,100000,9,75.0,597.0
ablation,wide_trunk,boxing,0,100000,10,100.0,273.0
ablation,wide_trunk,boxing,0,100000,11,54.0,799.0
ablation,wide_trunk,boxing,0,100000,12,55.0,751.0
ablation,wide_trunk,boxing,0,100000,13,38.0,948.0
ablation,wide_trunk,boxing,0,100000,14,54.0,706.0
ablation,wide_trunk,boxing,0,100000,15,62.0,720.0
ablation,wide_trunk,boxing,0,100000,16,81.0,694.0
ablation,wide_trunk,boxing,0,100000,17,50.0,814.0
ablation,wide_trunk,boxing,0,100000,18,43.0,904.0
ablation,wide_trunk,boxing,0,100000,19,55.0,700.0
ablation,wide_trunk,boxing,0,100000,20,39.0,935.0
ablation,wide_trunk,boxing,0,100000,21,74.0,479.0
ablation,wide_trunk,boxing,0,100000,22,67.0,719.0
ablation,wide_trunk,boxing,0,100000,23,74.0,515.0
ablation,wide_trunk,boxing,0,100000,24,46.0,948.0
ablation,wide_trunk,boxing,0,100000,25,46.0,932.0
ablation,wide_trunk,boxing,0,100000,26,71.0,639.0
