role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,wide_trunk,boxing,0,10000,-2.3,10
ablation,wide_trunk,boxing,0,20000,-1.4,10
ablation,wide_trunk,boxing,0,30000,-12.4,10
ablation,wide_trunk,boxing,0,40000,9.8,10
ablation,wide_trunk,boxing,0,50000,-4.9,10
ablation,wide_trunk,boxing,0,60000,19.7,10
ablation,wide_trunk,boxing,0,70000,23.0,10
ablation,wide_trunk,boxing,0,80000,-5.3,10
ablation,wide_trunk,boxing,0,90000,40.6,10
ablation,wide_trunk,boxing,0,100000,60.24,100
ablation,wide_trunk,up_n_down,0,10000,10264.0,10
ablation,wide_trunk,up_n_down,0,20000,951.0,10
ablation,wide_trunk,up_n_down,0,30000,1961.0,10
ablation,wide_trunk,up_n_down,0,40000,42213.0,10
ablation,wide_trunk,up_n_down,0,50000,65937.0,10
ablation,wide_trunk,up_n_down,0,60000,15968.0,10
ablation,wide_trunk,up_n_down,0,70000,99041.0,10
ablation,wide_trunk,up_n_down,0,80000,31644.0,10
ablation,wide_trunk,up_n_down,0,90000,148605.0,10
ablation,wide_trunk,up_n_down,0,100000,39669.7,100
ablation,wide_trunk,frostbite,0,10000,145.0,10
ablation,wide_trunk,frostbite,0,20000,187.0,10
ablation,wide_trunk,frostbite,0,30000,1112.0,10
ablation,wide_trunk,frostbite,0,40000,227.0,10
ablation,wide_trunk,frostbite,0,50000,1751.0,10
ablation,wide_trunk,frostbite,0,60000,1393.0,10
ablation,wide_trunk,frostbite,0,70000,1458.0,10
ablation,wide_trunk,frostbite,0,80000,1824.0,10
ablation,wide_trunk,frostbite,0,90000,2351.0,10
ablation,wide_trunk,frostbite,0,100000,1928.4,100
ablation,wide_trunk,road_runner,0,10000,1480.0,10
ablation,wide_trunk,road_runner,0,20000,5690.0,10
ablation,wide_trunk,road_runner,0,30000,5170.0,10
ablation,wide_trunk,road_runner,0,40000,7260.0,10
ablation,wide_trunk,road_runner,0,50000,7330.0,10
ablation,wide_trunk,road_runner,0,60000,6440.0,10
ablation,wide_trunk,road_runner,0,70000,6980.0,10
ablation,wide_trunk,road_runner,0,80000,8410.0,10
ablation,wide_trunk,road_runner,0,90000,8550.0,10
ablation,wide_trunk,road_runner,0,100000,7382.0,100
