method,game,bin,mean,std,seeds,sem,agent_steps,source_note
DreamerV3,boxing,0.0,-3.0,8.551315688243536,5,3.824264635194589,2500.0,n=5 seeds; training episodes
DreamerV3,boxing,1.0,-5.7333333333333325,9.65343922593854,5,4.317149265172305,7500.0,n=5 seeds; training episodes
DreamerV3,boxing,2.0,3.666666666666667,10.69527413808963,5,4.783072002152776,12500.0,n=5 seeds; training episodes
DreamerV3,boxing,3.0,14.866666666666664,16.91252001723378,5,7.56350888587213,17500.0,n=5 seeds; training episodes
DreamerV3,boxing,4.0,25.0,13.258121200900897,5,5.92921205182911,22500.0,n=5 seeds; training episodes
DreamerV3,boxing,5.0,36.2,20.550547437963782,5,9.190484209224232,27500.0,n=5 seeds; training episodes
DreamerV3,boxing,6.0,33.11666666666666,21.266464210112595,5,9.510651922975626,32500.0,n=5 seeds; training episodes
DreamerV3,boxing,7.0,37.3,12.356060141575156,5,5.525798082127544,37500.0,n=5 seeds; training episodes
DreamerV3,boxing,8.0,44.333333333333336,11.135528725660045,5,4.979959839195493,42500.0,n=5 seeds; training episodes
DreamerV3,boxing,9.0,50.04666666666667,6.6482913427269255,5,2.9732062753121515,47500.0,n=5 seeds; training episodes
DreamerV3,boxing,10.0,57.57666666666667,10.92475273048421,5,4.8856979485478265,52500.0,n=5 seeds; training episodes
DreamerV3,boxing,11.0,61.51666666666667,7.998784629901943,5,3.577165233968248,57500.0,n=5 seeds; training episodes
DreamerV3,boxing,12.0,61.3,6.788879796320514,5,3.036079343129519,62500.0,n=5 seeds; training episodes
DreamerV3,boxing,13.0,62.82333333333334,6.300811235247585,5,2.817808447081604,67500.0,n=5 seeds; training episodes
DreamerV3,boxing,14.0,65.37666666666667,13.149501469215055,5,5.880635831079645,72500.0,n=5 seeds; training episodes
DreamerV3,boxing,15.0,64.33333333333334,12.51929067035704,5,5.598796993799451,77500.0,n=5 seeds; training episodes
DreamerV3,boxing,16.0,70.06031746031746,9.096757401013834,5,4.068193584698249,82500.0,n=5 seeds; training episodes
DreamerV3,boxing,17.0,70.32833333333333,13.189541837717066,5,5.898542428242571,87500.0,n=5 seeds; training episodes
DreamerV3,boxing,18.0,71.07111111111111,8.910631741054692,5,3.984955659093119,92500.0,n=5 seeds; training episodes
DreamerV3,boxing,19.0,70.84507936507937,7.109603156441014,5,3.179511190169836,97500.0,n=5 seeds; training episodes
DreamerV3,frostbite,0.0,76.25641025641025,8.067072748022888,5,3.607704608803042,2500.0,n=5 seeds; training episodes
DreamerV3,frostbite,1.0,78.57948717948719,12.055394824670742,5,5.391336464712587,7500.0,n=5 seeds; training episodes
DreamerV3,frostbite,2.0,148.97902097902096,6.1831215423292205,5,2.765176016358296,12500.0,n=5 seeds; training episodes
DreamerV3,frostbite,3.0,156.58441558441558,44.59799700687428,5,19.94483059354061,17500.0,n=5 seeds; training episodes
DreamerV3,frostbite,4.0,269.0959595959596,97.40976009151036,5,43.562969047312656,22500.0,n=5 seeds; training episodes
DreamerV3,frostbite,5.0,470.4701298701299,335.20054821307764,5,149.90624237992745,27500.0,n=5 seeds; training episodes
DreamerV3,frostbite,6.0,713.5896103896105,627.7283755946779,5,280.72866384704395,32500.0,n=5 seeds; training episodes
DreamerV3,frostbite,7.0,892.4268398268399,811.1997486274945,5,362.7795562523639,37500.0,n=5 seeds; training episodes
DreamerV3,frostbite,8.0,890.6,648.7889691807438,5,290.14724762803183,42500.0,n=5 seeds; training episodes
DreamerV3,frostbite,9.0,1063.82683982684,800.5835659230859,5,358.0318550146408,47500.0,n=5 seeds; training episodes
DreamerV3,frostbite,10.0,906.6095238095238,657.6387418174427,5,294.10498626824705,52500.0,n=5 seeds; training episodes
DreamerV3,frostbite,11.0,1055.190476190476,716.4189652618418,5,320.3923013391077,57500.0,n=5 seeds; training episodes
DreamerV3,frostbite,12.0,1368.4,844.752343721059,5,377.7847329425111,62500.0,n=5 seeds; training episodes
DreamerV3,frostbite,13.0,1437.4,793.1609896834032,5,354.71237800661976,67500.0,n=5 seeds; training episodes
DreamerV3,frostbite,14.0,1521.7333333333331,804.6715479001355,5,359.8600561329362,72500.0,n=5 seeds; training episodes
DreamerV3,frostbite,15.0,1465.5619047619048,861.2507972870993,5,385.1630656819691,77500.0,n=5 seeds; training episodes
DreamerV3,frostbite,16.0,1715.9333333333332,1066.2373198412358,5,476.8358254624377,82500.0,n=5 seeds; training episodes
DreamerV3,frostbite,17.0,2037.9,1081.28698780666,5,483.5662415843356,87500.0,n=5 seeds; training episodes
DreamerV3,frostbite,18.0,2001.8666666666668,1013.2023106084106,5,453.1178482960525,92500.0,n=5 seeds; training episodes
DreamerV3,frostbite,19.0,1910.0666666666668,970.1481101128608,5,433.8634244910616,97500.0,n=5 seeds; training episodes
DreamerV3,road_runner,0.0,27.22222222222222,41.12612338515944,5,18.39216150805205,2500.0,n=5 seeds; training episodes
DreamerV3,road_runner,1.0,477.1882065303118,303.35590025615227,5,135.66488286968047,7500.0,n=5 seeds; training episodes
DreamerV3,road_runner,2.0,1095.5219780219782,339.45656262572504,5,151.80958988790712,12500.0,n=5 seeds; training episodes
DreamerV3,road_runner,3.0,1838.8333333333333,552.7097389729581,5,247.17930963393985,17500.0,n=5 seeds; training episodes
DreamerV3,road_runner,4.0,3988.571428571429,1607.461300021173,5,718.8785476095053,22500.0,n=5 seeds; training episodes
DreamerV3,road_runner,5.0,5251.428571428571,1664.0724708403227,5,744.1958328569996,27500.0,n=5 seeds; training episodes
DreamerV3,road_runner,6.0,6408.095238095239,1552.887187396446,5,694.4722624813816,32500.0,n=5 seeds; training episodes
DreamerV3,road_runner,7.0,7780.357142857143,1649.007470497057,5,737.4585598872796,37500.0,n=5 seeds; training episodes
DreamerV3,road_runner,8.0,9516.666666666668,1550.5984507781366,5,693.448708349155,42500.0,n=5 seeds; training episodes
DreamerV3,road_runner,9.0,10784.0,3490.6560987871608,5,1561.0688645924624,47500.0,n=5 seeds; training episodes
DreamerV3,road_runner,10.0,11189.0,4757.64174775697,5,2127.6820721150984,52500.0,n=5 seeds; training episodes
DreamerV3,road_runner,11.0,12662.666666666668,4872.855311712927,5,2179.207144302206,57500.0,n=5 seeds; training episodes
DreamerV3,road_runner,12.0,12905.666666666668,5408.205391398846,5,2418.622978289735,62500.0,n=5 seeds; training episodes
DreamerV3,road_runner,13.0,13977.0,5088.469317977657,5,2275.6326592840064,67500.0,n=5 seeds; training episodes
DreamerV3,road_runner,14.0,13452.0,5774.989826830866,5,2582.653964432711,72500.0,n=5 seeds; training episodes
DreamerV3,road_runner,15.0,13054.666666666668,4474.076316837799,5,2000.8677561942409,77500.0,n=5 seeds; training episodes
DreamerV3,road_runner,16.0,13060.0,5760.719356122116,5,2576.2720159175738,82500.0,n=5 seeds; training episodes
DreamerV3,road_runner,17.0,12832.0,4806.810330724061,5,2149.670930889449,87500.0,n=5 seeds; training episodes
DreamerV3,road_runner,18.0,13275.0,5060.00494070905,5,2262.903002782046,92500.0,n=5 seeds; training episodes
DreamerV3,road_runner,19.0,13449.666666666666,5620.104091562719,5,2513.386957871788,97500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,0.0,452.1111111111112,149.8066655293984,5,66.99557752126186,2500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,1.0,1148.0833333333337,173.44887975680004,5,77.56869715147842,7500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,2.0,1184.861111111111,364.90887582288406,5,163.19221038659964,12500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,3.0,2001.5492063492063,955.6423863412152,5,427.3762676078147,17500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,4.0,8771.91111111111,11751.608090222073,5,5255.478906934606,22500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,5.0,3739.910714285714,2889.4582674797025,4,1444.7291337398512,27500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,6.0,4475.833333333333,3040.995245529551,3,1755.7194236108585,32500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,7.0,21459.52380952381,32080.086504144256,4,16040.043252072128,37500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,8.0,30306.42857142857,39687.88332291181,2,28063.571428571428,42500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,9.0,6743.809523809524,6561.277494381459,2,4639.523809523809,47500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,10.0,3083.214285714286,1261.1754518734351,2,891.7857142857142,52500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,11.0,31304.28571428572,37026.755935431895,3,21377.407506540178,57500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,12.0,52507.583333333336,91366.86184476902,4,45683.43092238451,62500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,13.0,24795.416666666664,22014.751257206302,4,11007.375628603151,67500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,14.0,10365.607142857143,8159.862163180751,4,4079.931081590376,72500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,15.0,7505.0,6375.9419057253945,4,3187.970952862697,77500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,16.0,53220.55555555556,76394.11648981391,3,44106.16371989769,82500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,17.0,24833.5,17325.37009705709,4,8662.685048528545,87500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,18.0,13822.8125,11232.129434823346,4,5616.064717411673,92500.0,n=5 seeds; training episodes
DreamerV3,up_n_down,19.0,15365.555555555557,14506.022631741364,3,8375.05607130668,97500.0,n=5 seeds; training episodes
