game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed
boxing,10000,10,-0.4,e4199e7bfd4a107f793899088815e3eb3ae329b6c08598a8f6051341b4fe1617,0,0
boxing,20000,10,7.2,b000dd058626328ccec1cb8298f26fff8eeef8d76a83b0de747073d1883d93e3,0,0
boxing,30000,10,-3.8,4f875fd03c0656a0b7b7b5d772b91cbe0dd36d9b3ac32b5f2dd4954e9ca6bf3a,0,0
boxing,40000,10,6.9,d386c763ef5f8fb069997a605c9177c98c13097a4c27528a1635ae4e3672585b,0,0
boxing,50000,10,3.9,e9e71a1287b67fc158d799107c43542c18dc21dc9a4f3969f33473eddde3a624,0,0
boxing,60000,10,21.1,ce3499719b3afe2b849e9aee5f16f795530d56dc4810fca7ced736d1e6bcd29a,0,0
boxing,70000,10,31.0,7288f2f9a24c04cefc35e735b13c2c13d89cca4e933e1af3ddcd38e44ed19ff0,0,0
boxing,80000,10,33.7,437698666984b2ea00ebfa0b771693474d95a31addea4626131b3baa9e37c4bf,0,0
boxing,90000,10,52.7,1df3db6d88d9c063bbf61acc01487555e614ebed9bf37634d94c17fb956f77e2,0,0
boxing,100000,100,42.98,fbb545b4a5705c666f42447d2001726981efeb6f505ef8f34d020b93f05a131b,0,0
up_n_down,10000,10,3272.0,9234f3f6eee373d6e2453c8d19e8eb37dd801167d2b6925eda2ec27f14448a2f,0,0
up_n_down,20000,10,17059.0,9df6594c5c6e61b7b2ebae5d2e9a13d72a5e35596aa780de5124b1b32d93308b,0,0
up_n_down,30000,10,47210.0,50ab4408cef8007cf68d2307771d103c33d3ee08a88e87c334b34cf7e703da94,0,0
up_n_down,40000,10,5499.0,beeac87accfdb181e3021f5b247a1ba9181c9987759054b97a6001b5c84a5a2f,0,0
up_n_down,50000,10,20737.0,88a2f8c762253a37637759d19019a0a0e60062d10b56e7558d062a617dafeecc,0,0
up_n_down,60000,10,16858.0,d971e1aecc8dc8c5c2535ee4c31dab5dd53aad2b4e1f59be574807f87f1afd39,0,0
up_n_down,70000,10,10716.0,39883f8fd4bacfcbbe70811cc42f9d9a9564e3149584949e2a0b38cdc5429f3d,0,0
up_n_down,80000,10,8693.0,adbdae97c13ebae5fdf9bd0627792e09f2977fc8dc1a064b3d1ddad695f6a793,0,0
up_n_down,90000,10,17468.0,f574e0be89cf387bf98db72560c5ff454323375f2a8df8329ec694922474d086,0,0
up_n_down,100000,100,21285.9,094238b522ae7bbac682f017621d8261ed58c1ef6dca386b50b79bbe0ea1b65e,0,0
frostbite,10000,10,63.0,22424d80a04bf1910ec6e07dacd1106b2852466c0cd4a69c25425b136b8d1693,0,0
frostbite,20000,10,157.0,b5f45706a91f475effc939424d7af7c765960a7f9b6be5ee3be62ea165dc9051,0,0
frostbite,30000,10,215.0,32c46d1b3c8ca34263144943fe4925796f95860aee8713ac0df5e53ea312b40e,0,0
frostbite,40000,10,230.0,bf9c52e9f5604366690fe7dacd97a5f573a1e1f8bf256b65bf7a0e8d96e9f651,0,0
frostbite,50000,10,233.0,9d6c9f78daf67ecf94ee625551d48c72e529199b5329a3244512007ec01dfb57,0,0
frostbite,60000,10,260.0,7107354a16a1cab490d12c22f8fbbda875ba979ff100acd41f272a5f1946d395,0,0
frostbite,70000,10,258.0,dd1806456cc7f1877db124ded72806e7f2fd6ef67a6453a2a94032f7948a6e7d,0,0
frostbite,80000,10,260.0,b9d7b8a88264090902c903d0b1a32cdd2cd7a7971174ab201fcce05b2a5ce2f4,0,0
frostbite,90000,10,242.0,6204377eca34c53c384a2e5dbaa80a5b3c2e5f44900faf53870e61611fa9e95a,0,0
frostbite,100000,100,262.2,5cd7f735b64dd63fceedbbacc2a521e236d9dcfa34afbdb56f50e1f3a04c0fbd,0,0
road_runner,10000,10,930.0,9da02989af80bc079d13641e1004cebb307ac4f79320bd710eb6ace2093ff00a,0,0
road_runner,20000,10,5070.0,82b93e14ede7e3a3bd607bf0b87610695cba1a0597e852656bdd9dc4ea7d26be,0,0
road_runner,30000,10,10620.0,6b59542d2034e8cf3a9811866e2f5037697441053c549753e7a969ad9643f1d7,0,0
road_runner,40000,10,14090.0,a3dc2e4152dd166a9d58c86a467edb40be06a5ec1196fe5c601c5c48730360d1,0,0
road_runner,50000,10,10630.0,22a64525e8d0fc40adc74c854ca7753262706e9144f89ae3be1ba4f628f85a4b,0,0
road_runner,60000,10,14400.0,f4aef421ec9c28b89d98c872814c31d18de3b56c7968cad120dca52d90760246,0,0
road_runner,70000,10,14580.0,2dccfea7c434c8020ebdcbd2be075e82d6eecde21ec931b9b66c2cade1582336,0,0
road_runner,80000,10,12410.0,2e94a0670832aa46472c6e14bdd235cfe9822a79bc843dcc773633a308eff3d7,0,0
road_runner,90000,10,15100.0,2b37114e9b1c292585b01d5752f4e84ebe292a7763bece21d8c46e379caade57,0,0
road_runner,100000,100,12922.0,4d6a213663874e74cdae18220c62426bf00838416f095c9cded04a848f502d8d,0,0
