method,game,seed,agent_steps,return
Reborn,boxing,0,1779,0.0
Reborn,boxing,0,3559,-12.0
Reborn,boxing,0,5344,5.0
Reborn,boxing,0,7127,-9.0
Reborn,boxing,0,8910,-7.0
Reborn,boxing,0,10694,-38.0
Reborn,boxing,0,12478,0.0
Reborn,boxing,0,14256,0.0
Reborn,boxing,0,16041,0.0
Reborn,boxing,0,17820,4.0
Reborn,boxing,0,19601,2.0
Reborn,boxing,0,21384,4.0
Reborn,boxing,0,23166,-8.0
Reborn,boxing,0,24947,3.0
Reborn,boxing,0,26727,1.0
Reborn,boxing,0,28508,0.0
Reborn,boxing,0,30287,-1.0
Reborn,boxing,0,32072,3.0
Reborn,boxing,0,33853,3.0
Reborn,boxing,0,35632,7.0
Reborn,boxing,0,37412,8.0
Reborn,boxing,0,39194,-2.0
Reborn,boxing,0,40977,12.0
Reborn,boxing,0,42757,9.0
Reborn,boxing,0,44540,2.0
Reborn,boxing,0,46325,1.0
Reborn,boxing,0,48108,20.0
Reborn,boxing,0,49887,6.0
Reborn,boxing,0,51667,2.0
Reborn,boxing,0,53450,-5.0
Reborn,boxing,0,55230,13.0
Reborn,boxing,0,57011,4.0
Reborn,boxing,0,58793,14.0
Reborn,boxing,0,60574,10.0
Reborn,boxing,0,62356,10.0
Reborn,boxing,0,64136,4.0
Reborn,boxing,0,65915,35.0
Reborn,boxing,0,67699,24.0
Reborn,boxing,0,69482,30.0
Reborn,boxing,0,71260,14.0
Reborn,boxing,0,73043,24.0
Reborn,boxing,0,74825,31.0
Reborn,boxing,0,76603,28.0
Reborn,boxing,0,78385,56.0
Reborn,boxing,0,80165,38.0
Reborn,boxing,0,81947,54.0
Reborn,boxing,0,83730,47.0
Reborn,boxing,0,85514,30.0
Reborn,boxing,0,87295,65.0
Reborn,boxing,0,89073,37.0
Reborn,boxing,0,90854,45.0
Reborn,boxing,0,92639,65.0
Reborn,boxing,0,94420,39.0
Reborn,boxing,0,96204,49.0
Reborn,boxing,0,97984,36.0
Reborn,boxing,0,99763,31.0
Reborn,up_n_down,0,481,230.0
Reborn,up_n_down,0,865,70.0
Reborn,up_n_down,0,1377,150.0
Reborn,up_n_down,0,1939,190.0
Reborn,up_n_down,0,2392,510.0
Reborn,up_n_down,0,2787,470.0
Reborn,up_n_down,0,3255,520.0
Reborn,up_n_down,0,3914,340.0
Reborn,up_n_down,0,4408,630.0
Reborn,up_n_down,0,4949,970.0
Reborn,up_n_down,0,5432,130.0
Reborn,up_n_down,0,5919,230.0
Reborn,up_n_down,0,6621,1070.0
Reborn,up_n_down,0,7338,1780.0
Reborn,up_n_down,0,7805,130.0
Reborn,up_n_down,0,8255,120.0
Reborn,up_n_down,0,8667,100.0
Reborn,up_n_down,0,9094,90.0
Reborn,up_n_down,0,9569,520.0
Reborn,up_n_down,0,10018,110.0
Reborn,up_n_down,0,11257,2600.0
Reborn,up_n_down,0,13935,7900.0
Reborn,up_n_down,0,15876,2240.0
Reborn,up_n_down,0,17771,3010.0
Reborn,up_n_down,0,18547,710.0
Reborn,up_n_down,0,19795,1410.0
Reborn,up_n_down,0,22455,10250.0
Reborn,up_n_down,0,23777,4560.0
Reborn,up_n_down,0,25453,3180.0
Reborn,up_n_down,0,26214,2000.0
Reborn,up_n_down,0,28523,4970.0
Reborn,up_n_down,0,35833,26760.0
Reborn,up_n_down,0,41502,20530.0
Reborn,up_n_down,0,48922,24430.0
Reborn,up_n_down,0,60534,39410.0
Reborn,up_n_down,0,65700,18620.0
Reborn,up_n_down,0,68628,10920.0
Reborn,up_n_down,0,69673,2080.0
Reborn,up_n_down,0,81025,40740.0
Reborn,up_n_down,0,86749,22170.0
Reborn,up_n_down,0,88414,4870.0
Reborn,up_n_down,0,96398,25080.0
Reborn,frostbite,0,377,80.0
Reborn,frostbite,0,680,30.0
Reborn,frostbite,0,1057,90.0
Reborn,frostbite,0,1402,50.0
Reborn,frostbite,0,1865,40.0
Reborn,frostbite,0,2225,50.0
Reborn,frostbite,0,2708,70.0
Reborn,frostbite,0,3179,70.0
Reborn,frostbite,0,3640,120.0
Reborn,frostbite,0,4165,100.0
Reborn,frostbite,0,4499,60.0
Reborn,frostbite,0,4809,40.0
Reborn,frostbite,0,5281,130.0
Reborn,frostbite,0,5635,80.0
Reborn,frostbite,0,5931,20.0
Reborn,frostbite,0,6372,50.0
Reborn,frostbite,0,6686,30.0
Reborn,frostbite,0,7081,100.0
Reborn,frostbite,0,7371,70.0
Reborn,frostbite,0,7722,110.0
Reborn,frostbite,0,8139,120.0
Reborn,frostbite,0,8629,160.0
Reborn,frostbite,0,8948,60.0
Reborn,frostbite,0,9322,80.0
Reborn,frostbite,0,9678,120.0
Reborn,frostbite,0,10000,60.0
Reborn,frostbite,0,10292,70.0
Reborn,frostbite,0,10658,140.0
Reborn,frostbite,0,10998,80.0
Reborn,frostbite,0,11457,180.0
Reborn,frostbite,0,11772,100.0
Reborn,frostbite,0,12122,160.0
Reborn,frostbite,0,12433,100.0
Reborn,frostbite,0,12763,130.0
Reborn,frostbite,0,13102,130.0
Reborn,frostbite,0,13413,100.0
Reborn,frostbite,0,13743,130.0
Reborn,frostbite,0,14069,100.0
Reborn,frostbite,0,14403,100.0
Reborn,frostbite,0,14694,70.0
Reborn,frostbite,0,15012,100.0
Reborn,frostbite,0,15395,130.0
Reborn,frostbite,0,15893,170.0
Reborn,frostbite,0,16528,210.0
Reborn,frostbite,0,16871,100.0
Reborn,frostbite,0,17243,100.0
Reborn,frostbite,0,17763,170.0
Reborn,frostbite,0,18108,120.0
Reborn,frostbite,0,18496,170.0
Reborn,frostbite,0,18918,190.0
Reborn,frostbite,0,19375,200.0
Reborn,frostbite,0,19776,170.0
Reborn,frostbite,0,20164,140.0
Reborn,frostbite,0,20653,220.0
Reborn,frostbite,0,21145,210.0
Reborn,frostbite,0,21507,150.0
Reborn,frostbite,0,21947,200.0
Reborn,frostbite,0,22335,150.0
Reborn,frostbite,0,22731,130.0
Reborn,frostbite,0,23132,160.0
Reborn,frostbite,0,23665,230.0
Reborn,frostbite,0,24074,180.0
Reborn,frostbite,0,24459,140.0
Reborn,frostbite,0,24848,180.0
Reborn,frostbite,0,25213,160.0
Reborn,frostbite,0,25593,170.0
Reborn,frostbite,0,25996,180.0
Reborn,frostbite,0,26478,180.0
Reborn,frostbite,0,26881,190.0
Reborn,frostbite,0,27373,180.0
Reborn,frostbite,0,27773,160.0
Reborn,frostbite,0,28347,270.0
Reborn,frostbite,0,28893,240.0
Reborn,frostbite,0,29418,240.0
Reborn,frostbite,0,29841,180.0
Reborn,frostbite,0,30291,220.0
Reborn,frostbite,0,30798,230.0
Reborn,frostbite,0,31350,220.0
Reborn,frostbite,0,31911,220.0
Reborn,frostbite,0,32481,220.0
Reborn,frostbite,0,32985,240.0
Reborn,frostbite,0,33448,220.0
Reborn,frostbite,0,33946,220.0
Reborn,frostbite,0,34453,240.0
Reborn,frostbite,0,34880,220.0
Reborn,frostbite,0,35342,220.0
Reborn,frostbite,0,35896,220.0
Reborn,frostbite,0,36440,220.0
Reborn,frostbite,0,36968,240.0
Reborn,frostbite,0,37452,240.0
Reborn,frostbite,0,37940,240.0
Reborn,frostbite,0,38432,240.0
Reborn,frostbite,0,38877,240.0
Reborn,frostbite,0,39349,240.0
Reborn,frostbite,0,39952,240.0
Reborn,frostbite,0,40503,240.0
Reborn,frostbite,0,41013,240.0
Reborn,frostbite,0,41731,240.0
Reborn,frostbite,0,42183,220.0
Reborn,frostbite,0,42693,240.0
Reborn,frostbite,0,43172,240.0
Reborn,frostbite,0,43651,230.0
Reborn,frostbite,0,44205,240.0
Reborn,frostbite,0,44889,240.0
Reborn,frostbite,0,45526,240.0
Reborn,frostbite,0,46080,240.0
Reborn,frostbite,0,46565,240.0
Reborn,frostbite,0,47062,240.0
Reborn,frostbite,0,47515,220.0
Reborn,frostbite,0,48011,240.0
Reborn,frostbite,0,48454,230.0
Reborn,frostbite,0,48918,230.0
Reborn,frostbite,0,49383,240.0
Reborn,frostbite,0,49836,230.0
Reborn,frostbite,0,50328,240.0
Reborn,frostbite,0,50792,230.0
Reborn,frostbite,0,51248,230.0
Reborn,frostbite,0,51722,240.0
Reborn,frostbite,0,52159,230.0
Reborn,frostbite,0,52678,240.0
Reborn,frostbite,0,53133,240.0
Reborn,frostbite,0,53600,240.0
Reborn,frostbite,0,54068,240.0
Reborn,frostbite,0,54556,240.0
Reborn,frostbite,0,55043,240.0
Reborn,frostbite,0,55534,250.0
Reborn,frostbite,0,56091,260.0
Reborn,frostbite,0,56743,270.0
Reborn,frostbite,0,57231,260.0
Reborn,frostbite,0,57705,250.0
Reborn,frostbite,0,58173,240.0
Reborn,frostbite,0,58639,240.0
Reborn,frostbite,0,59146,240.0
Reborn,frostbite,0,59702,270.0
Reborn,frostbite,0,60187,260.0
Reborn,frostbite,0,60639,240.0
Reborn,frostbite,0,61194,270.0
Reborn,frostbite,0,61722,250.0
Reborn,frostbite,0,62358,270.0
Reborn,frostbite,0,62837,240.0
Reborn,frostbite,0,63368,240.0
Reborn,frostbite,0,63830,190.0
Reborn,frostbite,0,64282,240.0
Reborn,frostbite,0,64867,220.0
Reborn,frostbite,0,65374,260.0
Reborn,frostbite,0,65866,250.0
Reborn,frostbite,0,66413,240.0
Reborn,frostbite,0,66843,230.0
Reborn,frostbite,0,67318,250.0
Reborn,frostbite,0,67793,250.0
Reborn,frostbite,0,68275,260.0
Reborn,frostbite,0,68787,250.0
Reborn,frostbite,0,69404,270.0
Reborn,frostbite,0,69938,260.0
Reborn,frostbite,0,70477,270.0
Reborn,frostbite,0,70922,230.0
Reborn,frostbite,0,71440,260.0
Reborn,frostbite,0,71979,270.0
Reborn,frostbite,0,72457,270.0
Reborn,frostbite,0,72939,260.0
Reborn,frostbite,0,73546,280.0
Reborn,frostbite,0,73998,250.0
Reborn,frostbite,0,74477,270.0
Reborn,frostbite,0,74951,240.0
Reborn,frostbite,0,75412,240.0
Reborn,frostbite,0,75936,280.0
Reborn,frostbite,0,76412,250.0
Reborn,frostbite,0,76900,250.0
Reborn,frostbite,0,77382,260.0
Reborn,frostbite,0,77864,240.0
Reborn,frostbite,0,78316,240.0
Reborn,frostbite,0,78822,270.0
Reborn,frostbite,0,79301,250.0
Reborn,frostbite,0,79854,250.0
Reborn,frostbite,0,80401,250.0
Reborn,frostbite,0,81018,280.0
Reborn,frostbite,0,81469,240.0
Reborn,frostbite,0,81919,240.0
Reborn,frostbite,0,82411,250.0
Reborn,frostbite,0,82905,280.0
Reborn,frostbite,0,83330,230.0
Reborn,frostbite,0,83789,250.0
Reborn,frostbite,0,84241,240.0
Reborn,frostbite,0,84760,250.0
Reborn,frostbite,0,85231,260.0
Reborn,frostbite,0,85727,260.0
Reborn,frostbite,0,86232,260.0
Reborn,frostbite,0,86668,240.0
Reborn,frostbite,0,87137,240.0
Reborn,frostbite,0,87571,230.0
Reborn,frostbite,0,88107,300.0
Reborn,frostbite,0,88581,260.0
Reborn,frostbite,0,89018,250.0
Reborn,frostbite,0,89507,270.0
Reborn,frostbite,0,89945,240.0
Reborn,frostbite,0,90418,260.0
Reborn,frostbite,0,90909,290.0
Reborn,frostbite,0,91369,240.0
Reborn,frostbite,0,91805,230.0
Reborn,frostbite,0,92279,260.0
Reborn,frostbite,0,92743,260.0
Reborn,frostbite,0,93230,270.0
Reborn,frostbite,0,93689,260.0
Reborn,frostbite,0,94298,270.0
Reborn,frostbite,0,94741,250.0
Reborn,frostbite,0,95234,270.0
Reborn,frostbite,0,95716,260.0
Reborn,frostbite,0,96159,240.0
Reborn,frostbite,0,96606,250.0
Reborn,frostbite,0,97084,260.0
Reborn,frostbite,0,97577,300.0
Reborn,frostbite,0,98041,260.0
Reborn,frostbite,0,98520,260.0
Reborn,frostbite,0,98967,240.0
Reborn,frostbite,0,99419,250.0
Reborn,frostbite,0,99836,210.0
Reborn,road_runner,0,613,200.0
Reborn,road_runner,0,771,0.0
Reborn,road_runner,0,844,0.0
Reborn,road_runner,0,1010,0.0
Reborn,road_runner,0,1181,0.0
Reborn,road_runner,0,1481,0.0
Reborn,road_runner,0,1581,0.0
Reborn,road_runner,0,1858,0.0
Reborn,road_runner,0,2057,0.0
Reborn,road_runner,0,2272,0.0
Reborn,road_runner,0,2377,0.0
Reborn,road_runner,0,2548,0.0
Reborn,road_runner,0,2619,0.0
Reborn,road_runner,0,2792,0.0
Reborn,road_runner,0,3067,100.0
Reborn,road_runner,0,3224,0.0
Reborn,road_runner,0,3361,0.0
Reborn,road_runner,0,3499,0.0
Reborn,road_runner,0,3588,0.0
Reborn,road_runner,0,3747,0.0
Reborn,road_runner,0,3870,0.0
Reborn,road_runner,0,4001,0.0
Reborn,road_runner,0,4206,0.0
Reborn,road_runner,0,4397,0.0
Reborn,road_runner,0,4468,0.0
Reborn,road_runner,0,4816,100.0
Reborn,road_runner,0,5000,0.0
Reborn,road_runner,0,5130,0.0
Reborn,road_runner,0,5392,0.0
Reborn,road_runner,0,5642,0.0
Reborn,road_runner,0,5781,0.0
Reborn,road_runner,0,6218,200.0
Reborn,road_runner,0,6676,2300.0
Reborn,road_runner,0,7510,500.0
Reborn,road_runner,0,8049,1200.0
Reborn,road_runner,0,8978,900.0
Reborn,road_runner,0,9411,600.0
Reborn,road_runner,0,9836,1100.0
Reborn,road_runner,0,10170,100.0
Reborn,road_runner,0,10475,100.0
Reborn,road_runner,0,10778,100.0
Reborn,road_runner,0,11295,1400.0
Reborn,road_runner,0,11601,2000.0
Reborn,road_runner,0,12089,1000.0
Reborn,road_runner,0,13009,1400.0
Reborn,road_runner,0,13812,200.0
Reborn,road_runner,0,14559,1700.0
Reborn,road_runner,0,14955,2500.0
Reborn,road_runner,0,15896,1500.0
Reborn,road_runner,0,16607,4500.0
Reborn,road_runner,0,17058,300.0
Reborn,road_runner,0,17797,900.0
Reborn,road_runner,0,18757,3200.0
Reborn,road_runner,0,19641,900.0
Reborn,road_runner,0,20494,10700.0
Reborn,road_runner,0,21321,2600.0
Reborn,road_runner,0,21740,2700.0
