arm,game,final_mean,median,ci_low,ci_high,min,max,auc_mean
full,boxing,42.98,42.5,40.59,45.40024999999999,11.0,79.0,19.33222222222222
full,up_n_down,5424.5,5160.0,5179.1875,5674.110000000001,2750.0,8810.0,3157.6944444444443
full,frostbite,3003.3,3005.0,2925.6974999999998,3080.2,2080.0,3990.0,1451.7944444444445
full,road_runner,13783.0,14350.0,13271.0,14278.025,6000.0,17500.0,10622.388888888889
low_rate,boxing,21.03,14.0,15.99,26.200249999999997,-22.0,74.0,28.157222222222224
low_rate,up_n_down,175267.8,186550.0,163211.775,186688.05,55040.0,251020.0,50817.433333333334
low_rate,frostbite,2700.3,2895.0,2546.8975,2847.5025,180.0,4010.0,740.6833333333333
low_rate,road_runner,14399.0,14700.0,14078.0,14704.0,7900.0,17600.0,11891.611111111111
no_q,boxing,19.05,17.0,16.22,21.94,-3.0,59.0,6.536111111111111
no_q,up_n_down,4152.4,4015.0,3984.6949999999997,4318.8075,2310.0,6470.0,3492.5222222222224
no_q,frostbite,1813.0,2350.0,1673.0974999999999,1952.405,900.0,2650.0,512.4444444444445
no_q,road_runner,16095.0,16250.0,15860.0,16326.0,13300.0,19400.0,11193.611111111111
deterministic,boxing,70.75,76.0,64.6895,75.86049999999999,-58.0,100.0,57.141666666666666
deterministic,up_n_down,38945.7,37805.0,35957.35,42035.485,7240.0,82270.0,59306.53888888889
deterministic,frostbite,3007.2,2960.0,2916.8,3110.2025,2360.0,5410.0,1652.6222222222223
deterministic,road_runner,16058.0,16150.0,15872.975,16249.0,13700.0,18000.0,11659.333333333334
