seed,checkpoint,score,actions
0,10000,2010.0,929.0
0,10000,2250.0,677.0
0,10000,990.0,582.0
0,10000,2480.0,1045.0
0,10000,620.0,626.0
0,10000,1370.0,548.0
0,10000,2220.0,628.0
0,10000,1880.0,726.0
0,10000,2230.0,651.0
0,10000,900.0,439.0
0,20000,2970.0,540.0
0,20000,4130.0,642.0
0,20000,2400.0,604.0
0,20000,3310.0,767.0
0,20000,3330.0,638.0
0,20000,2910.0,606.0
0,20000,5790.0,904.0
0,20000,3790.0,740.0
0,20000,5890.0,742.0
0,20000,3520.0,784.0
0,30000,3260.0,514.0
0,30000,4240.0,653.0
0,30000,2620.0,633.0
0,30000,4850.0,834.0
0,30000,3580.0,728.0
0,30000,2550.0,671.0
0,30000,3730.0,650.0
0,30000,3870.0,544.0
0,30000,3510.0,614.0
0,30000,3330.0,797.0
0,40000,6650.0,1314.0
0,40000,5460.0,857.0
0,40000,4090.0,909.0
0,40000,8680.0,1347.0
0,40000,3150.0,662.0
0,40000,1950.0,674.0
0,40000,3270.0,707.0
0,40000,5290.0,900.0
0,40000,14520.0,2448.0
0,40000,4210.0,770.0
0,50000,2310.0,614.0
0,50000,2760.0,685.0
0,50000,2450.0,525.0
0,50000,2870.0,552.0
0,50000,2720.0,625.0
0,50000,2420.0,463.0
0,50000,1890.0,579.0
0,50000,2640.0,490.0
0,50000,3710.0,610.0
0,50000,6020.0,952.0
0,60000,44850.0,5597.0
0,60000,38760.0,5463.0
0,60000,30680.0,4053.0
0,60000,63070.0,8417.0
0,60000,42450.0,4971.0
0,60000,66750.0,8705.0
0,60000,72790.0,8774.0
0,60000,40940.0,5571.0
0,60000,83730.0,10911.0
0,60000,9900.0,1394.0
0,70000,99420.0,12978.0
0,70000,217850.0,25250.0
0,70000,117320.0,13533.0
0,70000,106140.0,12916.0
0,70000,46610.0,5858.0
0,70000,98220.0,11706.0
0,70000,147360.0,17424.0
0,70000,139190.0,16513.0
0,70000,140630.0,16906.0
0,70000,91150.0,10587.0
0,80000,256190.0,27000.0
0,80000,133130.0,15130.0
0,80000,251020.0,27000.0
0,80000,260300.0,27000.0
0,80000,246080.0,26908.0
0,80000,219540.0,24760.0
0,80000,244550.0,27000.0
0,80000,134510.0,14766.0
0,80000,211040.0,23314.0
0,80000,240150.0,27000.0
0,90000,247750.0,27000.0
0,90000,257380.0,27000.0
0,90000,262940.0,27000.0
0,90000,61610.0,6887.0
0,90000,212350.0,22851.0
0,90000,207650.0,22377.0
0,90000,262540.0,27000.0
0,90000,178140.0,19311.0
