seed,checkpoint,n,mean,median,p10,p90,mean_actions,density,cap
0,10000,10,1695.0,1945.0,872.0,2273.0,685.1,2.4740913735221137,0
0,20000,10,3804.0,3425.0,2859.0,5800.0,696.7,5.460025836084398,0
0,30000,10,3554.0,3545.0,2613.0,4301.0,663.8,5.354022295872251,0
0,40000,10,5727.0,4750.0,3030.0,9263.999999999998,1058.8,5.408953532300718,0
0,50000,10,2979.0,2680.0,2268.0,3940.999999999999,609.5,4.8876127973748975,0
0,60000,10,49392.0,43650.0,28602.0,73884.0,6385.6,7.734903532949136,0
0,70000,10,120389.0,111730.0,86696.0,154408.99999999997,14367.1,8.379492033882968,0
0,80000,10,219651.0,242350.0,134372.0,256601.0,23987.8,9.156779696345643,5
0,90000,10,220352.0,251745.0,166487.0,262580.0,23342.6,9.439908150762983,6
0,100000,100,196432.5,211230.0,94411.0,255604.0,21152.46,9.286508519576447,29
1,10000,10,1146.0,1115.0,570.0,1990.0,712.9,1.6075185860569505,0
1,20000,10,1422.0,1300.0,538.0,2801.0,740.7,1.919805589307412,0
1,30000,10,1804.0,1655.0,1072.0,2937.0,1239.7,1.4551907719609583,0
1,40000,10,1755.0,1670.0,1396.0,2179.0,632.5,2.774703557312253,0
1,50000,10,1901.0,1945.0,1179.0,2519.0,757.8,2.508577461071523,0
1,60000,10,3209.0,3270.0,2427.0,3884.0,771.6,4.158890616899948,0
1,70000,10,3335.0,2850.0,1795.0,4790.0,905.8,3.6818282181497017,0
1,80000,10,3910.0,3805.0,3019.0,5122.0,948.6,4.121863799283154,0
1,90000,10,4852.0,5035.0,2469.0,6811.0,839.2,5.781696854146807,0
1,100000,100,5279.3,5155.0,3397.0,7034.0,995.37,5.303856857249063,0
