seed,actions,score,length_actions,optimizer_updates
0,481,230.0,481.0,0
0,865,70.0,384.0,0
0,1377,150.0,512.0,73
0,1939,190.0,562.0,214
0,2392,510.0,453.0,328
0,2787,470.0,395.0,427
0,3255,520.0,468.0,544
0,3893,930.0,638.0,704
0,4521,1020.0,628.0,861
0,5223,770.0,702.0,1037
0,5800,990.0,577.0,1181
0,6399,3900.0,599.0,1331
0,6900,1740.0,501.0,1457
0,7588,760.0,688.0,1629
0,8219,1520.0,631.0,1787
0,8763,2070.0,544.0,1923
0,9509,1110.0,746.0,2110
0,10159,1030.0,650.0,2273
0,11229,1700.0,1070.0,2540
0,11850,620.0,621.0,2696
0,12599,700.0,749.0,2883
0,13429,1550.0,830.0,3091
0,14749,2650.0,1320.0,3421
0,15353,610.0,604.0,3573
0,16059,2070.0,706.0,3749
0,16487,1690.0,428.0,3857
0,16933,2110.0,446.0,3968
0,17494,3580.0,561.0,4109
0,18053,1780.0,559.0,4249
0,18435,870.0,382.0,4345
0,19201,3110.0,766.0,4536
0,19664,1420.0,463.0,4652
0,20317,2450.0,653.0,4816
0,21002,3360.0,685.0,4987
0,21551,2570.0,549.0,5125
0,22113,1480.0,562.0,5266
0,22730,2010.0,617.0,5420
0,23292,3280.0,562.0,5561
0,23901,3010.0,609.0,5713
0,24419,1550.0,518.0,5843
0,24953,2660.0,534.0,5977
0,25532,2490.0,579.0,6122
0,26194,3140.0,662.0,6288
0,26776,1690.0,582.0,6433
0,27321,2670.0,545.0,6570
0,27819,3340.0,498.0,6695
0,28349,2870.0,530.0,6827
0,28930,2590.0,581.0,6973
0,29549,2720.0,619.0,7128
0,30322,4610.0,773.0,7321
0,31231,2710.0,909.0,7549
0,31855,2020.0,624.0,7705
0,32485,3320.0,630.0,7863
0,33274,4420.0,789.0,8060
0,33929,1940.0,655.0,8224
0,34566,1930.0,637.0,8384
0,35067,2040.0,501.0,8509
0,35557,2430.0,490.0,8632
0,36219,2240.0,662.0,8798
0,36855,3930.0,636.0,8957
0,37416,2580.0,561.0,9098
0,38290,2870.0,874.0,9316
0,39092,3240.0,802.0,9517
0,40132,6080.0,1040.0,9777
0,42154,7890.0,2022.0,10283
0,43447,5540.0,1293.0,10607
0,44661,3790.0,1214.0,10910
0,45361,2370.0,700.0,11086
0,46113,3600.0,752.0,11274
0,47077,3030.0,964.0,11515
0,48812,6910.0,1735.0,11949
0,49657,3260.0,845.0,12161
0,50463,4230.0,806.0,12362
0,51323,2860.0,860.0,12578
0,52071,3800.0,748.0,12765
0,52678,2710.0,607.0,12917
0,53199,3660.0,521.0,13047
0,54031,5450.0,832.0,13256
0,55136,5220.0,1105.0,13532
0,61029,45830.0,5893.0,15006
0,64548,23990.0,3519.0,15886
0,72274,60540.0,7726.0,17817
0,97236,242470.0,24962.0,24058
1,568,280.0,568.0,0
1,1115,670.0,547.0,8
1,1573,110.0,458.0,122
1,1999,90.0,426.0,229
1,2436,100.0,437.0,339
1,2971,560.0,535.0,473
1,3488,550.0,517.0,602
1,3981,140.0,493.0,726
1,4489,550.0,508.0,853
1,4998,550.0,509.0,980
1,5522,560.0,524.0,1112
1,5963,1310.0,441.0,1222
1,6814,3360.0,851.0,1435
1,7266,110.0,452.0,1548
1,8181,2000.0,915.0,1777
1,8620,100.0,439.0,1887
1,9100,530.0,480.0,2008
1,9641,970.0,541.0,2143
1,10298,1540.0,657.0,2308
1,10814,2050.0,516.0,2437
1,11130,30.0,316.0,2516
1,11502,460.0,372.0,2609
1,11817,30.0,315.0,2688
1,12164,460.0,347.0,2775
1,12540,860.0,376.0,2870
1,12957,90.0,417.0,2974
1,13435,920.0,478.0,3094
1,14024,700.0,589.0,3241
1,14486,120.0,462.0,3357
1,14922,510.0,436.0,3466
1,15358,100.0,436.0,3576
1,15856,550.0,498.0,3700
1,16310,510.0,454.0,3814
1,16832,160.0,522.0,3945
1,17502,1550.0,670.0,4113
1,17965,120.0,463.0,4229
1,18672,770.0,707.0,4406
1,19376,1070.0,704.0,4582
1,20132,1800.0,756.0,4771
1,21015,2790.0,883.0,4992
1,21522,140.0,507.0,5119
1,22173,2130.0,651.0,5282
1,22660,930.0,487.0,5404
1,23248,1090.0,588.0,5551
1,23908,1440.0,660.0,5717
1,24625,2380.0,717.0,5896
1,25415,4320.0,790.0,6094
1,26077,1040.0,662.0,6260
