arm,checkpoint,episode,score,actions
full,10000,1,490.0,413
full,10000,2,2310.0,771
full,10000,3,5240.0,1139
full,10000,4,2150.0,1001
full,10000,5,480.0,400
full,10000,6,200.0,602
full,10000,7,1000.0,606
full,10000,8,1030.0,638
full,10000,9,1030.0,649
full,10000,10,5290.0,1220
full,20000,1,30.0,316
full,20000,2,20.0,310
full,20000,3,11230.0,4209
full,20000,4,3600.0,1540
full,20000,5,20.0,312
full,20000,6,21220.0,6129
full,20000,7,20.0,314
full,20000,8,14140.0,4394
full,20000,9,20.0,314
full,20000,10,13770.0,4425
full,30000,1,21110.0,7228
full,30000,2,67270.0,21059
full,30000,3,40690.0,13678
full,30000,4,49210.0,13859
full,30000,5,68530.0,21798
full,30000,6,69220.0,27000
full,30000,7,91980.0,27000
full,30000,8,82100.0,24949
full,30000,9,9550.0,3404
full,30000,10,75330.0,24992
full,40000,1,13020.0,4051
full,40000,2,7580.0,2167
full,40000,3,10780.0,4155
full,40000,4,5990.0,1540
full,40000,5,12230.0,3900
full,40000,6,8450.0,2270
full,40000,7,3070.0,878
full,40000,8,8740.0,2254
full,40000,9,11160.0,2354
full,40000,10,5010.0,1379
full,50000,1,27600.0,7540
full,50000,2,72210.0,17915
full,50000,3,18910.0,5794
full,50000,4,6520.0,1902
full,50000,5,4170.0,1344
full,50000,6,55610.0,16000
full,50000,7,12940.0,3288
full,50000,8,47950.0,12645
full,50000,9,7050.0,2123
full,50000,10,45920.0,10676
full,60000,1,25110.0,5950
full,60000,2,30900.0,8244
full,60000,3,7640.0,2264
full,60000,4,6430.0,2247
full,60000,5,38220.0,9701
full,60000,6,15100.0,4016
full,60000,7,7160.0,2140
full,60000,8,60400.0,17101
full,60000,9,25560.0,7319
full,60000,10,25800.0,7061
full,70000,1,3060.0,684
full,70000,2,2850.0,841
full,70000,3,22110.0,5633
full,70000,4,7680.0,1532
full,70000,5,4750.0,1631
full,70000,6,4340.0,988
full,70000,7,2400.0,920
full,70000,8,10940.0,2641
full,70000,9,14900.0,4337
full,70000,10,2120.0,952
full,80000,1,50550.0,10937
full,80000,2,8750.0,2117
full,80000,3,15930.0,3425
full,80000,4,35260.0,8975
full,80000,5,50760.0,10011
full,80000,6,36400.0,9363
full,80000,7,2430.0,969
full,80000,8,51260.0,12874
full,80000,9,26890.0,6399
full,80000,10,12960.0,3787
full,90000,1,23160.0,5549
full,90000,2,45870.0,9320
full,90000,3,126880.0,27000
full,90000,4,76930.0,19393
full,90000,5,7160.0,1652
full,90000,6,8420.0,2393
full,90000,7,20940.0,4571
full,90000,8,78370.0,18810
full,90000,9,8820.0,1749
full,90000,10,63940.0,15249
full,100000,1,8850.0,2270
full,100000,2,24710.0,5454
full,100000,3,2290.0,583
full,100000,4,19960.0,3956
full,100000,5,20030.0,3752
full,100000,6,7360.0,1981
full,100000,7,7450.0,1475
full,100000,8,5160.0,1015
full,100000,9,3510.0,1421
full,100000,10,7110.0,1880
full,100000,11,13080.0,2860
full,100000,12,11760.0,2683
full,100000,13,4770.0,1035
full,100000,14,4410.0,1084
full,100000,15,5830.0,1444
full,100000,16,9770.0,1990
full,100000,17,20530.0,4383
full,100000,18,9470.0,2151
full,100000,19,10490.0,2549
full,100000,20,18900.0,4798
full,100000,21,9020.0,1900
full,100000,22,24990.0,5761
full,100000,23,4780.0,1038
full,100000,24,11690.0,2879
full,100000,25,12320.0,2768
full,100000,26,26490.0,6083
full,100000,27,6040.0,1620
full,100000,28,19070.0,5078
full,100000,29,11470.0,2852
full,100000,30,12060.0,2203
full,100000,31,13380.0,3825
full,100000,32,9940.0,3227
full,100000,33,12370.0,2690
full,100000,34,31500.0,6645
full,100000,35,14650.0,2819
full,100000,36,13310.0,3075
full,100000,37,6860.0,1497
full,100000,38,14280.0,2855
full,100000,39,39490.0,7889
full,100000,40,4170.0,1191
full,100000,41,8350.0,2120
full,100000,42,12630.0,2780
full,100000,43,12690.0,3195
full,100000,44,29430.0,5987
full,100000,45,9710.0,2529
full,100000,46,6180.0,1851
full,100000,47,22000.0,4345
full,100000,48,9670.0,2953
full,100000,49,10660.0,2671
full,100000,50,23460.0,5064
full,100000,51,14180.0,3339
full,100000,52,5360.0,1976
full,100000,53,11120.0,3405
full,100000,54,5750.0,1325
full,100000,55,11150.0,3446
full,100000,56,17030.0,4382
full,100000,57,13990.0,3524
full,100000,58,3900.0,1403
full,100000,59,11120.0,2772
full,100000,60,27610.0,5949
full,100000,61,19530.0,4541
full,100000,62,24970.0,5567
full,100000,63,6130.0,1293
full,100000,64,18710.0,4027
full,100000,65,4550.0,1164
full,100000,66,8330.0,2087
full,100000,67,15550.0,2986
full,100000,68,8450.0,1790
full,100000,69,11140.0,2643
full,100000,70,13070.0,2847
full,100000,71,15110.0,3547
full,100000,72,8220.0,1739
full,100000,73,8010.0,2697
full,100000,74,9600.0,2843
full,100000,75,7640.0,2103
full,100000,76,16260.0,3318
full,100000,77,33430.0,7333
full,100000,78,16780.0,3498
full,100000,79,8780.0,2003
full,100000,80,10560.0,3160
full,100000,81,12440.0,2165
full,100000,82,8530.0,1930
full,100000,83,12250.0,2824
full,100000,84,26510.0,4838
full,100000,85,9210.0,1731
full,100000,86,15910.0,3553
full,100000,87,12450.0,2987
full,100000,88,6320.0,1269
full,100000,89,18240.0,3771
full,100000,90,4260.0,849
full,100000,91,11010.0,3071
full,100000,92,18420.0,3570
full,100000,93,19630.0,4228
full,100000,94,5440.0,1455
full,100000,95,6500.0,1715
full,100000,96,6920.0,1914
full,100000,97,5830.0,1917
full,100000,98,16520.0,3878
full,100000,99,8890.0,2184
full,100000,100,5460.0,1318
harmony,10000,1,2010.0,929
harmony,10000,2,2250.0,677
harmony,10000,3,990.0,582
harmony,10000,4,2480.0,1045
harmony,10000,5,620.0,626
harmony,10000,6,1370.0,548
harmony,10000,7,2220.0,628
harmony,10000,8,1880.0,726
harmony,10000,9,2230.0,651
harmony,10000,10,900.0,439
harmony,20000,1,2970.0,540
harmony,20000,2,4130.0,642
harmony,20000,3,2400.0,604
harmony,20000,4,3310.0,767
harmony,20000,5,3330.0,638
harmony,20000,6,2910.0,606
harmony,20000,7,5790.0,904
harmony,20000,8,3790.0,740
harmony,20000,9,5890.0,742
harmony,20000,10,3520.0,784
harmony,30000,1,3260.0,514
harmony,30000,2,4240.0,653
harmony,30000,3,2620.0,633
harmony,30000,4,4850.0,834
harmony,30000,5,3580.0,728
harmony,30000,6,2550.0,671
harmony,30000,7,3730.0,650
harmony,30000,8,3870.0,544
harmony,30000,9,3510.0,614
harmony,30000,10,3330.0,797
harmony,40000,1,6650.0,1314
harmony,40000,2,5460.0,857
harmony,40000,3,4090.0,909
harmony,40000,4,8680.0,1347
harmony,40000,5,3150.0,662
harmony,40000,6,1950.0,674
harmony,40000,7,3270.0,707
harmony,40000,8,5290.0,900
harmony,40000,9,14520.0,2448
harmony,40000,10,4210.0,770
harmony,50000,1,2310.0,614
harmony,50000,2,2760.0,685
harmony,50000,3,2450.0,525
harmony,50000,4,2870.0,552
harmony,50000,5,2720.0,625
harmony,50000,6,2420.0,463
harmony,50000,7,1890.0,579
harmony,50000,8,2640.0,490
harmony,50000,9,3710.0,610
harmony,50000,10,6020.0,952
harmony,60000,1,44850.0,5597
harmony,60000,2,38760.0,5463
harmony,60000,3,30680.0,4053
harmony,60000,4,63070.0,8417
harmony,60000,5,42450.0,4971
harmony,60000,6,66750.0,8705
harmony,60000,7,72790.0,8774
harmony,60000,8,40940.0,5571
harmony,60000,9,83730.0,10911
harmony,60000,10,9900.0,1394
harmony,70000,1,99420.0,12978
harmony,70000,2,217850.0,25250
harmony,70000,3,117320.0,13533
harmony,70000,4,106140.0,12916
harmony,70000,5,46610.0,5858
harmony,70000,6,98220.0,11706
harmony,70000,7,147360.0,17424
harmony,70000,8,139190.0,16513
harmony,70000,9,140630.0,16906
harmony,70000,10,91150.0,10587
harmony,80000,1,256190.0,27000
harmony,80000,2,133130.0,15130
harmony,80000,3,251020.0,27000
harmony,80000,4,260300.0,27000
harmony,80000,5,246080.0,26908
harmony,80000,6,219540.0,24760
harmony,80000,7,244550.0,27000
harmony,80000,8,134510.0,14766
harmony,80000,9,211040.0,23314
harmony,80000,10,240150.0,27000
harmony,90000,1,247750.0,27000
harmony,90000,2,257380.0,27000
harmony,90000,3,262940.0,27000
harmony,90000,4,61610.0,6887
harmony,90000,5,212350.0,22851
harmony,90000,6,207650.0,22377
harmony,90000,7,262540.0,27000
harmony,90000,8,178140.0,19311
harmony,90000,9,257420.0,27000
harmony,90000,10,255740.0,27000
harmony,100000,1,254190.0,27000
harmony,100000,2,218540.0,27000
harmony,100000,3,125800.0,13648
harmony,100000,4,247740.0,27000
harmony,100000,5,256540.0,27000
harmony,100000,6,179820.0,19442
harmony,100000,7,76390.0,8768
harmony,100000,8,193550.0,20294
harmony,100000,9,194030.0,21058
harmony,100000,10,253740.0,27000
harmony,100000,11,186080.0,20496
harmony,100000,12,253300.0,27000
harmony,100000,13,86990.0,9738
harmony,100000,14,249340.0,27000
harmony,100000,15,242620.0,27000
harmony,100000,16,259380.0,27000
harmony,100000,17,148760.0,15817
harmony,100000,18,163400.0,17488
harmony,100000,19,152870.0,16635
